,Date,Actual,Consensus,Difference
0,2023-10-27 10:00:00,0.3,0.2,0.100000
1,2023-09-22 10:00:00,0.5,0.4,0.100000
2,2023-07-28 10:00:00,0.4,0.4,0.000000
3,2023-06-23 10:00:00,0.6,0.5,0.100000
4,2023-04-28 10:00:00,0.5,0.3,0.200000
5,2023-03-24 11:00:00,0.2,0.2,0.000000
6,2023-01-27 10:00:00,0.2,0.1,0.100000
7,2022-12-23 10:00:00,0.1,0.2,-0.100000
8,2022-10-28 10:00:00,0.2,0.3,-0.100000
9,2022-09-23 10:00:00,1.5,1.1,0.400000
10,2022-07-29 10:00:00,1.1,0.4,0.700000
11,2022-06-24 10:00:00,0.2,0.3,-0.100000
12,2022-04-29 10:00:00,0.3,0.5,-0.200000
13,2022-03-25 11:00:00,2.2,2.0,0.200000
14,2022-01-28 10:00:00,2.0,1.4,0.600000
15,2021-12-23 10:00:00,2.6,2.0,0.600000
16,2021-10-29 10:00:00,2.0,2.7,-0.700000
17,2021-09-23 10:00:00,1.1,2.8,-1.700000
18,2021-07-30 10:00:00,2.8,2.2,0.600000
19,2021-06-24 10:00:00,-0.4,-0.5,0.100000
20,2021-04-30 10:00:00,-0.5,-0.5,0.000000
21,2021-03-26 11:00:00,0.0,0.4,-0.400000
22,2021-01-29 10:00:00,0.4,-1.5,1.900000
23,2020-12-23 10:00:00,16.4,16.7,-0.300000
24,2020-10-30 11:00:00,16.7,13.5,3.200000
25,2020-09-23 10:00:00,-17.8,-18.5,0.700000
26,2020-07-31 10:00:00,-18.5,-16.6,-1.900000
27,2020-06-30 10:00:00,-5.2,-5.2,0.000000
28,2020-04-30 10:00:00,-5.2,-4.4,-0.800000
29,2020-03-31 10:00:00,0.4,0.5,-0.100000
30,2020-01-31 10:00:00,0.5,0.4,0.100000
31,2019-12-30 10:00:00,0.4,0.4,0.000000
32,2019-10-31 11:00:00,0.4,0.4,0.000000
33,2019-09-30 10:00:00,0.4,0.5,-0.100000
34,2019-07-31 10:00:00,0.5,0.6,-0.100000
35,2019-06-28 10:00:00,0.7,0.7,0.000000
36,2019-04-30 10:00:00,0.7,0.6,0.100000
37,2019-03-29 11:00:00,0.6,0.7,-0.100000
38,2019-01-31 10:00:00,0.7,0.6,0.100000
39,2018-12-28 10:00:00,0.6,0.6,0.000000
40,2018-10-31 11:00:00,0.6,0.6,0.000000
41,2018-09-28 10:00:00,0.6,0.6,0.000000
42,2018-07-31 10:00:00,0.6,0.7,-0.100000
43,2018-05-31 10:00:00,0.7,0.7,0.000000
44,2018-04-27 10:00:00,0.7,0.7,0.000000
45,2018-03-01 10:00:00,0.7,0.7,0.000000
46,2018-01-30 10:00:00,0.7,0.7,0.000000
47,2017-11-30 10:00:00,0.8,0.8,0.000000
48,2017-10-30 11:00:00,0.8,0.8,0.000000
49,2017-08-24 10:00:00,0.9,0.9,0.000000
50,2017-07-28 10:00:00,0.9,0.9,0.000000
51,2017-05-25 10:00:00,0.8,0.8,0.000000
52,2017-04-28 10:00:00,0.8,0.7,0.100000
53,2017-03-02 10:00:00,0.7,0.7,0.000000
54,2017-01-30 10:00:00,0.7,0.7,0.000000
55,2016-11-24 10:00:00,0.7,0.7,0.000000
56,2016-10-28 10:00:00,0.7,0.7,0.000000
57,2016-08-25 10:00:00,0.8,0.7,0.100000
58,2016-07-29 10:00:00,0.7,0.7,0.000000
59,2016-05-26 10:00:00,0.8,0.8,0.000000
60,2016-04-29 10:00:00,0.8,0.7,0.100000
61,2016-02-25 10:00:00,0.8,0.8,0.000000
62,2016-01-29 10:00:00,0.8,0.8,0.000000
63,2015-11-26 10:00:00,0.8,0.8,0.000000
64,2015-10-30 11:00:00,0.8,0.8,0.000000
