,Date,Actual,Consensus,Difference
0,2023-11-02 11:15:00,45.1,47.0,-1.900000
1,2023-10-02 10:15:00,47.7,46.5,1.200000
2,2023-09-01 10:15:00,46.5,48.8,-2.300000
3,2023-08-01 10:15:00,47.8,48.3,-0.500000
4,2023-07-03 10:15:00,48.0,47.7,0.300000
5,2023-06-01 10:15:00,48.4,47.8,0.600000
6,2023-05-02 10:15:00,49.0,49.0,0.000000
7,2023-04-03 10:15:00,51.3,50.1,1.200000
8,2023-03-01 10:15:00,50.7,49.1,1.600000
9,2023-02-01 10:15:00,48.4,48.0,0.400000
10,2023-01-02 10:15:00,46.4,46.2,0.200000
11,2022-12-01 10:15:00,45.7,45.6,0.100000
12,2022-11-02 11:15:00,44.7,47.5,-2.800000
13,2022-10-03 10:15:00,49.0,49.2,-0.200000
14,2022-09-01 10:15:00,49.9,48.5,1.400000
15,2022-08-01 10:15:00,48.7,50.2,-1.500000
16,2022-07-01 10:15:00,52.6,52.1,0.500000
17,2022-06-01 10:15:00,53.8,52.0,1.800000
18,2022-05-02 10:15:00,53.3,54.0,-0.700000
19,2022-04-01 10:15:00,54.2,55.5,-1.300000
20,2022-03-01 10:15:00,56.9,56.1,0.800000
21,2022-02-01 10:15:00,56.2,56.0,0.200000
22,2022-01-03 10:15:00,56.2,56.2,0.000000
23,2021-12-01 10:15:00,57.1,57.9,-0.800000
24,2021-11-02 11:15:00,57.4,58.1,-0.700000
25,2021-10-01 10:15:00,58.1,58.2,-0.100000
26,2021-09-01 10:15:00,59.5,58.9,0.600000
27,2021-08-02 10:15:00,59.0,59.5,-0.500000
28,2021-07-01 10:15:00,60.4,59.3,1.100000
29,2021-06-01 10:15:00,59.4,59.5,-0.100000
30,2021-05-03 10:15:00,57.7,59.0,-1.300000
31,2021-04-01 10:15:00,56.9,56.0,0.900000
32,2021-03-01 10:15:00,52.9,52.0,0.900000
33,2021-02-01 10:15:00,49.3,50.9,-1.600000
34,2021-01-04 10:15:00,51.0,52.8,-1.800000
35,2020-12-01 10:15:00,49.8,50.5,-0.700000
36,2020-11-02 10:15:00,52.5,51.0,1.500000
37,2020-10-01 10:15:00,50.8,50.7,0.100000
38,2020-09-01 10:15:00,49.9,52.8,-2.900000
39,2020-08-03 10:15:00,53.5,52.0,1.500000
40,2020-07-01 10:15:00,49.0,45.1,3.900000
41,2020-06-01 10:15:00,38.3,38.0,0.300000
42,2020-05-04 10:15:00,30.8,34.0,-3.200000
43,2020-04-01 10:15:00,45.7,44.0,1.700000
44,2020-03-02 10:15:00,50.4,49.2,1.200000
45,2020-02-03 10:15:00,48.5,48.9,-0.400000
46,2020-01-02 10:15:00,47.4,47.0,0.400000
47,2019-12-02 10:15:00,47.5,46.7,0.800000
48,2019-11-04 10:15:00,46.8,47.5,-0.700000
49,2019-10-01 10:15:00,47.7,48.2,-0.500000
50,2019-09-02 10:15:00,48.8,48.5,0.300000
51,2019-08-01 10:15:00,48.2,48.1,0.100000
52,2019-07-01 10:15:00,47.9,49.5,-1.600000
53,2019-06-03 10:15:00,50.1,51.3,-1.200000
54,2019-05-02 10:15:00,51.8,51.2,0.600000
55,2019-04-01 10:15:00,50.9,49.6,1.300000
56,2019-03-01 10:15:00,49.9,51.8,-1.900000
57,2019-02-01 10:15:00,52.4,50.5,1.900000
58,2019-01-02 10:15:00,51.1,52.4,-1.300000
59,2018-12-03 10:15:00,52.6,51.5,1.100000
60,2018-11-02 11:15:00,51.8,51.0,0.800000
61,2018-10-01 10:15:00,51.4,52.7,-1.300000
62,2018-09-03 10:15:00,53.0,52.5,0.500000
63,2018-08-01 10:15:00,52.9,53.1,-0.200000
64,2018-07-02 10:15:00,53.4,53.6,-0.200000
65,2018-06-01 10:15:00,53.4,54.2,-0.800000
66,2018-05-02 10:15:00,54.4,54.2,0.200000
67,2018-04-03 10:15:00,54.8,54.7,0.100000
68,2018-03-01 10:15:00,56.0,54.8,1.200000
69,2018-02-01 10:15:00,55.2,55.7,-0.500000
