,Date,Actual,Consensus,Difference
0,2023-11-06 10:15:00,51.1,49.3,1.800000
1,2023-10-04 10:15:00,50.5,49.8,0.700000
2,2023-09-05 10:15:00,49.3,51.5,-2.200000
3,2023-08-03 10:15:00,52.8,53.4,-0.600000
4,2023-07-05 10:15:00,53.4,55.5,-2.100000
5,2023-06-05 10:15:00,56.7,56.9,-0.200000
6,2023-05-04 10:15:00,57.9,59.9,-2.000000
7,2023-04-05 10:15:00,59.4,57.5,1.900000
8,2023-03-03 10:15:00,56.7,54.3,2.400000
9,2023-02-03 10:15:00,52.7,52.5,0.200000
10,2023-01-04 10:15:00,51.6,50.8,0.800000
11,2022-12-05 10:15:00,51.2,50.5,0.700000
12,2022-11-04 11:15:00,49.7,48.3,1.400000
13,2022-10-05 10:15:00,48.5,49.8,-1.300000
14,2022-09-05 10:15:00,50.6,52.9,-2.300000
15,2022-08-03 10:15:00,53.8,52.0,1.800000
16,2022-07-05 10:15:00,54.0,53.5,0.500000
17,2022-06-03 10:15:00,56.5,56.0,0.500000
18,2022-05-04 10:15:00,57.1,55.9,1.200000
19,2022-04-05 10:15:00,53.4,54.2,-0.800000
20,2022-03-03 10:15:00,56.6,51.4,5.200000
21,2022-02-03 10:15:00,46.6,51.5,-4.900000
22,2022-01-05 10:15:00,55.8,57.5,-1.700000
23,2021-12-03 10:15:00,59.8,58.8,1.000000
24,2021-11-04 11:15:00,56.6,55.8,0.800000
25,2021-10-05 10:15:00,56.9,58.0,-1.100000
26,2021-09-03 10:15:00,60.1,61.5,-1.400000
27,2021-08-04 10:15:00,61.9,63.0,-1.100000
28,2021-07-05 10:15:00,62.5,60.6,1.900000
29,2021-06-03 10:15:00,59.4,58.0,1.400000
30,2021-05-05 10:15:00,54.6,50.0,4.600000
31,2021-04-07 10:15:00,48.1,46.0,2.100000
32,2021-03-03 10:15:00,43.1,43.0,0.100000
33,2021-02-03 10:15:00,41.7,45.3,-3.600000
34,2021-01-06 10:15:00,48.0,45.0,3.000000
35,2020-12-03 10:15:00,39.5,36.6,2.900000
36,2020-11-04 10:15:00,41.4,40.0,1.400000
37,2020-10-05 10:15:00,42.4,46.3,-3.900000
38,2020-09-03 10:15:00,47.7,48.0,-0.300000
39,2020-08-05 10:15:00,51.9,52.0,-0.100000
40,2020-07-03 10:15:00,50.2,45.9,4.300000
41,2020-06-03 10:15:00,27.9,25.0,2.900000
42,2020-05-06 10:15:00,7.1,10.0,-2.900000
43,2020-04-03 10:15:00,23.0,25.5,-2.500000
44,2020-03-04 10:15:00,52.1,52.5,-0.400000
45,2020-02-05 10:15:00,52.3,53.9,-1.600000
46,2020-01-06 10:15:00,54.9,53.9,1.000000
47,2019-12-04 10:15:00,53.2,51.9,1.300000
48,2019-11-06 10:15:00,52.7,52.8,-0.100000
49,2019-10-03 10:15:00,53.3,53.8,-0.500000
50,2019-09-04 10:15:00,54.3,53.0,1.300000
51,2019-08-05 10:15:00,52.9,53.6,-0.700000
52,2019-07-03 10:15:00,53.6,52.7,0.900000
53,2019-06-05 10:15:00,52.8,52.5,0.300000
54,2019-05-06 10:15:00,53.1,54.9,-1.800000
55,2019-04-03 10:15:00,56.8,55.0,1.800000
56,2019-03-05 10:15:00,54.5,54.1,0.400000
57,2019-02-05 10:15:00,54.7,53.1,1.600000
58,2019-01-04 10:15:00,54.0,53.8,0.200000
59,2018-12-05 10:15:00,54.0,53.7,0.300000
60,2018-11-06 10:15:00,54.0,51.9,2.100000
61,2018-10-03 10:15:00,52.5,52.9,-0.400000
62,2018-09-05 10:15:00,52.7,52.1,0.600000
63,2018-08-03 10:15:00,52.6,54.4,-1.800000
64,2018-07-04 10:15:00,55.4,56.3,-0.900000
65,2018-06-05 10:15:00,56.4,56.4,0.000000
66,2018-05-04 10:15:00,55.6,56.1,-0.500000
67,2018-04-05 10:15:00,56.2,56.2,0.000000
68,2018-03-05 10:15:00,57.3,56.5,0.800000
69,2018-02-05 10:15:00,56.9,55.2,1.700000
70,2018-01-04 10:15:00,54.6,54.7,-0.100000
71,2017-12-05 10:15:00,54.4,55.1,-0.700000
72,2017-11-06 10:15:00,54.6,55.5,-0.900000
73,2017-10-04 10:15:00,56.7,55.5,1.200000
74,2017-09-05 10:15:00,56.0,57.0,-1.000000
75,2017-08-03 10:15:00,57.6,58.3,-0.700000
76,2017-07-05 10:15:00,58.3,56.5,1.800000
77,2017-06-05 10:15:00,57.3,57.5,-0.200000
78,2017-05-04 10:15:00,57.8,57.9,-0.100000
79,2017-04-05 10:15:00,57.4,57.1,0.300000
80,2017-03-03 10:15:00,57.0,55.5,1.500000
81,2017-02-03 10:15:00,54.2,54.8,-0.600000
82,2017-01-04 10:15:00,55.0,54.8,0.200000
83,2016-12-05 10:15:00,55.1,55.4,-0.300000
84,2016-11-04 11:15:00,54.6,55.2,-0.600000
85,2016-10-05 10:15:00,54.7,55.0,-0.300000
86,2016-09-05 10:15:00,56.0,55.1,0.900000
87,2016-08-03 10:15:00,54.1,55.0,-0.900000
88,2016-07-05 10:15:00,56.0,55.3,0.700000
89,2016-06-03 10:15:00,55.4,53.5,1.900000
90,2016-05-04 10:15:00,55.1,55.0,0.100000
91,2016-04-05 10:15:00,55.3,54.5,0.800000
92,2016-03-03 10:15:00,54.1,54.0,0.100000
93,2016-02-03 10:15:00,54.6,54.4,0.200000
94,2016-01-06 10:15:00,55.1,56.4,-1.300000
95,2015-12-03 10:15:00,56.7,56.6,0.100000
96,2015-11-04 10:15:00,55.9,55.3,0.600000
97,2015-10-05 10:15:00,55.1,58.5,-3.400000
98,2015-09-03 10:15:00,59.6,59.6,0.000000
99,2015-08-05 10:15:00,59.7,55.5,4.200000
100,2015-07-03 10:15:00,56.1,58.0,-1.900000
101,2015-06-03 10:15:00,58.4,59.3,-0.900000
102,2015-05-06 10:15:00,60.3,57.4,2.900000
103,2015-04-07 10:15:00,57.3,56.5,0.800000
104,2015-03-04 10:15:00,56.2,56.7,-0.500000
105,2015-02-04 10:15:00,56.7,54.9,1.800000
106,2015-01-06 10:15:00,54.3,52.9,1.400000
107,2014-12-03 10:15:00,52.7,56.2,-3.500000
108,2014-11-05 10:15:00,55.9,56.0,-0.100000
109,2014-10-03 10:15:00,55.8,57.1,-1.300000
110,2014-09-03 10:15:00,58.1,55.1,3.000000
111,2014-08-05 10:15:00,56.2,55.1,1.100000
112,2014-07-03 10:15:00,54.8,55.8,-1.000000
113,2014-06-04 10:15:00,55.7,56.1,-0.400000
114,2014-05-06 10:15:00,56.5,54.4,2.100000
115,2014-04-03 10:13:00,54.0,53.5,0.500000
116,2014-03-05 10:13:00,53.7,55.0,-1.300000
117,2014-02-05 10:13:00,54.9,54.8,0.100000
118,2014-01-06 10:13:00,54.2,51.5,2.700000
119,2013-12-04 10:13:00,51.5,49.6,1.900000
120,2013-11-06 10:13:00,49.6,49.0,0.600000
121,2013-10-03 10:13:00,49.0,51.0,-2.000000
122,2013-09-04 10:13:00,50.4,50.0,0.400000
123,2013-08-05 10:13:00,48.5,48.0,0.500000
124,2013-07-03 10:13:00,47.8,47.5,0.300000
125,2013-06-05 10:13:00,47.3,45.0,2.300000
126,2013-05-06 10:13:00,44.4,45.6,-1.200000
127,2013-04-04 10:13:00,45.3,44.2,1.100000
128,2013-03-05 10:13:00,44.7,46.0,-1.300000
129,2013-02-05 10:13:00,47.0,44.1,2.900000
130,2013-01-04 10:13:00,44.3,42.8,1.500000
131,2012-12-05 10:13:00,42.4,41.0,1.400000
132,2012-11-06 10:13:00,41.2,40.2,1.000000
133,2012-10-03 10:13:00,40.2,42.5,-2.300000
134,2012-09-05 10:13:00,44.0,43.3,0.700000
135,2012-08-03 10:13:00,43.7,43.0,0.700000
136,2012-07-04 10:13:00,43.4,41.5,1.900000
137,2012-06-05 10:13:00,41.8,41.6,0.200000
138,2012-05-04 10:13:00,42.1,45.1,-3.000000
139,2012-04-04 10:13:00,46.3,42.0,4.300000
