,Date,Actual,Consensus,Difference
0,2023-10-03 10:00:00,19.8,-12.2,32.000000
1,2023-09-04 10:00:00,24.8,-21.3,46.100000
2,2023-08-02 10:00:00,-11.0,-38.2,27.200000
3,2023-07-04 10:00:00,-50.3,-63.5,13.200000
4,2023-06-02 10:00:00,-49.3,-40.1,-9.200000
5,2023-05-04 10:00:00,-73.9,-23.1,-50.800000
6,2023-04-04 10:00:00,-48.8,8.5,-57.300000
7,2023-03-02 10:00:00,2.6,11.5,-8.900000
8,2023-02-02 10:00:00,70.7,-15.2,85.900000
9,2023-01-03 10:00:00,-43.7,-40.3,-3.400000
10,2022-12-02 10:00:00,-33.5,-20.3,-13.200000
11,2022-08-02 11:00:00,3.2,-40.3,43.500000
12,2022-03-02 10:00:00,-11.4,-44.5,33.100000
13,2022-02-02 10:00:00,17.2,-50.7,67.900000
14,2020-09-02 10:00:00,29.8,10.1,19.700000
15,2019-12-03 10:00:00,20.5,75.2,-54.700000
16,2019-10-02 10:00:00,13.9,37.6,-23.700000
17,2019-08-02 10:00:00,-4.3,-21.4,17.100000
18,2019-07-02 10:00:00,-63.8,-90.0,26.200000
19,2019-06-04 10:00:00,-84.1,-67.0,-17.100000
20,2019-05-06 10:00:00,-91.5,-85.0,-6.500000
21,2019-04-02 10:00:00,-34.0,-33.3,-0.700000
22,2019-03-04 10:00:00,3.3,5.0,-1.700000
23,2019-02-04 10:00:00,83.5,60.3,23.200000
24,2018-12-04 10:00:00,-1.8,34.2,-36.000000
25,2018-10-02 10:00:00,20.4,28.2,-7.800000
26,2018-09-04 10:00:00,47.0,35.2,11.800000
27,2018-08-02 10:00:00,-27.1,-87.6,60.500000
28,2018-07-03 10:00:00,-90.0,-101.0,11.000000
29,2018-06-04 10:00:00,-83.7,-105.7,22.000000
30,2018-05-04 10:00:00,-86.7,-100.2,13.500000
31,2018-04-03 10:00:00,-47.7,-47.5,-0.200000
32,2018-03-02 10:00:00,-6.3,-7.2,0.900000
33,2018-02-02 10:00:00,63.7,50.3,13.400000
34,2018-01-03 10:00:00,-61.5,-58.7,-2.800000
35,2017-12-04 10:00:00,7.3,54.3,-47.000000
36,2017-10-03 10:00:00,27.9,21.3,6.600000
37,2017-09-04 10:00:00,46.4,16.3,30.100000
38,2017-08-02 10:00:00,-26.9,-66.5,39.600000
39,2017-07-04 10:00:00,-98.3,-120.3,22.000000
40,2017-06-02 10:00:00,-111.9,-110.2,-1.700000
41,2017-05-04 10:00:00,-129.3,21.3,-150.600000
42,2017-04-04 10:00:00,-48.6,-41.2,-7.400000
43,2017-03-02 10:00:00,-9.4,5.2,-14.600000
44,2017-02-02 10:00:00,57.3,60.2,-2.900000
45,2017-01-04 10:00:00,-86.8,-44.2,-42.600000
46,2016-12-02 10:00:00,24.8,-25.8,50.600000
47,2016-11-03 11:00:00,44.7,77.3,-32.600000
