,Date,Actual,Consensus,Difference
0,2023-10-02 02:50:00,13.6,13.6,0.000000
1,2023-07-03 02:50:00,13.4,10.1,3.300000
2,2023-04-03 02:50:00,3.2,4.9,-1.700000
3,2022-12-14 01:50:00,19.2,20.9,-1.700000
4,2022-10-03 02:50:00,21.5,18.8,2.700000
5,2022-07-01 02:50:00,18.6,8.9,9.700000
6,2022-04-01 02:50:00,2.2,4.0,-1.800000
7,2021-12-13 01:50:00,9.3,9.8,-0.500000
8,2021-10-01 02:50:00,10.1,9.1,1.000000
9,2021-07-01 02:50:00,9.6,7.2,2.400000
10,2021-04-01 02:50:00,3.0,1.4,1.600000
11,2020-12-14 01:50:00,-1.2,-0.1,-1.100000
12,2020-10-01 02:50:00,1.4,1.3,0.100000
13,2020-07-01 02:50:00,3.2,2.1,1.100000
14,2020-04-01 02:50:00,1.8,-1.1,2.900000
15,2019-12-13 01:50:00,6.8,6.0,0.800000
16,2019-10-01 02:50:00,6.6,7.0,-0.400000
17,2019-07-01 02:50:00,7.4,8.9,-1.500000
18,2019-04-01 02:50:00,1.2,-0.4,1.600000
19,2018-12-14 01:50:00,14.3,12.7,1.600000
20,2018-10-01 02:50:00,13.4,14.2,-0.800000
21,2018-07-02 02:50:00,13.6,9.3,4.300000
22,2018-04-02 02:50:00,2.3,0.6,1.700000
23,2017-12-15 01:50:00,7.4,7.5,-0.100000
24,2017-10-02 02:50:00,7.7,8.3,-0.600000
25,2017-07-03 02:50:00,8.0,7.4,0.600000
26,2017-04-03 02:50:00,0.6,-0.1,0.700000
27,2016-12-14 01:50:00,5.5,6.1,-0.600000
28,2016-10-03 02:50:00,6.3,6.8,-0.500000
29,2016-07-01 02:50:00,6.2,5.9,0.300000
30,2016-04-01 02:50:00,-0.9,-0.7,-0.200000
31,2015-12-14 01:50:00,10.8,10.2,0.600000
32,2015-10-01 02:50:00,10.9,8.7,2.200000
33,2015-07-01 02:50:00,9.3,5.2,4.100000
34,2015-04-01 02:50:00,-1.2,0.5,-1.700000
35,2014-12-15 01:50:00,8.9,8.0,0.900000
36,2014-10-01 02:50:00,8.6,7.2,1.400000
