,Date,Actual,Consensus,Difference
0,2023-09-01 02:50:00,4.5,5.4,-0.900000
1,2023-06-01 02:50:00,11.0,5.5,5.500000
2,2023-03-02 01:50:00,7.7,6.9,0.800000
3,2022-12-01 01:50:00,9.8,6.4,3.400000
4,2022-09-01 02:50:00,4.6,3.0,1.600000
5,2022-03-02 01:50:00,4.3,2.9,1.400000
6,2020-12-01 01:50:00,-10.6,-12.0,1.400000
7,2020-09-01 02:50:00,-11.3,4.3,-15.600000
8,2019-06-04 02:50:00,6.1,2.6,3.500000
9,2019-06-03 02:50:00,6.1,2.6,3.500000
10,2019-03-01 01:50:00,5.7,4.5,1.200000
11,2018-12-03 01:50:00,4.5,8.6,-4.100000
12,2018-09-03 02:50:00,12.8,6.6,6.200000
13,2018-06-01 02:50:00,3.4,3.2,0.200000
14,2018-03-01 01:50:00,4.3,3.1,1.200000
15,2017-12-01 01:50:00,4.2,3.3,0.900000
16,2017-09-01 02:50:00,1.5,8.3,-6.800000
17,2017-06-01 02:50:00,4.5,3.9,0.600000
18,2017-03-01 01:50:00,3.8,0.6,3.200000
19,2016-12-01 01:50:00,-1.3,-0.4,-0.900000
20,2016-09-01 02:50:00,3.1,5.6,-2.500000
21,2016-06-01 02:50:00,4.2,1.9,2.300000
22,2016-03-01 01:50:00,8.5,8.8,-0.300000
23,2015-12-01 01:50:00,11.2,2.3,8.900000
24,2015-09-01 02:50:00,5.6,9.0,-3.400000
25,2015-06-01 02:50:00,7.3,-0.1,7.400000
26,2015-03-02 01:50:00,2.8,4.1,-1.300000
27,2014-12-01 01:50:00,5.5,2.1,3.400000
28,2014-09-01 02:50:00,3.0,3.8,-0.800000
29,2014-06-02 02:50:00,7.4,5.7,1.700000
30,2014-03-03 01:50:00,4.0,5.1,-1.100000
31,2013-12-02 01:50:00,1.5,3.1,-1.600000
32,2013-09-02 02:50:00,0.0,-2.0,2.000000
33,2013-06-03 02:50:00,-3.9,-5.5,1.600000
34,2013-03-01 01:50:00,-8.7,-7.0,-1.700000
35,2012-12-03 01:50:00,2.2,3.7,-1.500000
36,2012-09-03 02:50:00,7.7,8.9,-1.200000
37,2012-06-01 02:50:00,3.3,1.3,2.000000
38,2012-03-01 01:50:00,7.6,-6.5,14.100000
39,2011-12-02 01:50:00,-9.8,-3.6,-6.200000
40,2011-09-02 02:50:00,-7.8,1.1,-8.900000
41,2011-06-02 02:50:00,3.3,3.2,0.100000
42,2011-03-03 01:50:00,3.8,5.9,-2.100000
43,2010-12-02 01:50:00,5.0,6.0,-1.000000
44,2010-09-03 02:50:00,-1.7,-6.6,4.900000
45,2010-06-03 02:50:00,-11.5,-9.5,-2.000000
46,2010-03-04 01:50:00,-17.3,-18.0,0.700000
47,2009-12-03 01:50:00,-24.8,-16.0,-8.800000
48,2009-09-04 02:50:00,-21.7,-22.9,1.200000
49,2009-06-04 02:50:00,-25.3,-27.1,1.800000
50,2009-03-05 01:50:00,-17.3,-16.3,-1.000000
51,2008-12-04 01:50:00,-13.0,-9.9,-3.100000
52,2008-09-05 02:50:00,-6.5,0.3,-6.800000
53,2008-06-04 03:50:00,-4.9,-9.6,4.700000
54,2008-03-05 01:50:00,-7.7,-2.4,-5.300000
