,Date,Actual,Consensus,Difference
0,2023-10-24 08:00:00,3.4,3.3,0.100000
1,2023-09-26 08:00:00,3.3,3.2,0.100000
2,2023-08-22 08:00:00,3.3,2.9,0.400000
3,2023-07-25 08:00:00,3.0,3.0,0.000000
4,2023-06-27 08:00:00,3.1,3.0,0.100000
5,2023-05-23 08:00:00,3.0,2.8,0.200000
6,2023-04-25 08:00:00,2.9,2.4,0.500000
7,2023-03-28 08:00:00,2.7,3.5,-0.800000
8,2023-02-28 07:00:00,3.1,3.1,0.000000
9,2023-01-24 07:00:00,3.1,2.9,0.200000
10,2022-12-27 07:00:00,2.9,2.8,0.100000
11,2022-11-22 07:00:00,2.7,2.2,0.500000
12,2022-10-25 08:00:00,2.0,1.9,0.100000
13,2022-09-22 08:00:00,1.9,1.9,0.000000
14,2022-08-23 08:00:00,1.8,1.5,0.300000
15,2022-06-28 08:00:00,1.5,1.5,0.000000
16,2022-05-24 08:00:00,1.4,1.1,0.300000
17,2022-01-25 07:00:00,0.9,0.7,0.200000
18,2021-12-28 07:00:00,0.8,0.5,0.300000
19,2020-10-27 08:00:00,-0.1,0.0,-0.100000
20,2019-09-25 08:00:00,0.4,0.6,-0.200000
21,2019-07-23 08:00:00,0.6,0.6,0.000000
22,2019-06-25 08:00:00,0.7,0.6,0.100000
23,2019-04-23 08:00:00,0.5,0.5,0.000000
24,2019-02-26 07:00:00,0.5,0.6,-0.100000
25,2018-12-26 07:00:00,0.5,0.6,-0.100000
26,2018-11-27 07:00:00,0.6,0.5,0.100000
27,2018-10-23 08:00:00,0.5,0.5,0.000000
28,2018-09-26 08:00:00,0.5,0.6,-0.100000
29,2018-08-28 08:00:00,0.5,0.3,0.200000
30,2018-07-24 08:00:00,0.4,0.6,-0.200000
31,2018-06-26 08:00:00,0.5,0.6,-0.100000
32,2018-05-22 08:00:00,0.5,0.6,-0.100000
33,2018-04-24 08:00:00,0.7,0.7,0.000000
34,2018-03-27 08:00:00,0.8,0.7,0.100000
35,2018-02-27 07:00:00,0.8,0.6,0.200000
36,2018-01-30 07:00:00,0.7,0.5,0.200000
37,2017-12-05 07:00:00,0.5,0.5,0.000000
38,2017-10-31 08:00:00,0.5,0.5,0.000000
39,2017-08-29 08:00:00,0.4,0.2,0.200000
40,2017-08-01 08:00:00,0.3,0.2,0.100000
41,2017-07-04 08:00:00,0.3,0.3,0.000000
42,2017-05-02 08:00:00,-0.1,0.2,-0.300000
43,2017-04-04 08:00:00,0.1,0.2,-0.100000
44,2017-01-27 07:00:00,0.1,0.1,0.000000
45,2016-12-27 07:00:00,0.2,0.2,0.000000
46,2016-11-25 07:00:00,0.3,0.3,0.000000
47,2016-10-28 08:00:00,0.2,0.3,-0.100000
48,2016-09-30 08:00:00,0.4,0.6,-0.200000
49,2016-07-29 08:00:00,0.8,0.7,0.100000
50,2016-07-01 08:00:00,0.8,0.8,0.000000
51,2016-05-27 08:00:00,0.9,1.0,-0.100000
52,2016-04-28 08:00:00,1.1,1.2,-0.100000
53,2016-03-25 08:00:00,1.1,1.1,0.000000
54,2016-02-26 07:00:00,1.1,1.2,-0.100000
55,2016-01-29 07:00:00,1.3,1.3,0.000000
56,2015-12-25 07:00:00,1.2,1.2,0.000000
