,Date,Actual,Consensus,Difference
0,2023-10-20 02:30:00,2.8,2.7,0.100000
1,2023-09-22 02:30:00,3.1,3.0,0.100000
2,2023-08-18 02:30:00,3.1,3.1,0.000000
3,2023-07-21 02:30:00,3.3,3.3,0.000000
4,2023-06-23 02:30:00,3.2,3.1,0.100000
5,2023-05-19 02:30:00,3.4,3.4,0.000000
6,2023-04-21 02:30:00,3.1,3.1,0.000000
7,2023-03-24 02:30:00,3.1,3.1,0.000000
8,2023-02-24 01:30:00,4.2,4.2,0.000000
9,2023-01-20 01:30:00,4.0,4.0,0.000000
10,2022-12-23 01:30:00,3.7,3.7,0.000000
11,2022-11-18 01:30:00,3.6,3.5,0.100000
12,2022-10-21 02:30:00,3.0,3.0,0.000000
13,2022-09-20 02:30:00,2.8,2.7,0.100000
14,2022-08-19 02:30:00,2.4,2.4,0.000000
15,2022-07-22 02:30:00,2.2,2.2,0.000000
16,2022-06-24 02:30:00,2.1,2.1,0.000000
17,2022-05-20 02:30:00,2.1,2.1,0.000000
18,2022-04-22 02:30:00,0.8,0.8,0.000000
19,2022-03-18 02:30:00,0.6,0.6,0.000000
20,2022-02-18 01:30:00,0.2,0.3,-0.100000
21,2022-01-21 01:30:00,0.5,0.6,-0.100000
22,2021-12-24 01:30:00,0.5,0.4,0.100000
23,2021-11-19 01:30:00,0.1,0.1,0.000000
24,2021-10-22 02:30:00,0.1,0.1,0.000000
25,2021-09-24 02:30:00,0.0,0.0,0.000000
26,2021-08-20 02:30:00,-0.2,-0.4,0.200000
27,2021-07-20 02:30:00,0.2,0.2,0.000000
28,2021-06-18 02:30:00,0.1,0.1,0.000000
29,2021-05-21 02:30:00,-0.1,-0.2,0.100000
30,2021-04-23 02:30:00,-0.1,-0.1,0.000000
31,2021-03-19 02:30:00,-0.4,-0.4,0.000000
32,2021-02-19 01:30:00,-0.6,-0.7,0.100000
33,2021-01-22 01:30:00,-1.0,-1.1,0.100000
34,2020-12-18 01:30:00,-0.9,-0.9,0.000000
35,2020-11-20 01:30:00,-0.7,-0.7,0.000000
36,2020-10-23 02:30:00,-0.3,-0.4,0.100000
37,2020-09-18 02:30:00,-0.4,-0.4,0.000000
38,2020-08-21 02:30:00,0.0,0.1,-0.100000
39,2020-07-21 02:30:00,0.0,-0.1,0.100000
40,2020-06-19 02:30:00,-0.2,-0.1,-0.100000
41,2020-05-22 02:30:00,-0.2,-0.1,-0.100000
42,2020-04-24 02:30:00,0.4,0.4,0.000000
43,2020-03-19 02:30:00,0.6,0.6,0.000000
44,2020-02-21 01:30:00,0.8,0.8,0.000000
45,2020-01-24 01:30:00,0.7,0.7,0.000000
46,2019-12-20 01:30:00,0.5,0.5,0.000000
47,2019-11-22 01:30:00,0.4,0.4,0.000000
48,2019-10-18 02:30:00,0.3,0.3,0.000000
49,2019-09-20 02:30:00,0.5,0.5,0.000000
50,2019-08-23 02:30:00,0.6,0.6,0.000000
51,2019-07-19 02:30:00,0.6,0.6,0.000000
52,2019-06-21 02:30:00,0.8,0.8,0.000000
53,2019-05-24 02:30:00,0.9,0.9,0.000000
54,2019-04-19 02:30:00,0.8,0.7,0.100000
55,2019-03-22 02:30:00,0.7,0.8,-0.100000
56,2019-02-22 01:30:00,0.8,0.8,0.000000
57,2019-01-18 01:30:00,0.7,0.8,-0.100000
58,2018-12-21 01:30:00,0.9,1.0,-0.100000
59,2018-11-22 01:30:00,1.0,1.0,0.000000
60,2018-10-19 02:30:00,1.0,1.0,0.000000
61,2018-09-21 02:30:00,0.9,0.9,0.000000
62,2018-08-24 02:30:00,0.8,0.9,-0.100000
63,2018-07-20 02:30:00,0.8,0.8,0.000000
64,2018-06-22 02:30:00,0.7,0.7,0.000000
65,2018-05-18 02:30:00,0.7,0.8,-0.100000
66,2018-04-20 02:30:00,0.9,0.9,0.000000
67,2018-03-23 02:30:00,1.0,1.0,0.000000
68,2018-02-23 01:30:00,0.9,0.8,0.100000
69,2018-01-26 01:30:00,0.9,0.9,0.000000
70,2017-12-26 01:30:00,0.9,0.8,0.100000
