,Date,Actual,Consensus,Difference
0,2023-11-09 01:50:00,2.01,2.3,-0.290000
1,2023-10-10 02:50:00,1.63,2.41,-0.780000
2,2023-09-08 02:50:00,2.77,2.24,0.530000
3,2023-08-08 02:50:00,2.35,2.24,0.110000
4,2023-07-10 02:50:00,1.7,1.2,0.500000
5,2023-05-11 02:50:00,1.01,1.32,-0.310000
6,2023-04-10 02:50:00,1.09,1.43,-0.340000
7,2023-02-08 01:50:00,1.18,1.25,-0.070000
8,2023-01-12 01:50:00,1.92,0.65,1.270000
9,2022-12-08 01:50:00,-0.61,0.35,-0.960000
10,2022-11-09 01:50:00,0.67,0.01,0.660000
11,2022-10-11 02:50:00,-0.53,-0.47,-0.060000
12,2022-01-12 01:50:00,1.37,1.05,0.320000
13,2021-01-12 01:50:00,2.34,1.17,1.170000
14,2020-11-10 01:50:00,1.35,1.79,-0.440000
15,2020-09-08 02:50:00,0.96,1.44,-0.480000
16,2020-07-08 02:50:00,0.82,1.54,-0.720000
17,2019-08-08 02:50:00,1.94,1.76,0.180000
18,2019-07-08 02:50:00,1.31,1.24,0.070000
19,2019-05-14 02:50:00,1.27,1.71,-0.440000
20,2019-04-08 02:50:00,1.96,1.96,0.000000
21,2019-03-08 01:50:00,1.83,1.39,0.440000
22,2019-02-08 01:50:00,1.56,1.52,0.040000
23,2019-01-11 01:50:00,1.44,1.1,0.340000
24,2018-12-10 01:50:00,1.21,1.29,-0.080000
25,2018-11-08 01:50:00,1.33,1.36,-0.030000
26,2018-10-09 02:50:00,1.43,1.52,-0.090000
27,2018-09-10 02:50:00,1.48,1.56,-0.080000
28,2018-08-08 02:50:00,1.76,1.84,-0.080000
29,2018-07-09 02:50:00,1.85,1.18,0.670000
30,2018-06-08 02:50:00,1.89,2.1,-0.210000
31,2018-05-10 02:50:00,1.77,1.63,0.140000
32,2018-04-09 02:50:00,1.02,1.39,-0.370000
33,2018-03-08 01:50:00,2.02,1.76,0.260000
34,2018-02-08 01:50:00,1.48,1.66,-0.180000
35,2018-01-12 01:50:00,1.7,2.19,-0.490000
36,2017-12-08 01:50:00,2.44,1.93,0.510000
37,2017-11-09 01:50:00,1.84,2.05,-0.210000
38,2017-10-10 02:50:00,2.27,1.98,0.290000
39,2017-09-08 02:50:00,2.03,1.65,0.380000
40,2017-08-08 02:50:00,1.52,1.51,0.010000
41,2017-07-10 02:50:00,1.4,1.63,-0.230000
42,2017-06-08 02:50:00,1.81,1.62,0.190000
43,2017-05-11 02:50:00,1.73,1.73,0.000000
44,2017-04-10 02:50:00,2.21,1.79,0.420000
45,2017-03-08 01:50:00,1.26,1.46,-0.200000
46,2017-02-08 01:50:00,1.67,1.71,-0.040000
47,2017-01-12 01:50:00,1.8,1.48,0.320000
48,2016-11-09 01:50:00,1.48,1.98,-0.500000
49,2016-10-11 02:50:00,1.98,1.58,0.400000
50,2016-09-08 02:50:00,1.45,1.59,-0.140000
51,2016-08-08 02:50:00,1.65,1.6,0.050000
52,2016-07-08 02:50:00,1.41,1.52,-0.110000
53,2016-06-08 02:50:00,1.63,2.04,-0.410000
54,2016-05-12 02:50:00,1.89,1.9,-0.010000
55,2016-04-08 02:50:00,1.73,1.57,0.160000
56,2016-03-08 01:50:00,1.49,1.66,-0.170000
57,2016-02-08 01:50:00,1.64,1.52,0.120000
58,2016-01-12 01:50:00,1.42,1.52,-0.100000
59,2015-12-08 01:50:00,1.49,1.53,-0.040000
60,2015-11-10 01:50:00,0.78,1.5,-0.720000
61,2015-10-08 02:50:00,1.59,1.28,0.310000
62,2015-09-08 02:50:00,1.32,1.25,0.070000
63,2015-08-10 02:50:00,1.3,1.41,-0.110000
64,2015-07-08 02:50:00,1.64,1.38,0.260000
65,2015-06-08 02:50:00,1.27,1.45,-0.180000
66,2015-05-13 02:50:00,2.07,1.34,0.730000
67,2015-04-08 02:50:00,0.6,0.61,-0.010000
68,2015-03-09 02:50:00,1.06,1.16,-0.100000
69,2015-02-09 01:50:00,0.98,0.95,0.030000
70,2015-01-13 01:50:00,0.91,0.69,0.220000
71,2014-12-08 01:50:00,0.95,0.46,0.490000
72,2014-11-11 01:50:00,0.41,0.03,0.380000
73,2014-10-08 02:50:00,0.13,0.19,-0.060000
74,2014-09-08 02:50:00,0.1,0.18,-0.080000
75,2014-08-08 02:50:00,0.13,0.11,0.020000
76,2014-07-08 02:50:00,0.38,0.17,0.210000
77,2014-06-09 02:50:00,0.13,0.23,-0.100000
78,2014-05-12 02:50:00,-0.78,-0.54,-0.240000
79,2014-04-08 02:50:00,-0.04,-0.04,0.000000
80,2014-03-10 02:50:00,-0.59,-0.59,0.000000
81,2014-02-10 01:50:00,-0.2,-0.06,-0.140000
82,2014-01-14 01:50:00,-0.05,-0.02,-0.030000
83,2013-12-09 01:50:00,-0.06,0.12,-0.180000
84,2013-11-11 01:50:00,-0.13,-0.1,-0.030000
85,2013-10-08 02:50:00,0.35,0.65,-0.300000
86,2013-09-09 02:50:00,0.33,0.32,0.010000
87,2013-08-08 02:50:00,0.65,0.73,-0.080000
88,2013-07-08 02:50:00,0.62,0.62,0.000000
89,2013-06-10 02:50:00,0.85,0.39,0.460000
90,2013-05-10 02:50:00,0.34,0.48,-0.140000
91,2013-04-08 02:50:00,0.0,0.46,-0.460000
92,2013-03-08 01:50:00,0.36,0.11,0.250000
93,2013-02-08 01:50:00,0.1,0.24,-0.140000
94,2013-01-11 01:50:00,0.23,0.31,-0.080000
95,2012-12-10 01:50:00,0.41,0.25,0.160000
96,2012-11-08 01:50:00,-0.14,0.21,-0.350000
97,2012-10-09 02:50:00,0.72,0.52,0.200000
98,2012-09-10 02:50:00,0.34,0.39,-0.050000
99,2012-08-08 02:50:00,0.77,0.75,0.020000
100,2012-07-09 02:50:00,0.28,0.42,-0.140000
101,2012-06-08 02:50:00,0.29,0.62,-0.330000
102,2012-05-10 02:50:00,0.79,0.65,0.140000
103,2012-04-09 02:50:00,0.85,0.66,0.190000
104,2012-03-08 01:50:00,0.12,0.32,-0.200000
105,2012-02-08 01:50:00,0.75,0.63,0.120000
106,2012-01-12 01:50:00,0.48,0.44,0.040000
107,2011-12-08 01:50:00,0.52,0.54,-0.020000
108,2011-11-09 01:50:00,1.19,0.96,0.230000
109,2011-10-11 02:50:00,0.65,0.51,0.140000
110,2011-09-08 02:50:00,0.75,0.99,-0.240000
111,2011-08-08 02:50:00,0.92,0.96,-0.040000
112,2011-07-08 02:50:00,0.39,0.19,0.200000
113,2011-06-08 02:50:00,0.55,0.28,0.270000
114,2011-05-12 02:50:00,0.75,1.02,-0.270000
115,2011-04-08 02:50:00,1.21,1.33,-0.120000
116,2011-03-08 01:50:00,1.09,1.19,-0.100000
117,2011-02-08 01:50:00,1.56,1.55,0.010000
118,2011-01-12 01:50:00,1.15,0.99,0.160000
119,2010-12-08 01:50:00,1.46,1.55,-0.090000
120,2010-11-09 01:50:00,1.66,1.23,0.430000
121,2010-10-08 02:50:00,1.18,1.09,0.090000
122,2010-09-08 02:50:00,1.46,1.38,0.080000
123,2010-08-09 02:50:00,1.36,1.44,-0.080000
124,2010-07-08 02:50:00,0.9,1.12,-0.220000
125,2010-06-08 02:50:00,1.38,1.42,-0.040000
126,2010-05-13 02:50:00,1.77,1.49,0.280000
