,Date,Actual,Consensus,Difference
0,2023-11-09 01:50:00,2.724,3.0,-0.276000
1,2023-10-10 02:50:00,2.28,3.091,-0.811000
2,2023-09-08 02:50:00,2.772,2.295,0.477000
3,2023-08-08 02:50:00,1.509,1.395,0.114000
4,2023-07-10 02:50:00,1.862,1.885,-0.023000
5,2023-06-08 02:50:00,1.895,2.947,-1.052000
6,2023-05-11 02:50:00,2.278,2.947,-0.669000
7,2023-04-10 02:50:00,2.197,2.536,-0.339000
8,2023-03-08 01:50:00,-1.977,-0.818,-1.159000
9,2023-02-08 01:50:00,0.033,0.098,-0.065000
10,2023-01-12 01:50:00,1.804,0.471,1.333000
11,2022-12-08 01:50:00,-0.064,0.623,-0.687000
12,2022-11-09 01:50:00,0.909,0.235,0.674000
13,2022-10-11 02:50:00,0.059,0.122,-0.063000
14,2022-09-08 02:50:00,0.229,0.714,-0.485000
15,2022-08-08 02:50:00,-0.132,-0.704,0.572000
16,2022-07-08 02:50:00,0.128,0.186,-0.058000
17,2022-06-08 02:50:00,0.501,0.511,-0.010000
18,2022-05-12 02:50:00,2.549,1.752,0.797000
19,2022-04-08 02:50:00,1.648,1.437,0.211000
20,2022-03-08 01:50:00,-1.189,-0.88,-0.309000
21,2022-02-08 01:50:00,-0.371,0.074,-0.445000
22,2022-01-12 01:50:00,0.897,0.585,0.312000
23,2021-12-08 01:50:00,1.18,1.309,-0.129000
24,2021-11-09 01:50:00,1.034,1.06,-0.026000
25,2021-10-08 02:50:00,1.666,1.541,0.125000
26,2021-09-08 02:50:00,1.911,2.3,-0.389000
27,2021-08-10 02:50:00,0.905,0.78,0.125000
28,2021-07-08 02:50:00,1.98,1.82,0.160000
29,2021-06-08 02:50:00,1.322,1.501,-0.179000
30,2021-05-13 02:50:00,2.65,2.796,-0.146000
31,2021-04-08 02:50:00,2.917,1.966,0.951000
32,2021-03-08 01:50:00,0.647,1.23,-0.583000
33,2021-02-08 01:50:00,1.166,1.04,0.126000
34,2021-01-12 01:50:00,1.878,1.551,0.327000
35,2020-12-08 01:50:00,2.145,2.126,0.019000
36,2020-11-10 01:50:00,1.66,1.995,-0.335000
37,2020-10-08 02:50:00,2.103,1.984,0.119000
38,2020-09-08 02:50:00,1.468,1.869,-0.401000
39,2020-08-11 02:50:00,0.168,0.11,0.058000
40,2020-07-08 02:50:00,1.177,1.088,0.089000
41,2020-06-08 02:50:00,0.263,0.48,-0.217000
42,2020-05-13 02:50:00,1.971,2.211,-0.240000
43,2020-04-08 02:50:00,3.169,3.062,0.107000
44,2020-03-09 02:50:00,0.612,0.626,-0.014000
45,2020-02-10 01:50:00,0.524,0.417,0.107000
46,2020-01-14 01:50:00,1.437,1.423,0.014000
47,2019-12-09 01:50:00,1.817,1.798,0.019000
48,2019-11-11 01:50:00,1.613,1.685,-0.072000
49,2019-10-08 02:50:00,2.158,2.07,0.088000
50,2019-09-09 02:50:00,2.0,2.083,-0.083000
51,2019-08-08 02:50:00,1.211,1.14,0.071000
52,2019-07-08 02:50:00,1.595,1.385,0.210000
53,2019-06-10 02:50:00,1.707,1.516,0.191000
54,2019-05-14 02:50:00,2.848,3.161,-0.313000
55,2019-04-08 02:50:00,2.677,2.679,-0.002000
56,2019-03-08 01:50:00,0.6,0.179,0.421000
57,2019-02-08 02:50:00,0.453,0.43,0.023000
58,2019-02-08 01:50:00,0.453,0.568,-0.115000
59,2019-01-11 01:50:00,0.757,0.568,0.189000
60,2018-12-10 01:50:00,1.31,1.384,-0.074000
61,2018-11-08 01:50:00,1.822,1.773,0.049000
62,2018-10-09 02:50:00,1.838,1.897,-0.059000
63,2018-09-10 02:50:00,2.01,1.852,0.158000
64,2018-08-08 02:50:00,1.176,1.196,-0.020000
65,2018-07-09 02:50:00,1.938,1.24,0.698000
66,2018-06-08 02:50:00,1.845,2.097,-0.252000
67,2018-05-10 02:50:00,3.122,3.009,0.113000
68,2018-04-09 02:50:00,2.076,2.16,-0.084000
69,2018-03-08 01:50:00,0.607,0.31,0.297000
70,2018-02-08 01:50:00,0.797,1.018,-0.221000
71,2018-01-12 01:50:00,1.347,1.836,-0.489000
72,2017-12-08 01:50:00,2.176,1.93,0.246000
73,2017-11-09 01:50:00,2.271,2.375,-0.104000
74,2017-10-10 02:50:00,2.38,2.262,0.118000
75,2017-09-08 02:50:00,2.32,2.059,0.261000
76,2017-08-08 02:50:00,0.935,0.814,0.121000
77,2017-07-10 02:50:00,1.654,1.796,-0.142000
78,2017-06-08 02:50:00,1.952,1.699,0.253000
79,2017-05-11 02:50:00,2.908,2.643,0.265000
80,2017-04-10 02:50:00,2.814,2.616,0.198000
81,2017-03-08 01:50:00,0.066,0.239,-0.173000
82,2017-02-08 01:50:00,1.112,1.295,-0.183000
83,2017-01-12 01:50:00,1.416,1.5,-0.084000
84,2016-12-08 01:50:00,1.72,1.577,0.143000
85,2016-11-09 01:50:00,1.821,1.96,-0.139000
86,2016-10-11 02:50:00,2.001,1.539,0.462000
87,2016-09-08 02:50:00,1.938,2.09,-0.152000
88,2016-08-08 02:50:00,0.974,1.057,-0.083000
89,2016-07-08 02:50:00,1.809,1.75,0.059000
90,2016-06-08 02:50:00,1.879,2.319,-0.440000
91,2016-05-12 02:50:00,2.98,3.005,-0.025000
92,2016-04-08 02:50:00,2.435,2.006,0.429000
93,2016-03-08 01:50:00,0.521,0.719,-0.198000
94,2016-02-08 01:50:00,0.961,0.987,-0.026000
95,2016-01-12 01:50:00,1.144,0.859,0.285000
96,2015-12-08 01:50:00,1.458,1.659,-0.201000
97,2015-11-10 01:50:00,1.468,2.235,-0.767000
98,2015-10-08 02:50:00,1.653,1.221,0.432000
99,2015-09-08 02:50:00,1.809,1.715,0.094000
100,2015-08-10 02:50:00,0.559,0.774,-0.215000
101,2015-07-08 02:50:00,1.881,1.542,0.339000
102,2015-06-08 02:50:00,1.326,1.696,-0.370000
103,2015-05-13 02:50:00,2.795,2.06,0.735000
104,2015-04-08 02:50:00,1.44,1.15,0.290000
105,2015-03-09 02:50:00,0.061,0.288,-0.227000
106,2015-02-09 01:50:00,0.187,0.358,-0.171000
107,2015-01-13 01:50:00,0.433,0.133,0.300000
108,2014-12-08 01:50:00,0.833,0.395,0.438000
109,2014-11-11 01:50:00,0.963,0.534,0.429000
110,2014-10-08 02:50:00,0.287,0.198,0.089000
111,2014-09-08 02:50:00,0.417,0.444,-0.027000
112,2014-08-08 02:50:00,-0.399,-0.324,-0.075000
113,2014-07-08 02:50:00,0.523,0.404,0.119000
114,2014-06-09 02:50:00,0.187,0.323,-0.136000
115,2014-05-12 02:50:00,0.116,0.305,-0.189000
116,2014-04-08 02:50:00,0.613,0.628,-0.015000
117,2014-03-10 02:50:00,-1.589,-1.411,-0.178000
118,2014-01-14 01:50:00,-0.593,-0.38,-0.213000
119,2013-12-09 01:50:00,-0.128,0.153,-0.281000
120,2013-11-11 01:50:00,0.587,0.4,0.187000
121,2013-10-08 02:50:00,0.162,0.549,-0.387000
122,2013-09-09 02:50:00,0.577,0.488,0.089000
123,2013-08-08 02:50:00,0.336,0.393,-0.057000
