,Date,Actual,Consensus,Difference
0,2023-11-16 01:50:00,1.6,1.2,0.400000
1,2023-10-19 02:50:00,4.3,3.1,1.200000
2,2023-09-20 02:50:00,-0.8,-1.7,0.900000
3,2023-08-17 02:50:00,-0.3,-0.8,0.500000
4,2023-07-20 02:50:00,1.5,2.2,-0.700000
5,2023-06-15 02:50:00,0.6,-0.8,1.400000
6,2023-05-18 02:50:00,2.6,3.0,-0.400000
7,2023-04-20 02:50:00,4.3,2.6,1.700000
8,2023-03-16 02:50:00,6.5,7.1,-0.600000
9,2023-02-16 01:50:00,3.5,0.8,2.700000
10,2023-01-19 01:50:00,11.5,10.1,1.400000
11,2022-12-15 01:50:00,20.0,19.8,0.200000
12,2022-11-17 01:50:00,25.3,28.1,-2.800000
13,2022-10-20 02:50:00,28.9,27.1,1.800000
14,2022-09-15 02:50:00,22.1,23.6,-1.500000
15,2022-08-17 02:50:00,19.0,18.2,0.800000
16,2022-07-21 02:50:00,19.4,17.5,1.900000
17,2022-06-16 02:50:00,15.8,16.4,-0.600000
18,2022-05-19 02:50:00,12.5,13.8,-1.300000
19,2022-04-20 02:50:00,14.7,17.5,-2.800000
20,2022-03-16 02:50:00,19.1,21.0,-1.900000
21,2022-02-17 01:50:00,9.6,16.5,-6.900000
22,2022-01-20 01:50:00,17.5,16.0,1.500000
23,2021-12-16 01:50:00,20.5,21.2,-0.700000
24,2021-11-17 01:50:00,9.4,9.9,-0.500000
25,2021-10-20 02:50:00,13.0,11.0,2.000000
26,2021-09-16 02:50:00,26.2,34.0,-7.800000
27,2021-08-18 02:50:00,37.0,39.0,-2.000000
28,2021-07-21 02:50:00,48.6,46.2,2.400000
29,2021-06-16 02:50:00,49.6,51.3,-1.700000
30,2021-05-20 02:50:00,38.0,30.9,7.100000
31,2021-04-19 02:50:00,16.1,11.6,4.500000
32,2021-03-17 02:50:00,-4.5,-0.8,-3.700000
33,2021-02-17 01:50:00,6.4,6.6,-0.200000
34,2021-01-21 01:50:00,2.0,2.4,-0.400000
35,2020-12-16 01:50:00,-4.2,0.5,-4.700000
36,2020-11-18 01:50:00,-0.2,-4.5,4.300000
37,2020-10-19 02:50:00,-4.9,-2.4,-2.500000
38,2020-09-16 02:50:00,-14.8,-16.1,1.300000
39,2020-08-19 02:50:00,-19.2,-21.0,1.800000
40,2020-07-20 02:50:00,-26.2,-24.9,-1.300000
41,2020-06-17 02:50:00,-28.3,-22.7,-5.600000
42,2020-05-21 02:50:00,-21.9,-22.7,0.800000
43,2020-04-20 02:50:00,-11.7,-10.1,-1.600000
44,2020-03-18 02:50:00,-1.0,-4.3,3.300000
45,2020-02-19 01:50:00,-2.6,-6.9,4.300000
46,2020-01-23 01:50:00,-6.3,-4.2,-2.100000
47,2019-12-18 01:50:00,-7.9,-8.6,0.700000
48,2019-11-20 01:50:00,-9.2,-7.6,-1.600000
49,2019-10-21 02:50:00,-5.2,-4.0,-1.200000
50,2019-09-18 02:50:00,-8.2,-10.9,2.700000
51,2019-08-19 02:50:00,-1.6,-2.2,0.600000
52,2019-07-18 02:50:00,-6.7,-5.6,-1.100000
53,2019-06-19 02:50:00,-7.8,-7.7,-0.100000
54,2019-05-22 02:50:00,-2.4,-1.8,-0.600000
55,2019-04-17 02:50:00,-2.4,-2.7,0.300000
56,2019-03-18 02:50:00,-1.2,-0.9,-0.300000
57,2019-02-20 01:50:00,-8.4,-5.5,-2.900000
58,2019-01-23 01:50:00,-3.8,-1.9,-1.900000
59,2018-12-19 01:50:00,0.1,1.8,-1.700000
60,2018-11-19 01:50:00,8.2,9.0,-0.800000
61,2018-10-18 02:50:00,-1.2,1.9,-3.100000
62,2018-09-19 02:50:00,6.6,5.6,1.000000
63,2018-08-16 02:50:00,3.9,6.3,-2.400000
64,2018-07-19 02:50:00,6.7,7.0,-0.300000
65,2018-06-18 02:50:00,8.1,7.5,0.600000
