,Date,Actual,Consensus,Difference
0,2023-11-15 01:50:00,-0.5,-0.1,-0.400000
1,2023-09-08 02:50:00,1.2,1.5,-0.300000
2,2023-08-15 02:50:00,1.5,0.8,0.700000
3,2023-06-08 02:50:00,0.7,0.4,0.300000
4,2023-05-17 02:50:00,0.4,0.1,0.300000
5,2023-03-09 01:50:00,0.0,0.2,-0.200000
6,2023-02-14 01:50:00,0.2,0.5,-0.300000
7,2022-12-08 01:50:00,-0.2,-0.3,0.100000
8,2022-11-15 01:50:00,-0.3,0.3,-0.600000
9,2022-09-08 02:50:00,0.9,0.7,0.200000
10,2022-08-15 02:50:00,0.5,0.6,-0.100000
11,2022-06-08 02:50:00,-0.1,-0.3,0.200000
12,2022-05-18 02:50:00,-0.2,-0.4,0.200000
13,2022-03-09 01:50:00,1.1,1.4,-0.300000
14,2022-02-15 01:50:00,1.3,1.4,-0.100000
15,2021-12-08 01:50:00,-0.9,-0.8,-0.100000
16,2021-11-15 01:50:00,-0.8,-0.2,-0.600000
17,2021-09-08 02:50:00,0.5,0.4,0.100000
18,2021-08-16 02:50:00,0.3,0.2,0.100000
19,2021-06-08 02:50:00,-1.0,-1.2,0.200000
20,2021-05-18 02:50:00,-1.3,-1.2,-0.100000
21,2021-03-09 01:50:00,2.8,3.0,-0.200000
22,2021-02-15 01:50:00,3.0,2.3,0.700000
23,2020-12-08 01:50:00,5.3,5.0,0.300000
24,2020-11-16 01:50:00,5.0,4.4,0.600000
25,2020-09-08 02:50:00,-7.9,-8.1,0.200000
26,2020-08-17 02:50:00,-7.8,-7.6,-0.200000
27,2020-08-03 02:50:00,-0.6,-1.1,0.500000
28,2020-06-08 02:50:00,-0.6,-0.5,-0.100000
29,2020-05-18 02:50:00,-0.9,-1.2,0.300000
30,2020-03-09 02:50:00,-1.8,-1.7,-0.100000
31,2020-02-17 01:50:00,-1.6,-0.9,-0.700000
32,2019-12-09 01:50:00,0.4,0.2,0.200000
33,2019-11-14 01:50:00,0.1,0.2,-0.100000
34,2019-09-09 02:50:00,0.3,0.3,0.000000
35,2019-08-09 02:50:00,0.4,0.1,0.300000
36,2019-06-10 02:50:00,0.6,0.5,0.100000
37,2019-05-20 02:50:00,0.5,-0.1,0.600000
38,2019-03-08 01:50:00,0.5,0.4,0.100000
39,2019-02-14 01:50:00,0.3,0.4,-0.100000
40,2018-12-10 01:50:00,-0.6,-0.5,-0.100000
41,2018-11-14 01:50:00,-0.3,-0.3,0.000000
42,2018-09-10 02:50:00,0.7,0.7,0.000000
43,2018-08-10 02:50:00,0.5,0.3,0.200000
44,2018-06-08 02:50:00,-0.2,-0.1,-0.100000
45,2018-05-16 02:50:00,-0.2,0.0,-0.200000
46,2018-03-08 01:50:00,0.4,0.2,0.200000
47,2018-02-14 01:50:00,0.1,0.2,-0.100000
48,2017-12-08 01:50:00,0.6,0.4,0.200000
49,2017-11-15 01:50:00,0.3,0.3,0.000000
50,2017-09-08 02:50:00,0.6,0.7,-0.100000
51,2017-08-14 02:50:00,1.0,0.6,0.400000
52,2017-06-08 02:50:00,0.3,0.6,-0.300000
53,2017-05-18 02:50:00,0.5,0.4,0.100000
54,2017-03-08 01:50:00,0.3,0.4,-0.100000
55,2017-02-13 01:50:00,0.2,0.3,-0.100000
56,2016-12-08 01:50:00,0.3,0.6,-0.300000
57,2016-11-14 01:50:00,0.5,0.2,0.300000
58,2016-09-08 02:50:00,0.2,0.0,0.200000
59,2016-08-15 02:50:00,0.0,0.2,-0.200000
60,2016-06-08 02:50:00,0.5,0.5,0.000000
61,2016-05-18 02:50:00,0.4,0.1,0.300000
62,2016-03-08 01:50:00,-0.3,-0.4,0.100000
