,Date,Actual,Consensus,Difference
0,2023-11-15 01:50:00,-2.1,-0.6,-1.500000
1,2023-09-08 02:50:00,4.8,6.0,-1.200000
2,2023-08-15 02:50:00,6.0,3.1,2.900000
3,2023-06-08 02:50:00,2.7,1.6,1.100000
4,2023-05-17 02:50:00,1.6,0.7,0.900000
5,2023-03-09 01:50:00,0.1,0.8,-0.700000
6,2023-02-14 01:50:00,0.6,2.0,-1.400000
7,2022-12-08 01:50:00,-0.8,-1.1,0.300000
8,2022-11-15 01:50:00,-1.2,1.1,-2.300000
9,2022-09-08 02:50:00,3.5,2.9,0.600000
10,2022-08-15 02:50:00,2.2,2.5,-0.300000
11,2022-06-08 02:50:00,-0.5,-1.0,0.500000
12,2022-05-18 02:50:00,-1.0,-1.8,0.800000
13,2022-03-09 01:50:00,4.6,5.6,-1.000000
14,2022-02-15 01:50:00,5.4,5.8,-0.400000
15,2021-12-08 01:50:00,-3.6,-3.1,-0.500000
16,2021-11-15 01:50:00,-3.0,-0.8,-2.200000
17,2021-09-08 02:50:00,1.9,1.6,0.300000
18,2021-08-16 02:50:00,1.3,0.7,0.600000
19,2021-06-08 02:50:00,-3.9,-4.8,0.900000
20,2021-05-18 02:50:00,-5.1,-4.6,-0.500000
21,2021-03-09 01:50:00,11.7,12.7,-1.000000
22,2021-02-15 01:50:00,12.7,9.5,3.200000
23,2020-12-08 01:50:00,22.9,21.5,1.400000
24,2020-11-16 01:50:00,21.4,18.9,2.500000
25,2020-09-08 02:50:00,-28.1,-28.6,0.500000
26,2020-08-17 02:50:00,-27.8,-27.2,-0.600000
27,2020-08-03 02:50:00,-2.2,-4.1,1.900000
28,2020-06-08 02:50:00,-2.2,-2.1,-0.100000
29,2020-05-18 02:50:00,-3.4,-4.6,1.200000
30,2020-03-09 02:50:00,-7.1,-6.6,-0.500000
31,2020-02-17 01:50:00,-6.3,-3.7,-2.600000
32,2019-12-09 01:50:00,1.8,0.7,1.100000
33,2019-11-14 01:50:00,0.2,0.8,-0.600000
34,2019-09-09 02:50:00,1.3,1.3,0.000000
35,2019-08-09 02:50:00,1.8,0.4,1.400000
36,2019-06-10 02:50:00,2.2,2.1,0.100000
37,2019-05-20 02:50:00,2.1,-0.2,2.300000
38,2019-03-08 01:50:00,1.9,1.8,0.100000
39,2019-02-14 01:50:00,1.4,1.4,0.000000
40,2018-12-10 01:50:00,-2.5,-1.9,-0.600000
41,2018-11-14 01:50:00,-1.2,-1.0,-0.200000
42,2018-09-10 02:50:00,3.0,2.6,0.400000
43,2018-08-10 02:50:00,1.9,1.4,0.500000
44,2018-06-08 02:50:00,-0.6,-0.4,-0.200000
45,2018-05-16 02:50:00,-0.6,-0.2,-0.400000
46,2018-03-08 01:50:00,1.6,0.9,0.700000
47,2018-02-14 01:50:00,0.5,0.9,-0.400000
48,2017-12-08 01:50:00,2.5,1.5,1.000000
49,2017-11-15 01:50:00,1.4,1.3,0.100000
50,2017-09-08 02:50:00,2.5,2.9,-0.400000
51,2017-08-14 02:50:00,4.0,2.5,1.500000
52,2017-06-08 02:50:00,1.0,2.4,-1.400000
53,2017-05-18 02:50:00,2.2,1.7,0.500000
54,2017-03-08 01:50:00,1.2,1.6,-0.400000
55,2017-02-13 01:50:00,1.0,1.1,-0.100000
56,2016-12-08 01:50:00,1.3,2.4,-1.100000
57,2016-11-14 01:50:00,2.2,0.9,1.300000
58,2016-09-08 02:50:00,0.7,0.2,0.500000
59,2016-08-15 02:50:00,0.2,0.7,-0.500000
60,2016-06-08 02:50:00,1.9,1.9,0.000000
61,2016-05-18 02:50:00,1.7,0.2,1.500000
62,2016-03-08 01:50:00,-1.1,-1.5,0.400000
63,2016-02-15 01:50:00,-1.4,-1.2,-0.200000
64,2015-12-08 01:50:00,1.0,0.1,0.900000
65,2015-11-16 01:50:00,-0.8,-0.2,-0.600000
66,2015-09-08 02:50:00,-1.2,-1.8,0.600000
67,2015-08-17 02:50:00,-1.6,-1.9,0.300000
68,2015-06-08 02:50:00,3.9,2.7,1.200000
69,2015-05-20 02:50:00,2.4,1.5,0.900000
70,2015-03-09 02:50:00,1.5,2.2,-0.700000
71,2015-02-16 01:50:00,2.2,3.7,-1.500000
72,2014-12-08 01:50:00,-1.9,-0.5,-1.400000
73,2014-11-17 01:50:00,-1.6,2.1,-3.700000
74,2014-09-08 02:50:00,-7.1,-7.0,-0.100000
75,2014-08-13 02:50:00,-6.8,-7.1,0.300000
76,2014-06-09 02:50:00,6.7,5.6,1.100000
77,2014-05-15 02:50:00,5.9,4.2,1.700000
78,2014-03-10 02:50:00,0.7,1.0,-0.300000
79,2014-02-17 01:50:00,1.0,2.8,-1.800000
80,2013-12-09 01:50:00,1.1,1.6,-0.500000
81,2013-11-14 01:50:00,1.9,2.8,-0.900000
