,Date,Actual,Consensus,Difference
0,2023-11-15 01:50:00,5.1,4.8,0.300000
1,2023-09-08 02:50:00,3.5,3.4,0.100000
2,2023-08-15 02:50:00,3.4,2.0,1.400000
3,2023-06-08 02:50:00,2.0,2.1,-0.100000
4,2023-05-17 02:50:00,2.1,2.0,0.100000
5,2023-03-09 01:50:00,1.2,1.1,0.100000
6,2023-02-14 01:50:00,1.1,-0.3,1.400000
7,2022-12-08 01:50:00,-0.3,-0.5,0.200000
8,2022-11-15 01:50:00,-0.5,-0.2,-0.300000
9,2022-09-08 02:50:00,-0.3,-0.4,0.100000
10,2022-06-08 02:50:00,-0.5,-0.4,-0.100000
11,2022-03-09 01:50:00,-1.3,-1.3,0.000000
12,2020-11-16 01:50:00,1.1,1.0,0.100000
13,2019-09-09 02:50:00,0.4,0.4,0.000000
14,2019-08-09 02:50:00,0.1,0.3,-0.200000
15,2019-06-10 02:50:00,0.1,0.2,-0.100000
16,2019-05-20 02:50:00,0.2,0.2,0.000000
17,2019-03-08 01:50:00,-0.3,-0.3,0.000000
18,2019-02-14 01:50:00,-0.3,-0.4,0.100000
19,2018-12-10 01:50:00,-0.3,-0.3,0.000000
20,2018-11-14 01:50:00,-0.3,-0.1,-0.200000
21,2018-09-10 02:50:00,0.1,0.1,0.000000
22,2018-08-10 02:50:00,0.1,0.0,0.100000
23,2018-06-08 02:50:00,0.5,0.5,0.000000
24,2018-05-16 02:50:00,0.5,0.3,0.200000
25,2018-03-08 01:50:00,0.1,0.0,0.100000
26,2018-02-14 01:50:00,0.0,0.0,0.000000
27,2017-12-08 01:50:00,0.1,0.1,0.000000
28,2017-11-15 01:50:00,0.1,0.1,0.000000
29,2017-09-08 02:50:00,-0.4,-0.4,0.000000
30,2017-08-14 02:50:00,-0.4,-0.5,0.100000
31,2017-06-08 02:50:00,-0.8,-0.8,0.000000
32,2017-05-18 02:50:00,-0.8,-0.7,-0.100000
33,2017-03-08 01:50:00,-0.1,-0.1,0.000000
34,2017-02-13 01:50:00,-0.1,-0.2,0.100000
35,2016-12-08 01:50:00,-0.2,-0.1,-0.100000
36,2016-11-14 01:50:00,-0.1,0.3,-0.400000
