,Date,Actual,Consensus,Difference
0,2023-11-07 01:30:00,0.3,-0.4,0.700000
1,2023-10-06 02:30:00,3.9,0.9,3.000000
2,2023-09-05 02:30:00,-2.7,0.7,-3.400000
3,2023-08-08 02:30:00,0.9,0.3,0.600000
4,2023-07-07 02:30:00,-1.1,0.5,-1.600000
5,2023-06-06 02:30:00,-1.3,0.6,-1.900000
6,2023-05-09 02:30:00,-0.8,1.5,-2.300000
7,2023-04-07 02:30:00,-2.4,-0.4,-2.000000
8,2023-03-10 01:30:00,2.7,1.4,1.300000
9,2023-02-07 01:30:00,-2.1,0.3,-2.400000
10,2023-01-10 01:30:00,-0.9,-0.5,-0.400000
11,2022-12-06 01:30:00,1.1,1.5,-0.400000
12,2022-11-08 01:30:00,1.8,1.7,0.100000
13,2022-10-07 02:30:00,-1.7,0.2,-1.900000
14,2022-09-06 02:30:00,-1.4,-0.6,-0.800000
15,2022-08-05 02:30:00,1.5,0.2,1.300000
16,2022-07-08 02:30:00,-1.9,0.8,-2.700000
17,2022-06-07 02:30:00,1.0,1.3,-0.300000
18,2022-05-10 02:30:00,4.1,2.6,1.500000
19,2022-04-05 02:30:00,-2.8,-1.5,-1.300000
20,2022-03-11 01:30:00,-1.2,-3.0,1.800000
21,2022-02-08 01:30:00,0.1,0.7,-0.600000
22,2022-01-07 01:30:00,-1.2,1.2,-2.400000
23,2021-12-07 01:30:00,3.4,3.6,-0.200000
24,2021-11-05 02:30:00,5.0,2.8,2.200000
25,2021-10-08 02:30:00,-3.9,-2.0,-1.900000
26,2021-09-07 02:30:00,-0.9,1.1,-2.000000
27,2021-08-06 02:30:00,-3.2,2.0,-5.200000
28,2021-07-06 02:30:00,-2.1,-3.7,1.600000
29,2021-06-04 02:30:00,0.1,-2.2,2.300000
30,2021-05-11 02:30:00,7.2,2.1,5.100000
31,2021-04-06 02:30:00,2.4,2.8,-0.400000
32,2021-03-09 01:30:00,-7.3,-3.1,-4.200000
33,2021-02-05 01:30:00,0.9,-1.9,2.800000
34,2021-01-08 01:30:00,-1.8,-1.3,-0.500000
35,2020-12-08 01:30:00,2.1,1.0,1.100000
36,2020-11-06 01:30:00,3.8,2.2,1.600000
37,2020-10-09 02:30:00,1.7,3.2,-1.500000
38,2020-09-08 02:30:00,-6.5,-2.3,-4.200000
39,2020-08-07 02:30:00,13.0,7.5,5.500000
40,2020-07-07 02:30:00,-0.1,1.8,-1.900000
41,2020-06-05 02:30:00,-6.2,-8.7,2.500000
42,2020-05-08 02:30:00,-4.0,-4.0,0.000000
43,2020-04-07 02:30:00,0.8,-0.2,1.000000
44,2020-03-06 01:30:00,-1.6,0.9,-2.500000
45,2020-02-07 01:30:00,-1.7,0.2,-1.900000
46,2020-01-10 01:30:00,2.6,-9.8,12.400000
47,2019-12-06 01:30:00,-11.5,-9.8,-1.700000
48,2019-11-08 01:30:00,5.5,3.8,1.700000
49,2019-10-08 02:30:00,2.4,2.8,-0.400000
50,2019-09-06 02:30:00,-0.9,-1.3,0.400000
51,2019-08-06 02:30:00,-2.8,-3.0,0.200000
52,2019-07-05 02:30:00,5.5,1.2,4.300000
53,2019-06-07 02:30:00,-1.4,-0.3,-1.100000
54,2019-05-10 02:30:00,0.1,0.5,-0.400000
55,2019-04-05 02:30:00,-2.0,-0.5,-1.500000
56,2019-02-08 01:30:00,-0.1,-0.2,0.100000
57,2019-01-11 01:30:00,1.1,0.2,0.900000
58,2018-12-07 01:30:00,1.8,1.4,0.400000
59,2018-11-06 01:30:00,-4.5,-1.8,-2.700000
60,2018-10-05 02:30:00,3.5,0.4,3.100000
61,2018-09-07 02:30:00,-1.1,-1.2,0.100000
62,2018-08-07 02:30:00,2.9,1.7,1.200000
63,2018-07-06 02:30:00,-0.2,-0.1,-0.100000
64,2018-06-05 02:30:00,-1.6,0.7,-2.300000
65,2018-05-08 02:30:00,-0.1,0.7,-0.800000
66,2018-04-06 02:30:00,-1.5,-0.6,-0.900000
67,2018-03-09 01:30:00,2.7,-0.4,3.100000
68,2018-01-30 01:30:00,-2.5,-0.6,-1.900000
69,2017-12-26 01:30:00,2.1,1.2,0.900000
70,2017-12-01 01:30:00,-2.0,-1.4,-0.600000
71,2017-10-31 02:30:00,0.4,0.1,0.300000
72,2017-09-29 02:30:00,0.2,-0.2,0.400000
73,2017-08-29 02:30:00,-1.9,-0.5,-1.400000
74,2017-07-28 02:30:00,1.5,-0.1,1.600000
75,2017-06-30 02:30:00,0.7,0.2,0.500000
76,2017-05-30 02:30:00,0.5,1.1,-0.600000
77,2017-04-28 02:30:00,-2.0,-0.8,-1.200000
78,2017-03-31 02:30:00,2.5,0.4,2.100000
79,2017-03-03 01:30:00,0.5,0.3,0.200000
80,2017-01-31 01:30:00,-0.6,0.6,-1.200000
81,2016-12-27 01:30:00,-0.6,0.4,-1.000000
82,2016-11-29 01:30:00,-1.0,0.1,-1.100000
83,2016-10-28 02:30:00,2.8,0.6,2.200000
84,2016-09-30 02:30:00,-3.7,-1.0,-2.700000
85,2016-08-30 02:30:00,2.5,1.1,1.400000
86,2016-07-29 02:30:00,-1.1,0.4,-1.500000
87,2016-07-01 02:30:00,-1.5,-0.2,-1.300000
88,2016-05-31 02:30:00,0.2,-0.6,0.800000
89,2016-04-28 02:30:00,0.5,-0.3,0.800000
90,2016-03-29 02:30:00,1.7,0.5,1.200000
91,2016-03-01 01:30:00,-0.6,0.3,-0.900000
92,2016-01-29 01:30:00,1.0,2.0,-1.000000
93,2015-12-25 01:30:00,-2.2,-0.3,-1.900000
94,2015-11-27 01:30:00,-0.7,1.1,-1.800000
95,2015-10-30 02:30:00,-1.3,0.3,-1.600000
96,2015-10-02 02:30:00,2.5,0.5,2.000000
97,2015-08-28 02:30:00,0.6,2.2,-1.600000
98,2015-07-31 02:30:00,-3.0,-0.5,-2.500000
99,2015-06-26 02:30:00,2.4,2.2,0.200000
100,2015-05-29 02:30:00,-5.5,-0.7,-4.800000
101,2015-05-01 02:30:00,2.4,0.5,1.900000
102,2015-03-27 02:30:00,0.8,0.5,0.300000
103,2015-02-27 01:30:00,-0.3,0.4,-0.700000
104,2015-01-30 01:30:00,0.4,0.3,0.100000
105,2014-12-26 01:30:00,0.4,0.2,0.200000
106,2014-10-31 02:30:00,1.5,1.9,-0.400000
107,2014-09-30 02:30:00,-0.3,1.2,-1.500000
