,Date,Actual,Consensus,Difference
0,2023-11-07 01:30:00,-2.8,-2.7,-0.100000
1,2023-10-06 02:30:00,-2.5,-4.3,1.800000
2,2023-09-05 02:30:00,-5.0,-2.5,-2.500000
3,2023-08-08 02:30:00,-4.2,-4.1,-0.100000
4,2023-07-07 02:30:00,-4.0,-2.4,-1.600000
5,2023-06-06 02:30:00,-4.4,-2.3,-2.100000
6,2023-05-09 02:30:00,-1.9,0.4,-2.300000
7,2023-04-07 02:30:00,1.6,4.3,-2.700000
8,2023-03-10 01:30:00,-0.3,-0.1,-0.200000
9,2023-02-07 01:30:00,-1.3,-0.2,-1.100000
10,2023-01-10 01:30:00,-1.2,0.5,-1.700000
11,2022-12-06 01:30:00,1.2,1.0,0.200000
12,2022-11-08 01:30:00,2.3,2.7,-0.400000
13,2022-10-07 02:30:00,5.1,6.7,-1.600000
14,2022-09-06 02:30:00,3.4,4.2,-0.800000
15,2022-08-05 02:30:00,3.5,1.5,2.000000
16,2022-07-08 02:30:00,-0.5,2.1,-2.600000
17,2022-06-07 02:30:00,-1.7,-0.8,-0.900000
18,2022-05-10 02:30:00,-2.3,-2.8,0.500000
19,2022-04-05 02:30:00,1.1,2.7,-1.600000
20,2022-03-11 01:30:00,6.9,3.6,3.300000
21,2022-02-08 01:30:00,-0.2,0.3,-0.500000
22,2022-01-07 01:30:00,-1.3,1.6,-2.900000
23,2021-12-07 01:30:00,-0.6,-0.6,0.000000
24,2021-11-05 02:30:00,-1.9,-3.9,2.000000
25,2021-10-08 02:30:00,-3.0,-1.5,-1.500000
26,2021-09-07 02:30:00,0.7,2.9,-2.200000
27,2021-08-06 02:30:00,-5.1,0.1,-5.200000
28,2021-07-06 02:30:00,11.6,10.9,0.700000
29,2021-06-04 02:30:00,13.0,9.3,3.700000
30,2021-05-11 02:30:00,6.2,1.5,4.700000
31,2021-04-06 02:30:00,-6.6,-5.3,-1.300000
32,2021-03-09 01:30:00,-6.1,-2.1,-4.000000
33,2021-02-05 01:30:00,-0.6,-2.4,1.800000
34,2021-01-08 01:30:00,1.1,-1.5,2.600000
35,2020-12-08 01:30:00,1.9,2.5,-0.600000
36,2020-11-06 01:30:00,-10.2,-10.7,0.500000
37,2020-10-09 02:30:00,-6.9,-6.9,0.000000
38,2020-09-08 02:30:00,-7.6,-3.7,-3.900000
39,2020-08-07 02:30:00,-1.2,-7.5,6.300000
40,2020-07-07 02:30:00,-16.2,-12.2,-4.000000
41,2020-06-05 02:30:00,-11.1,-15.4,4.300000
42,2020-05-08 02:30:00,-6.0,-6.7,0.700000
43,2020-04-07 02:30:00,-0.3,-3.9,3.600000
44,2020-03-06 01:30:00,-3.9,-4.0,0.100000
45,2020-02-07 01:30:00,-4.8,-1.7,-3.100000
46,2020-01-10 01:30:00,-2.0,2.5,-4.500000
47,2019-12-06 01:30:00,-5.1,-3.0,-2.100000
48,2019-11-08 01:30:00,9.5,7.8,1.700000
49,2019-10-08 02:30:00,1.0,1.2,-0.200000
50,2019-09-06 02:30:00,0.8,0.9,-0.100000
51,2019-08-06 02:30:00,2.7,1.3,1.400000
52,2019-07-05 02:30:00,4.0,1.4,2.600000
53,2019-06-07 02:30:00,1.3,2.6,-1.300000
54,2019-05-10 02:30:00,2.1,1.7,0.400000
55,2019-04-05 02:30:00,1.7,1.9,-0.200000
56,2019-03-08 01:30:00,2.0,-0.5,2.500000
57,2019-02-08 01:30:00,0.1,0.8,-0.700000
58,2019-01-11 01:30:00,-0.6,0.0,-0.600000
59,2018-12-07 01:30:00,-0.3,1.2,-1.500000
60,2018-11-06 01:30:00,-1.6,1.6,-3.200000
61,2018-10-05 02:30:00,2.8,0.0,2.800000
62,2018-09-07 02:30:00,0.1,-0.8,0.900000
63,2018-08-07 02:30:00,-1.2,-1.2,0.000000
64,2018-07-06 02:30:00,-3.9,-1.5,-2.400000
65,2018-06-05 02:30:00,-1.3,0.8,-2.100000
66,2018-05-08 02:30:00,-0.2,1.2,-1.400000
67,2018-04-06 02:30:00,-0.9,0.3,-1.200000
68,2018-03-09 01:30:00,1.9,-1.1,3.000000
69,2018-01-30 01:30:00,-0.1,1.6,-1.700000
70,2017-12-26 01:30:00,1.7,0.6,1.100000
71,2017-12-01 01:30:00,0.0,-0.4,0.400000
72,2017-10-31 02:30:00,-0.3,0.7,-1.000000
73,2017-09-29 02:30:00,0.6,1.0,-0.400000
74,2017-08-29 02:30:00,-0.2,0.7,-0.900000
75,2017-07-28 02:30:00,2.3,0.6,1.700000
76,2017-06-30 02:30:00,-0.1,-0.6,0.500000
77,2017-05-30 02:30:00,-1.4,-0.7,-0.700000
78,2017-04-28 02:30:00,-1.3,-0.3,-1.000000
79,2017-03-31 02:30:00,-3.8,-1.7,-2.100000
80,2017-03-03 01:30:00,-1.2,-0.4,-0.800000
81,2017-01-31 01:30:00,-0.3,-0.6,0.300000
82,2016-12-27 01:30:00,-1.5,0.2,-1.700000
83,2016-11-29 01:30:00,-0.4,-0.6,0.200000
84,2016-10-28 02:30:00,-2.1,-3.0,0.900000
85,2016-09-30 02:30:00,-4.6,-2.5,-2.100000
86,2016-08-30 02:30:00,-0.5,-0.9,0.400000
87,2016-07-29 02:30:00,-2.2,-0.3,-1.900000
88,2016-07-01 02:30:00,-1.1,-1.4,0.300000
89,2016-05-31 02:30:00,-0.4,-1.4,1.000000
90,2016-04-28 02:30:00,-5.3,-4.2,-1.100000
91,2016-03-29 02:30:00,1.2,-1.5,2.700000
92,2016-03-01 01:30:00,-3.1,-2.7,-0.400000
93,2016-01-29 01:30:00,-4.4,-2.4,-2.000000
94,2015-12-25 01:30:00,-2.9,-2.4,-0.500000
95,2015-11-27 01:30:00,-2.4,0.1,-2.500000
96,2015-10-30 02:30:00,-0.4,1.2,-1.600000
97,2015-10-02 02:30:00,2.9,0.4,2.500000
98,2015-08-28 02:30:00,-0.2,1.3,-1.500000
99,2015-07-31 02:30:00,-2.0,1.7,-3.700000
100,2015-06-26 02:30:00,4.8,3.4,1.400000
101,2015-05-29 02:30:00,-1.3,3.1,-4.400000
102,2015-05-01 02:30:00,-10.6,-12.1,1.500000
103,2015-03-27 02:30:00,-2.9,-3.2,0.300000
104,2015-02-27 01:30:00,-5.1,-4.1,-1.000000
105,2015-01-30 01:30:00,-3.4,-2.5,-0.900000
106,2014-12-26 01:30:00,-2.5,-3.8,1.300000
107,2014-11-28 01:30:00,-4.0,-4.8,0.800000
108,2014-10-31 02:30:00,-5.6,-4.3,-1.300000
109,2014-09-30 02:30:00,-4.7,-3.8,-0.900000
110,2014-08-29 02:30:00,-5.9,-3.0,-2.900000
111,2014-07-29 02:30:00,-3.0,-3.8,0.800000
112,2014-06-27 02:30:00,-8.0,-2.0,-6.000000
113,2014-05-30 02:30:00,-4.6,-3.2,-1.400000
114,2014-05-02 02:30:00,7.2,1.0,6.200000
115,2014-03-28 02:30:00,-2.5,0.1,-2.600000
116,2014-02-28 01:30:00,1.1,0.2,0.900000
117,2014-01-31 01:30:00,0.7,1.2,-0.500000
118,2013-12-27 01:30:00,0.2,1.7,-1.500000
119,2013-11-29 01:30:00,0.9,0.9,0.000000
120,2013-10-29 02:30:00,3.7,0.5,3.200000
121,2013-10-01 02:30:00,-1.6,0.1,-1.700000
122,2013-08-30 02:30:00,0.1,0.3,-0.200000
123,2013-07-30 02:30:00,-0.4,1.0,-1.400000
124,2013-06-28 02:30:00,-1.6,1.4,-3.000000
125,2013-05-31 02:30:00,1.5,3.1,-1.600000
126,2013-04-30 02:30:00,5.2,1.8,3.400000
127,2013-03-29 02:30:00,0.8,0.2,0.600000
128,2013-03-01 01:30:00,2.4,0.3,2.100000
129,2013-02-01 01:30:00,-0.7,-0.3,-0.400000
130,2012-12-28 01:30:00,0.2,1.0,-0.800000
131,2012-11-30 01:30:00,-0.1,-0.9,0.800000
132,2012-10-30 02:30:00,-0.9,0.7,-1.600000
133,2012-09-28 02:30:00,1.8,1.0,0.800000
134,2012-08-31 02:30:00,1.7,1.2,0.500000
135,2012-07-31 02:30:00,1.6,2.9,-1.300000
136,2012-06-29 02:30:00,4.0,2.4,1.600000
137,2012-05-29 02:30:00,2.6,2.4,0.200000
138,2012-04-27 02:30:00,3.4,3.5,-0.100000
139,2012-03-30 02:30:00,2.3,-0.5,2.800000
140,2012-03-02 01:30:00,-2.3,-0.7,-1.600000
141,2012-01-31 01:30:00,0.5,-0.1,0.600000
142,2011-12-28 01:30:00,-3.2,-1.2,-2.000000
143,2011-11-29 01:30:00,-0.4,-1.4,1.000000
144,2011-10-28 02:30:00,-1.9,-3.5,1.600000
145,2011-09-30 02:30:00,-4.1,-2.6,-1.500000
146,2011-08-30 02:30:00,-2.1,-3.5,1.400000
147,2011-07-29 02:30:00,-4.2,-2.3,-1.900000
148,2011-07-01 02:30:00,-1.9,-1.7,-0.200000
149,2011-05-31 02:30:00,-3.0,-2.8,-0.200000
150,2011-04-28 02:30:00,-8.5,-6.8,-1.700000
151,2011-03-29 02:30:00,-0.2,0.1,-0.300000
152,2011-03-01 01:30:00,-1.0,-1.3,0.300000
153,2011-01-28 01:30:00,-3.3,-0.5,-2.800000
154,2010-12-28 01:30:00,-0.4,0.4,-0.800000
155,2010-11-30 01:30:00,-0.4,0.4,-0.800000
156,2010-10-29 02:30:00,0.0,0.8,-0.800000
157,2010-10-01 02:30:00,1.7,1.4,0.300000
158,2010-08-27 02:30:00,1.1,1.5,-0.400000
159,2010-07-30 02:30:00,0.5,-0.7,1.200000
160,2010-06-29 02:30:00,-0.7,0.4,-1.100000
161,2010-05-28 02:30:00,-0.7,2.5,-3.200000
162,2010-04-30 02:30:00,4.4,0.7,3.700000
163,2010-03-30 02:30:00,-0.5,1.5,-2.000000
164,2010-03-02 01:30:00,1.7,2.6,-0.900000
165,2010-01-29 01:30:00,2.1,1.6,0.500000
166,2009-12-25 01:30:00,2.2,0.5,1.700000
167,2009-11-27 01:30:00,1.6,0.6,1.000000
168,2009-10-30 02:30:00,1.0,1.2,-0.200000
169,2009-10-02 02:30:00,2.6,0.0,2.600000
170,2009-08-28 02:30:00,-2.0,-0.5,-1.500000
171,2009-07-31 02:30:00,0.2,0.3,-0.100000
172,2009-06-30 02:30:00,0.3,-1.5,1.800000
173,2009-05-29 02:30:00,-1.3,-0.7,-0.600000
174,2009-05-01 02:30:00,-0.4,-2.6,2.200000
175,2009-03-31 02:30:00,-3.5,-4.6,1.100000
176,2009-02-27 01:30:00,-5.9,-5.7,-0.200000
177,2009-01-30 01:30:00,-4.6,-3.6,-1.000000
178,2008-12-26 01:30:00,-0.5,-3.7,3.200000
179,2008-11-28 01:30:00,-3.8,-3.4,-0.400000
180,2008-10-31 02:30:00,-2.3,-3.9,1.600000
181,2008-09-30 02:30:00,-4.0,-1.3,-2.700000
182,2008-09-30 02:30:00,-4.0,-1.3,-2.700000
183,2008-08-29 02:30:00,-0.5,-1.8,1.300000
184,2008-07-29 02:30:00,-1.8,-2.8,1.000000
185,2008-06-27 02:30:00,-3.2,-2.0,-1.200000
186,2008-05-30 03:30:00,-2.7,-0.7,-2.000000
187,2008-04-30 02:30:00,-1.6,0.4,-2.000000
188,2008-03-28 02:30:00,0.0,2.5,-2.500000
189,2008-02-29 01:30:00,3.6,0.4,3.200000
