,Date,Actual,Consensus,Difference
0,2023-11-15 06:30:00,0.5,0.2,0.300000
1,2023-10-31 02:50:00,0.2,2.5,-2.300000
2,2023-10-16 07:30:00,-0.7,0.0,-0.700000
3,2023-09-29 02:50:00,0.0,-0.8,0.800000
4,2023-09-14 07:30:00,-1.8,-2.0,0.200000
5,2023-08-31 02:50:00,-2.0,-1.4,-0.600000
6,2023-08-15 07:30:00,2.4,2.0,0.400000
7,2023-07-31 02:50:00,2.0,2.4,-0.400000
8,2023-07-14 07:30:00,-2.2,-1.6,-0.600000
9,2023-06-30 02:50:00,-1.6,-1.0,-0.600000
10,2023-06-20 07:30:00,0.7,-0.4,1.100000
11,2023-05-31 02:50:00,-0.4,0.5,-0.900000
12,2023-05-17 07:30:00,1.1,0.8,0.300000
13,2023-04-28 02:50:00,0.8,0.5,0.300000
14,2023-04-19 07:30:00,4.6,4.5,0.100000
15,2023-03-31 02:50:00,4.5,2.7,1.800000
16,2023-03-16 07:30:00,-5.3,-4.6,-0.700000
17,2023-02-28 01:50:00,-4.6,-2.6,-2.000000
18,2023-02-14 06:30:00,0.3,-0.1,0.400000
19,2023-01-31 01:50:00,-0.1,-1.2,1.100000
20,2023-01-18 06:30:00,0.2,-0.1,0.300000
21,2022-12-28 01:50:00,-0.1,-0.3,0.200000
22,2022-12-14 06:30:00,-3.2,-2.6,-0.600000
23,2022-11-30 01:50:00,-2.6,-1.5,-1.100000
24,2022-11-15 06:30:00,-1.7,-1.6,-0.100000
25,2022-10-31 02:50:00,-1.6,-1.0,-0.600000
26,2022-10-17 07:30:00,3.4,2.7,0.700000
27,2022-09-30 02:50:00,2.7,0.2,2.500000
28,2022-09-14 07:30:00,0.8,1.0,-0.200000
29,2022-08-31 02:50:00,1.0,-0.5,1.500000
30,2022-08-15 07:30:00,9.2,-7.5,16.700000
31,2022-07-29 02:50:00,8.9,3.7,5.200000
32,2022-06-30 02:50:00,-7.2,-0.3,-6.900000
33,2022-05-31 02:50:00,-1.3,-0.2,-1.100000
34,2022-05-18 07:30:00,0.3,0.3,0.000000
35,2022-04-28 02:50:00,0.3,0.5,-0.200000
36,2022-03-31 02:50:00,0.1,0.5,-0.400000
