,Date,Actual,Consensus,Difference
0,2023-10-02 02:50:00,10.0,5.0,5.000000
1,2023-07-03 02:50:00,9.0,5.0,4.000000
2,2023-04-03 02:50:00,3.0,4.0,-1.000000
3,2022-12-14 01:50:00,6.0,6.0,0.000000
4,2022-10-03 02:50:00,9.0,11.0,-2.000000
5,2022-07-01 02:50:00,10.0,14.0,-4.000000
6,2022-04-01 02:50:00,9.0,10.0,-1.000000
7,2021-12-13 01:50:00,13.0,19.0,-6.000000
8,2021-10-01 02:50:00,14.0,15.0,-1.000000
9,2021-07-01 02:50:00,13.0,18.0,-5.000000
10,2021-04-01 02:50:00,4.0,4.0,0.000000
11,2020-12-14 01:50:00,-8.0,-11.0,3.000000
12,2020-10-01 02:50:00,-17.0,-17.0,0.000000
13,2020-07-01 02:50:00,-27.0,-24.0,-3.000000
14,2020-04-01 02:50:00,-11.0,-14.0,3.000000
15,2019-12-13 01:50:00,0.0,3.0,-3.000000
16,2019-10-01 02:50:00,2.0,1.0,1.000000
17,2019-07-01 02:50:00,7.0,6.0,1.000000
18,2019-04-01 02:50:00,8.0,12.0,-4.000000
19,2018-12-14 01:50:00,15.0,16.0,-1.000000
20,2018-10-01 02:50:00,19.0,19.0,0.000000
21,2018-07-02 02:50:00,21.0,20.0,1.000000
22,2018-04-02 02:50:00,20.0,22.0,-2.000000
23,2017-12-15 01:50:00,19.0,22.0,-3.000000
24,2017-10-02 02:50:00,19.0,16.0,3.000000
25,2017-07-03 02:50:00,15.0,14.0,1.000000
26,2017-04-03 02:50:00,11.0,13.0,-2.000000
27,2016-12-14 01:50:00,8.0,9.0,-1.000000
28,2016-10-03 02:50:00,6.0,8.0,-2.000000
29,2016-07-01 02:50:00,6.0,3.0,3.000000
30,2016-04-01 02:50:00,3.0,6.0,-3.000000
31,2015-12-14 01:50:00,7.0,11.0,-4.000000
32,2015-10-01 02:50:00,10.0,10.0,0.000000
33,2015-07-01 02:50:00,16.0,12.0,4.000000
34,2015-04-01 02:50:00,10.0,16.0,-6.000000
35,2014-12-15 01:50:00,9.0,13.0,-4.000000
36,2014-10-01 02:50:00,13.0,12.0,1.000000
