,Date,Actual,Consensus,Difference
0,2023-10-02 02:50:00,27.0,24.0,3.000000
1,2023-07-03 02:50:00,23.0,22.0,1.000000
2,2023-04-03 02:50:00,20.0,20.0,0.000000
3,2022-12-14 01:50:00,19.0,17.0,2.000000
4,2022-10-03 02:50:00,14.0,13.0,1.000000
5,2022-07-01 02:50:00,13.0,14.0,-1.000000
6,2022-04-01 02:50:00,9.0,5.0,4.000000
7,2021-12-13 01:50:00,9.0,6.0,3.000000
8,2021-10-01 02:50:00,2.0,3.0,-1.000000
9,2021-07-01 02:50:00,1.0,3.0,-2.000000
10,2021-04-01 02:50:00,-1.0,-5.0,4.000000
11,2020-12-14 01:50:00,-5.0,-6.0,1.000000
12,2020-10-01 02:50:00,-12.0,-9.0,-3.000000
13,2020-07-01 02:50:00,-17.0,-18.0,1.000000
14,2020-04-01 02:50:00,8.0,6.0,2.000000
15,2019-12-13 01:50:00,20.0,16.0,4.000000
16,2019-10-01 02:50:00,21.0,20.0,1.000000
17,2019-07-01 02:50:00,23.0,20.0,3.000000
18,2019-04-01 02:50:00,21.0,22.0,-1.000000
19,2018-12-14 01:50:00,24.0,21.0,3.000000
20,2018-10-01 02:50:00,22.0,22.0,0.000000
21,2018-07-02 02:50:00,24.0,23.0,1.000000
22,2018-04-02 02:50:00,23.0,24.0,-1.000000
23,2017-12-15 01:50:00,23.0,24.0,-1.000000
24,2017-10-02 02:50:00,23.0,23.0,0.000000
25,2017-07-03 02:50:00,23.0,23.0,0.000000
26,2017-04-03 02:50:00,20.0,20.0,0.000000
27,2016-12-14 01:50:00,18.0,19.0,-1.000000
28,2016-10-03 02:50:00,18.0,18.0,0.000000
29,2016-07-01 02:50:00,19.0,19.0,0.000000
30,2016-04-01 02:50:00,22.0,24.0,-2.000000
31,2015-12-14 01:50:00,25.0,23.0,2.000000
32,2015-10-01 02:50:00,25.0,20.0,5.000000
33,2015-07-01 02:50:00,23.0,22.0,1.000000
34,2015-04-01 02:50:00,19.0,17.0,2.000000
35,2014-12-15 01:50:00,16.0,12.0,4.000000
36,2014-10-01 02:50:00,13.0,17.0,-4.000000
37,2014-07-01 02:50:00,19.0,19.0,0.000000
38,2014-04-01 02:50:00,24.0,24.0,0.000000
39,2013-12-16 01:50:00,20.0,16.0,4.000000
40,2013-10-01 02:50:00,14.0,14.0,0.000000
41,2013-07-01 02:50:00,12.0,11.0,1.000000
42,2013-04-01 02:50:00,6.0,8.0,-2.000000
43,2012-12-14 01:50:00,4.0,5.0,-1.000000
44,2012-10-01 02:50:00,8.0,6.0,2.000000
45,2012-07-02 02:50:00,8.0,7.0,1.000000
46,2012-04-02 02:50:00,5.0,5.0,0.000000
47,2011-12-15 01:50:00,4.0,1.0,3.000000
48,2011-10-03 02:50:00,1.0,2.0,-1.000000
49,2011-07-01 02:50:00,-5.0,-4.0,-1.000000
50,2011-04-01 02:50:00,3.0,2.0,1.000000
51,2010-12-15 01:50:00,1.0,0.0,1.000000
52,2010-09-29 02:50:00,2.0,-2.0,4.000000
53,2010-07-01 02:50:00,-5.0,-8.0,3.000000
54,2010-04-01 02:50:00,-14.0,-17.0,3.000000
55,2009-12-14 01:50:00,-22.0,-23.0,1.000000
56,2009-10-01 02:50:00,-24.0,-25.0,1.000000
57,2009-07-01 02:50:00,-29.0,-27.0,-2.000000
58,2009-04-01 02:50:00,-31.0,-26.0,-5.000000
59,2008-12-15 01:50:00,-9.0,-9.0,0.000000
60,2008-10-01 02:50:00,1.0,5.0,-4.000000
61,2008-07-01 02:50:00,10.0,8.0,2.000000
62,2008-04-01 02:50:00,12.0,12.0,0.000000
