,Date,Actual,Consensus,Difference
0,2023-11-06 02:30:00,51.6,51.1,0.500000
1,2023-10-04 03:30:00,53.8,53.3,0.500000
2,2023-09-05 03:30:00,54.3,54.3,0.000000
3,2023-08-23 03:30:00,54.3,53.9,0.400000
4,2023-08-03 03:30:00,53.8,53.9,-0.100000
5,2023-07-05 03:30:00,54.0,54.2,-0.200000
6,2023-06-23 03:30:00,54.2,56.2,-2.000000
7,2023-06-05 03:30:00,55.9,56.3,-0.400000
8,2023-05-23 03:30:00,56.3,55.2,1.100000
9,2023-05-08 03:30:00,55.4,54.9,0.500000
10,2023-04-21 03:30:00,54.9,55.1,-0.200000
11,2023-04-05 03:30:00,55.0,54.2,0.800000
12,2023-03-03 02:30:00,54.0,53.6,0.400000
13,2023-02-21 02:30:00,53.6,51.5,2.100000
14,2023-02-03 02:30:00,52.3,52.4,-0.100000
15,2023-01-24 02:30:00,52.4,51.4,1.000000
16,2023-01-06 02:30:00,51.1,51.7,-0.600000
17,2022-12-16 02:30:00,51.7,51.1,0.600000
18,2022-12-05 02:30:00,50.3,50.0,0.300000
19,2022-09-05 03:30:00,49.5,49.2,0.300000
20,2022-06-03 03:30:00,52.6,51.7,0.900000
21,2022-04-05 03:30:00,49.4,48.7,0.700000
22,2022-03-03 02:30:00,44.2,42.7,1.500000
23,2022-01-06 02:30:00,52.1,51.1,1.000000
24,2021-08-04 03:30:00,47.4,46.4,1.000000
25,2021-01-06 02:30:00,47.7,47.2,0.500000
26,2020-12-03 02:30:00,47.8,46.7,1.100000
27,2020-11-05 02:30:00,47.7,46.9,0.800000
28,2020-10-05 03:30:00,46.9,45.6,1.300000
29,2020-09-03 03:30:00,45.0,45.0,0.000000
30,2020-08-21 03:30:00,45.0,45.2,-0.200000
31,2020-08-05 03:30:00,45.4,45.2,0.200000
32,2020-07-03 03:30:00,45.0,42.3,2.700000
33,2020-06-03 03:30:00,26.5,25.3,1.200000
34,2020-04-03 03:30:00,33.8,32.7,1.100000
35,2020-03-04 02:30:00,46.8,46.7,0.100000
36,2020-02-05 02:30:00,51.0,52.1,-1.100000
37,2020-01-07 02:30:00,49.4,50.6,-1.200000
38,2019-12-04 02:30:00,50.3,50.4,-0.100000
39,2019-11-06 02:30:00,49.7,50.3,-0.600000
40,2019-10-03 03:30:00,52.8,52.8,0.000000
41,2019-09-04 03:30:00,53.3,53.4,-0.100000
42,2019-08-05 03:30:00,51.8,52.3,-0.500000
