,Date,Actual,Consensus,Difference
0,2023-11-16 01:50:00,-662.5,-735.7,73.200000
1,2023-10-19 02:50:00,62.4,-425.0,487.400000
2,2023-09-20 02:50:00,-930.5,-659.1,-271.400000
3,2023-08-17 02:50:00,-78.7,24.6,-103.300000
4,2023-07-20 02:50:00,43.0,-46.7,89.700000
5,2023-06-15 02:50:00,-1372.5,1331.9,-2704.400000
6,2023-05-18 02:50:00,-432.4,-613.8,181.400000
7,2023-04-20 02:50:00,-754.5,-1294.8,540.300000
8,2023-03-16 02:50:00,-897.7,-1069.4,171.700000
9,2023-02-16 01:50:00,-3496.6,-3871.5,374.900000
10,2023-01-19 01:50:00,-1448.5,-1652.8,204.300000
11,2022-12-15 01:50:00,-2027.4,-1680.3,-347.100000
12,2022-11-17 01:50:00,-2162.3,-1610.0,-552.300000
13,2022-10-20 02:50:00,-2094.0,-2167.4,73.400000
14,2022-09-15 02:50:00,-2817.3,-2398.2,-419.100000
15,2022-08-17 02:50:00,-1436.8,-1405.0,-31.800000
16,2022-07-21 02:50:00,-1383.8,-1509.7,125.900000
17,2022-06-16 02:50:00,-2384.7,-2022.6,-362.100000
18,2022-05-19 02:50:00,-839.2,-1150.0,310.800000
19,2022-04-20 02:50:00,-412.4,-100.8,-311.600000
20,2022-03-16 02:50:00,-668.3,-112.6,-555.700000
21,2022-02-17 01:50:00,-2191.1,-1607.0,-584.100000
22,2022-01-20 01:50:00,-582.4,-784.1,201.700000
23,2021-12-16 01:50:00,-954.8,-675.0,-279.800000
24,2021-11-17 01:50:00,-67.4,-310.0,242.600000
25,2021-10-20 02:50:00,-622.8,-519.2,-103.600000
26,2021-09-16 02:50:00,-635.4,-47.7,-587.700000
27,2021-08-18 02:50:00,441.0,202.3,238.700000
28,2021-07-21 02:50:00,383.2,460.0,-76.800000
29,2021-06-16 02:50:00,-187.1,-91.2,-95.900000
30,2021-05-20 02:50:00,255.3,140.0,115.300000
31,2021-04-19 02:50:00,663.7,490.0,173.700000
32,2021-03-17 02:50:00,217.4,420.0,-202.600000
33,2021-02-17 01:50:00,-323.9,-600.0,276.100000
34,2021-01-21 01:50:00,751.0,942.8,-191.800000
35,2020-12-16 01:50:00,366.8,529.8,-163.000000
36,2020-11-18 01:50:00,872.9,250.0,622.900000
37,2020-10-19 02:50:00,675.0,989.8,-314.800000
38,2020-09-16 02:50:00,248.3,-37.5,285.800000
39,2020-08-19 02:50:00,11.6,-77.6,89.200000
40,2020-07-20 02:50:00,-268.8,-35.8,-233.000000
41,2020-06-17 02:50:00,-833.4,-560.0,-273.400000
42,2020-05-21 02:50:00,-930.4,-560.0,-370.400000
43,2020-04-20 02:50:00,4.9,420.0,-415.100000
44,2020-03-18 02:50:00,1109.8,917.2,192.600000
45,2020-02-19 01:50:00,-1312.6,-1694.9,382.300000
46,2020-01-23 01:50:00,-152.5,-150.0,-2.500000
47,2019-12-18 01:50:00,-82.1,-369.0,286.900000
48,2019-11-20 01:50:00,17.3,301.0,-283.700000
49,2019-10-21 02:50:00,-123.0,54.0,-177.000000
50,2019-09-18 02:50:00,-136.3,-355.9,219.600000
51,2019-08-19 02:50:00,-249.6,-200.0,-49.600000
52,2019-07-18 02:50:00,589.5,420.0,169.500000
53,2019-06-19 02:50:00,-967.1,-979.2,12.100000
54,2019-05-22 02:50:00,60.4,203.2,-142.800000
55,2019-04-17 02:50:00,529.0,372.0,157.000000
56,2019-03-18 02:50:00,339.0,310.0,29.000000
57,2019-02-20 01:50:00,-1415.0,-1011.0,-404.000000
58,2019-01-23 01:50:00,-55.0,-30.0,-25.000000
59,2018-12-19 01:50:00,-737.0,-600.0,-137.000000
60,2018-11-19 01:50:00,-449.0,-70.0,-379.000000
61,2018-10-18 02:50:00,140.0,-50.0,190.000000
62,2018-09-19 02:50:00,-445.0,-469.0,24.000000
63,2018-08-16 02:50:00,-231.0,-50.0,-181.000000
64,2018-07-19 02:50:00,721.0,534.0,187.000000
65,2018-06-18 02:50:00,-578.0,-235.0,-343.000000
66,2018-05-21 02:50:00,626.0,406.0,220.000000
67,2018-04-18 02:50:00,797.0,498.0,299.000000
68,2018-03-19 02:50:00,3.0,-100.0,103.000000
69,2018-02-19 01:50:00,-943.0,-1002.0,59.000000
70,2018-01-24 01:50:00,359.0,530.0,-171.000000
71,2017-12-18 01:50:00,113.0,-55.0,168.000000
72,2017-11-20 01:50:00,285.0,330.0,-45.000000
73,2017-10-19 02:50:00,670.0,560.0,110.000000
74,2017-09-20 02:50:00,114.0,94.0,20.000000
75,2017-08-17 02:50:00,419.0,392.0,27.000000
76,2017-07-20 02:50:00,440.0,485.0,-45.000000
77,2017-06-19 02:50:00,-203.0,76.0,-279.000000
78,2017-05-22 02:50:00,482.0,521.0,-39.000000
79,2017-04-20 02:50:00,615.0,576.0,39.000000
80,2017-03-22 02:50:00,813.0,822.0,-9.000000
81,2017-02-20 01:50:00,-1087.0,-637.0,-450.000000
82,2017-01-25 01:50:00,641.0,270.0,371.000000
83,2016-12-19 01:50:00,153.0,227.0,-74.000000
84,2016-11-21 01:50:00,496.0,615.0,-119.000000
85,2016-10-24 02:50:00,498.0,342.0,156.000000
86,2016-09-21 02:50:00,-19.0,202.0,-221.000000
87,2016-08-18 02:50:00,514.0,284.0,230.000000
88,2016-07-25 02:50:00,693.0,495.0,198.000000
89,2016-06-20 02:50:00,-41.0,40.0,-81.000000
90,2016-05-23 02:50:00,824.0,493.0,331.000000
91,2016-04-20 02:50:00,755.0,835.0,-80.000000
92,2016-03-17 02:50:00,243.0,389.0,-146.000000
93,2016-02-18 01:50:00,-646.0,-680.0,34.000000
94,2016-01-25 01:50:00,140.0,100.0,40.000000
95,2015-12-17 01:50:00,-380.0,-446.0,66.000000
96,2015-11-19 01:50:00,112.0,-292.0,404.000000
97,2015-10-21 02:50:00,-115.0,84.0,-199.000000
98,2015-09-17 02:50:00,-570.0,-541.0,-29.000000
99,2015-08-19 02:50:00,-268.0,-57.0,-211.000000
100,2015-07-23 02:50:00,-69.0,5.0,-74.000000
101,2015-06-17 02:50:00,-216.0,-226.0,10.000000
102,2015-05-25 02:50:00,-53.0,-319.0,266.000000
103,2015-04-22 02:50:00,229.0,50.0,179.000000
104,2015-03-18 02:50:00,-425.0,-1051.0,626.000000
105,2015-02-19 01:50:00,-1178.0,-1691.0,513.000000
106,2015-01-26 01:50:00,-661.0,-740.0,79.000000
107,2014-12-17 01:50:00,-892.0,-1001.0,109.000000
108,2014-11-20 01:50:00,-710.0,-1186.0,476.000000
109,2014-10-22 02:50:00,-958.0,-777.0,-181.000000
110,2014-09-18 02:50:00,-949.0,-1029.0,80.000000
111,2014-08-20 02:50:00,-964.0,-703.0,-261.000000
112,2014-07-24 02:50:00,-822.0,-643.0,-179.000000
113,2014-06-18 02:50:00,-909.0,-1173.0,264.000000
114,2014-05-21 02:50:00,-809.0,-646.0,-163.000000
115,2014-04-21 02:50:00,-1446.0,-1070.0,-376.000000
116,2014-03-19 02:50:00,-800.0,-590.0,-210.000000
117,2014-02-20 01:50:00,-2790.0,-2489.0,-301.000000
118,2014-01-27 01:50:00,-1302.0,-1223.0,-79.000000
119,2013-12-18 01:50:00,-1293.0,-1320.0,27.000000
120,2013-11-20 01:50:00,-1091.0,-814.0,-277.000000
121,2013-10-21 02:50:00,-932.0,-920.0,-12.000000
122,2013-09-19 02:50:00,-960.0,-1101.0,141.000000
123,2013-08-19 02:50:00,-1024.0,-786.0,-238.000000
124,2013-07-24 02:50:00,-181.0,-161.0,-20.000000
125,2013-06-19 02:50:00,-994.0,-1200.0,206.000000
