,Date,Actual,Consensus,Difference
0,2023-11-16 01:50:00,-0.46,-0.71,0.250000
1,2023-10-19 02:50:00,-0.43,-0.5,0.070000
2,2023-09-20 02:50:00,-0.56,-0.56,0.000000
3,2023-08-17 02:50:00,-0.56,-0.66,0.100000
4,2023-07-20 02:50:00,-0.55,-0.9,0.350000
5,2023-06-15 02:50:00,-0.78,-1.12,0.340000
6,2023-05-18 02:50:00,-1.02,-1.08,0.060000
7,2023-04-20 02:50:00,-1.21,-1.78,0.570000
8,2023-02-16 01:50:00,-1.82,-2.35,0.530000
9,2022-11-17 01:50:00,-2.3,-2.23,-0.070000
10,2020-11-18 01:50:00,0.31,0.11,0.200000
11,2020-06-17 02:50:00,-0.6,-0.16,-0.440000
12,2020-05-21 02:50:00,-1.0,-0.04,-0.960000
13,2020-04-20 02:50:00,-0.19,0.09,-0.280000
14,2020-03-18 02:50:00,0.5,-0.11,0.610000
15,2020-02-19 01:50:00,-0.22,-0.06,-0.160000
16,2020-01-23 01:50:00,-0.1,-0.07,-0.030000
17,2019-12-18 01:50:00,-0.06,-0.09,0.030000
18,2019-11-20 01:50:00,-0.03,-0.28,0.250000
19,2019-10-21 02:50:00,-0.1,-0.23,0.130000
20,2019-09-18 02:50:00,-0.13,-0.27,0.140000
21,2019-08-19 02:50:00,-0.13,-0.15,0.020000
22,2019-07-18 02:50:00,-0.01,-0.14,0.130000
23,2019-06-19 02:50:00,-0.61,-0.8,0.190000
24,2019-05-22 02:50:00,-0.11,-0.12,0.010000
25,2019-04-17 02:50:00,-0.18,-0.3,0.120000
26,2019-03-18 02:50:00,0.12,0.09,0.030000
27,2019-02-20 01:50:00,-0.37,0.17,-0.540000
28,2019-01-23 01:50:00,-0.18,-0.29,0.110000
29,2018-12-19 01:50:00,-0.49,-0.31,-0.180000
30,2018-11-19 01:50:00,-0.3,-0.48,0.180000
31,2018-10-18 02:50:00,-0.24,-0.34,0.100000
32,2018-09-19 02:50:00,-0.19,-0.14,-0.050000
33,2018-08-16 02:50:00,-0.05,0.02,-0.070000
34,2018-07-19 02:50:00,0.07,0.15,-0.080000
35,2018-06-18 02:50:00,-0.3,0.14,-0.440000
36,2018-05-21 02:50:00,0.55,0.11,0.440000
37,2018-04-18 02:50:00,0.12,0.1,0.020000
38,2018-03-19 02:50:00,-0.2,-0.1,-0.100000
39,2018-02-19 01:50:00,0.37,0.14,0.230000
40,2018-01-24 01:50:00,0.09,0.27,-0.180000
41,2017-12-18 01:50:00,0.36,0.27,0.090000
42,2017-11-20 01:50:00,0.32,0.21,0.110000
43,2017-10-19 02:50:00,0.24,0.32,-0.080000
44,2017-09-20 02:50:00,0.37,0.41,-0.040000
45,2017-08-17 02:50:00,0.34,0.19,0.150000
46,2017-07-20 02:50:00,0.08,0.12,-0.040000
47,2017-06-19 02:50:00,0.13,0.35,-0.220000
48,2017-05-22 02:50:00,0.1,0.25,-0.150000
49,2017-04-20 02:50:00,0.17,0.61,-0.440000
50,2017-03-22 02:50:00,0.68,0.55,0.130000
51,2017-02-20 01:50:00,0.16,0.28,-0.120000
52,2017-01-25 01:50:00,0.36,0.22,0.140000
53,2016-12-19 01:50:00,0.54,0.59,-0.050000
54,2016-11-21 01:50:00,0.47,0.41,0.060000
55,2016-10-24 02:50:00,0.35,0.2,0.150000
56,2016-09-21 02:50:00,0.41,0.5,-0.090000
57,2016-08-18 02:50:00,0.32,0.14,0.180000
58,2016-07-25 02:50:00,0.33,0.24,0.090000
59,2016-06-20 02:50:00,0.27,0.13,0.140000
60,2016-05-23 02:50:00,0.43,0.27,0.160000
61,2016-04-20 02:50:00,0.28,0.45,-0.170000
62,2016-03-17 02:50:00,0.17,0.24,-0.070000
63,2016-02-18 01:50:00,0.12,0.06,0.060000
64,2016-01-25 01:50:00,0.04,0.08,-0.040000
65,2015-12-17 01:50:00,0.0,-0.21,0.210000
66,2015-11-19 01:50:00,-0.2,-0.38,0.180000
67,2015-10-21 02:50:00,-0.36,-0.07,-0.290000
68,2015-09-17 02:50:00,-0.36,-0.35,-0.010000
69,2015-08-19 02:50:00,-0.37,-0.16,-0.210000
70,2015-07-23 02:50:00,-0.25,-0.25,0.000000
71,2015-06-17 02:50:00,-0.18,-0.17,-0.010000
72,2015-05-25 02:50:00,-0.21,-0.38,0.170000
