,Date,Actual,Consensus,Difference
0,2023-11-14 09:00:00,7.9,7.4,0.500000
1,2023-10-17 09:00:00,8.1,8.3,-0.200000
2,2023-09-12 09:00:00,8.5,8.2,0.300000
3,2023-08-15 09:00:00,8.2,7.3,0.900000
4,2023-07-11 09:00:00,6.9,6.8,0.100000
5,2023-06-13 09:00:00,6.5,6.1,0.400000
6,2023-05-16 09:00:00,5.8,5.8,0.000000
7,2023-04-18 09:00:00,5.9,5.1,0.800000
8,2023-03-14 10:00:00,5.7,5.7,0.000000
9,2023-02-14 09:00:00,5.9,6.2,-0.300000
10,2023-01-17 09:00:00,6.4,6.2,0.200000
11,2022-12-13 09:00:00,6.1,6.2,-0.100000
12,2022-11-15 09:00:00,6.0,5.9,0.100000
13,2022-10-11 09:00:00,6.0,5.9,0.100000
14,2022-09-13 09:00:00,5.5,5.4,0.100000
15,2022-08-16 09:00:00,5.1,4.5,0.600000
16,2022-07-19 09:00:00,6.2,6.7,-0.500000
17,2022-06-14 09:00:00,6.8,7.6,-0.800000
18,2022-05-17 09:00:00,7.0,5.4,1.600000
19,2022-04-12 09:00:00,5.4,5.4,0.000000
20,2022-03-15 10:00:00,4.8,4.6,0.200000
21,2022-02-15 09:00:00,4.3,3.8,0.500000
22,2022-01-18 09:00:00,4.2,4.2,0.000000
23,2021-12-14 09:00:00,4.9,4.6,0.300000
24,2021-11-16 09:00:00,5.8,5.6,0.200000
25,2021-10-12 09:00:00,7.2,7.0,0.200000
26,2021-09-14 09:00:00,8.3,8.2,0.100000
27,2021-08-17 09:00:00,8.8,8.6,0.200000
28,2021-07-15 09:00:00,7.3,7.1,0.200000
29,2021-06-15 09:00:00,5.6,4.9,0.700000
30,2021-05-18 09:00:00,4.0,4.5,-0.500000
31,2021-04-20 09:00:00,4.5,4.8,-0.300000
32,2021-03-23 10:00:00,4.8,4.9,-0.100000
33,2021-02-23 09:00:00,4.7,4.1,0.600000
34,2021-01-26 09:00:00,3.6,2.9,0.700000
35,2020-12-15 09:00:00,2.7,2.2,0.500000
36,2020-11-10 09:00:00,1.3,1.0,0.300000
37,2020-10-13 09:00:00,0.0,-0.6,0.600000
38,2020-09-15 09:00:00,-1.0,-1.3,0.300000
39,2020-08-11 09:00:00,-1.2,-1.1,-0.100000
40,2020-07-16 09:00:00,-0.3,-0.4,0.100000
41,2020-06-16 09:00:00,1.0,1.4,-0.400000
42,2020-05-19 09:00:00,2.4,2.6,-0.200000
43,2020-04-21 09:00:00,2.8,3.0,-0.200000
44,2020-03-17 12:30:00,3.1,3.0,0.100000
45,2020-02-18 11:30:00,2.9,3.0,-0.100000
46,2020-01-21 11:30:00,3.2,3.1,0.100000
47,2019-12-17 11:30:00,3.2,3.4,-0.200000
48,2019-11-12 11:30:00,3.6,3.8,-0.200000
49,2019-10-15 11:30:00,3.8,4.0,-0.200000
50,2019-09-10 11:30:00,4.0,3.7,0.300000
51,2019-08-13 11:30:00,3.7,3.7,0.000000
52,2019-07-16 11:30:00,3.4,3.1,0.300000
53,2019-06-11 11:30:00,3.1,2.9,0.200000
54,2019-05-14 11:30:00,3.2,3.4,-0.200000
55,2019-04-16 11:30:00,3.5,3.5,0.000000
56,2019-03-19 12:30:00,3.4,3.2,0.200000
