,Date,Actual,Consensus,Difference
0,2023-11-10 09:00:00,-4.2,-3.5,-0.700000
1,2023-09-29 09:00:00,4.1,3.4,0.700000
2,2023-08-11 09:00:00,3.4,0.8,2.600000
3,2023-06-30 09:00:00,3.3,0.7,2.600000
4,2023-05-12 09:00:00,0.7,-0.4,1.100000
5,2023-03-31 09:00:00,-0.2,4.8,-5.000000
6,2023-02-10 09:00:00,4.8,-0.3,5.100000
7,2022-11-11 09:00:00,-0.5,-0.3,-0.200000
8,2022-08-12 09:00:00,3.8,-0.3,4.100000
9,2022-05-12 09:00:00,-0.5,1.8,-2.300000
10,2022-03-31 09:00:00,1.0,0.9,0.100000
11,2022-02-11 09:00:00,0.9,2.6,-1.700000
12,2021-12-22 09:00:00,-2.5,0.4,-2.900000
13,2021-11-11 09:00:00,0.4,2.6,-2.200000
14,2020-12-22 09:00:00,9.4,8.8,0.600000
15,2020-09-30 09:00:00,-26.5,-31.4,4.900000
16,2020-08-12 09:00:00,-31.4,-2.5,-28.900000
17,2020-06-30 09:00:00,-0.3,0.0,-0.300000
18,2020-05-13 09:00:00,0.0,-2.5,2.500000
19,2020-02-11 11:30:00,-1.0,-0.6,-0.400000
20,2019-12-20 11:30:00,0.0,0.0,0.000000
21,2019-11-11 11:30:00,0.0,-0.5,0.500000
22,2019-09-30 11:30:00,-0.4,-0.5,0.100000
23,2019-08-09 11:30:00,-0.5,-0.3,-0.200000
24,2019-06-28 11:30:00,0.4,0.5,-0.100000
25,2019-05-10 11:30:00,0.5,-0.6,1.100000
26,2019-03-29 12:30:00,-0.9,-1.4,0.500000
27,2019-02-11 11:30:00,-1.4,-1.3,-0.100000
28,2018-12-21 11:30:00,-1.1,-1.2,0.100000
29,2018-11-09 11:30:00,-1.2,0.2,-1.400000
30,2018-09-28 11:30:00,-0.7,0.5,-1.200000
31,2018-08-10 11:30:00,0.5,0.3,0.200000
32,2018-06-29 11:30:00,-0.4,-0.2,-0.200000
33,2018-05-25 11:30:00,-0.2,0.2,-0.400000
34,2018-03-29 11:30:00,0.3,0.0,0.300000
35,2018-02-22 11:30:00,0.0,0.5,-0.500000
36,2017-12-22 11:30:00,0.5,0.2,0.300000
37,2017-11-23 11:30:00,0.2,0.4,-0.200000
38,2017-09-29 11:30:00,0.5,0.0,0.500000
39,2017-08-24 11:30:00,0.0,0.4,-0.400000
40,2017-06-30 11:30:00,0.6,0.6,0.000000
41,2017-05-25 11:30:00,0.6,0.2,0.400000
42,2017-03-31 11:30:00,-0.9,-1.0,0.100000
43,2017-02-22 11:30:00,-1.0,0.0,-1.000000
44,2016-12-23 11:30:00,0.4,0.9,-0.500000
45,2016-11-25 11:30:00,0.9,0.6,0.300000
46,2016-09-30 11:30:00,1.0,0.5,0.500000
47,2016-08-26 11:30:00,0.5,-0.8,1.300000
