,Date,Actual,Consensus,Difference
0,2023-11-14 09:00:00,17.8,15.0,2.800000
1,2023-10-24 09:00:00,20.4,2.3,18.100000
2,2023-09-12 09:00:00,0.9,17.1,-16.200000
3,2023-08-15 09:00:00,29.0,-7.3,36.300000
4,2023-07-11 09:00:00,25.7,-8.6,34.300000
5,2023-06-13 09:00:00,-13.6,21.4,-35.000000
6,2023-05-16 09:00:00,46.7,31.2,15.500000
7,2023-04-18 09:00:00,28.2,10.2,18.000000
8,2023-03-14 10:00:00,-11.2,-12.4,1.200000
9,2023-02-14 09:00:00,-12.9,17.9,-30.800000
10,2023-01-17 09:00:00,19.7,19.8,-0.100000
11,2022-12-13 09:00:00,30.5,3.5,27.000000
12,2022-11-15 09:00:00,3.3,17.3,-14.000000
13,2022-10-11 09:00:00,25.5,4.2,21.300000
14,2022-09-13 09:00:00,6.3,-13.2,19.500000
15,2022-08-16 09:00:00,-10.5,-32.0,21.500000
16,2022-07-19 09:00:00,-20.0,-41.2,21.200000
17,2022-06-14 09:00:00,-19.7,-49.4,29.700000
18,2022-05-17 09:00:00,-56.9,-42.5,-14.400000
19,2022-04-12 09:00:00,-46.9,-41.1,-5.800000
20,2022-03-15 10:00:00,-48.1,-28.0,-20.100000
21,2022-02-15 09:00:00,-31.9,-28.0,-3.900000
22,2022-01-18 09:00:00,-43.3,-38.6,-4.700000
23,2021-02-23 09:00:00,-20.0,35.0,-55.000000
24,2021-01-26 09:00:00,7.0,35.0,-28.000000
25,2020-12-15 09:00:00,64.3,50.0,14.300000
26,2020-11-10 09:00:00,-29.8,50.0,-79.800000
27,2020-10-13 09:00:00,28.0,78.8,-50.800000
28,2020-09-15 09:00:00,73.7,100.0,-26.300000
29,2020-08-11 09:00:00,94.4,10.0,84.400000
30,2020-07-16 09:00:00,-28.1,250.0,-278.100000
31,2020-06-16 09:00:00,528.9,400.0,128.900000
32,2020-05-19 09:00:00,856.5,676.5,180.000000
33,2020-04-21 09:00:00,12.1,172.5,-160.400000
34,2020-03-17 12:30:00,17.3,21.4,-4.100000
35,2020-02-18 11:30:00,5.5,22.6,-17.100000
36,2020-01-21 11:30:00,14.9,22.6,-7.700000
