,Date,Actual,Consensus,Difference
0,2023-11-10 09:00:00,0.0,-0.1,0.100000
1,2023-09-29 09:00:00,0.2,0.2,0.000000
2,2023-08-11 09:00:00,0.2,0.0,0.200000
3,2023-06-30 09:00:00,0.1,0.1,0.000000
4,2023-05-12 09:00:00,0.1,0.1,0.000000
5,2023-03-31 09:00:00,0.1,0.0,0.100000
6,2023-02-10 09:00:00,0.0,0.0,0.000000
7,2022-12-22 09:00:00,-0.3,-0.2,-0.100000
8,2022-11-11 09:00:00,-0.2,-0.5,0.300000
9,2022-09-30 09:00:00,0.2,-0.1,0.300000
10,2022-08-12 09:00:00,-0.1,-0.2,0.100000
11,2022-07-13 09:00:00,0.4,0.0,0.400000
12,2022-06-30 09:00:00,0.8,0.8,0.000000
13,2022-06-13 09:00:00,0.2,0.4,-0.200000
14,2022-05-12 09:00:00,0.8,1.0,-0.200000
15,2022-03-31 09:00:00,1.3,1.0,0.300000
16,2022-02-11 09:00:00,1.0,1.1,-0.100000
17,2021-12-22 09:00:00,1.1,1.3,-0.200000
18,2021-11-11 09:00:00,1.3,1.5,-0.200000
19,2021-09-30 09:00:00,5.5,4.8,0.700000
20,2021-08-12 09:00:00,4.8,4.8,0.000000
21,2021-06-30 09:00:00,-1.6,-1.5,-0.100000
22,2021-05-12 09:00:00,-1.5,-1.6,0.100000
23,2021-03-31 09:00:00,1.3,1.0,0.300000
24,2021-02-12 09:00:00,1.0,0.5,0.500000
25,2020-12-22 09:00:00,16.0,15.5,0.500000
26,2020-11-12 09:00:00,15.5,15.8,-0.300000
27,2020-09-30 09:00:00,-19.8,-20.4,0.600000
28,2020-08-12 09:00:00,-20.4,-20.5,0.100000
29,2020-06-30 09:00:00,-2.2,-2.0,-0.200000
30,2020-05-13 09:00:00,-2.0,-2.5,0.500000
31,2020-03-31 09:00:00,0.0,0.0,0.000000
32,2020-02-11 11:30:00,0.0,0.0,0.000000
33,2019-12-20 11:30:00,0.4,0.3,0.100000
34,2019-11-11 11:30:00,0.3,0.4,-0.100000
35,2019-10-10 11:30:00,0.3,0.1,0.200000
36,2019-09-30 11:30:00,-0.2,-0.2,0.000000
37,2019-09-09 11:30:00,0.0,-0.1,0.100000
38,2019-08-09 11:30:00,-0.2,0.0,-0.200000
39,2019-06-28 11:30:00,0.5,0.5,0.000000
40,2019-05-10 11:30:00,0.5,0.5,0.000000
41,2019-03-29 12:30:00,0.2,0.2,0.000000
42,2019-02-11 11:30:00,0.2,0.3,-0.100000
43,2018-12-21 11:30:00,0.6,0.6,0.000000
44,2018-11-09 11:30:00,0.6,0.6,0.000000
45,2018-09-28 11:30:00,0.4,0.4,0.000000
46,2018-08-10 11:30:00,0.4,0.4,0.000000
47,2018-06-29 11:30:00,0.2,0.1,0.100000
48,2018-05-25 11:30:00,0.1,0.1,0.000000
49,2018-04-27 11:30:00,0.1,0.3,-0.200000
50,2018-03-29 11:30:00,0.4,0.4,0.000000
51,2018-02-22 11:30:00,0.4,0.5,-0.100000
52,2018-01-26 11:30:00,0.5,0.4,0.100000
53,2017-12-22 11:30:00,0.4,0.4,0.000000
54,2017-11-23 11:30:00,0.4,0.4,0.000000
55,2017-10-25 11:30:00,0.4,0.3,0.100000
56,2017-09-29 11:30:00,0.3,0.3,0.000000
57,2017-08-24 11:30:00,0.3,0.3,0.000000
58,2017-07-26 11:30:00,0.3,0.3,0.000000
59,2017-06-30 11:30:00,0.2,0.2,0.000000
60,2017-05-25 11:30:00,0.2,0.3,-0.100000
61,2017-04-28 11:30:00,0.3,0.4,-0.100000
62,2017-03-31 11:30:00,0.7,0.7,0.000000
63,2017-02-22 11:30:00,0.7,0.6,0.100000
64,2017-01-26 11:30:00,0.6,0.5,0.100000
65,2016-12-23 11:30:00,0.6,0.5,0.100000
66,2016-11-25 11:30:00,0.5,0.5,0.000000
67,2016-10-27 11:30:00,0.5,0.3,0.200000
68,2016-09-30 11:30:00,0.7,0.6,0.100000
69,2016-08-26 11:30:00,0.6,0.6,0.000000
70,2016-07-27 11:30:00,0.6,0.4,0.200000
71,2016-06-30 11:30:00,0.4,0.4,0.000000
72,2016-05-26 11:30:00,0.4,0.4,0.000000
73,2016-04-27 11:30:00,0.4,0.4,0.000000
74,2016-03-31 11:30:00,0.6,0.5,0.100000
75,2016-02-25 11:30:00,0.5,0.5,0.000000
76,2016-01-28 11:30:00,0.5,0.5,0.000000
77,2015-12-23 11:30:00,0.4,0.5,-0.100000
78,2015-11-27 11:30:00,0.5,0.5,0.000000
79,2015-10-27 12:30:00,0.5,0.6,-0.100000
80,2015-09-30 11:30:00,0.7,0.7,0.000000
81,2015-08-28 11:30:00,0.7,0.7,0.000000
82,2015-07-28 11:30:00,0.7,0.7,0.000000
83,2015-06-30 11:30:00,0.4,0.4,0.000000
84,2015-05-28 11:30:00,0.3,0.4,-0.100000
85,2015-04-28 11:30:00,0.3,0.5,-0.200000
86,2015-03-31 11:30:00,0.6,0.5,0.100000
87,2015-02-26 11:30:00,0.5,0.5,0.000000
88,2015-01-27 11:30:00,0.5,0.6,-0.100000
89,2014-12-23 11:30:00,0.7,0.7,0.000000
90,2014-11-26 11:30:00,0.7,0.7,0.000000
91,2014-10-24 11:30:00,0.7,0.7,0.000000
92,2014-09-30 11:30:00,0.9,0.8,0.100000
93,2014-08-15 11:30:00,0.8,0.8,0.000000
94,2014-07-25 11:30:00,0.8,0.8,0.000000
95,2014-06-27 11:30:00,0.8,0.8,0.000000
96,2014-05-22 11:30:00,0.8,0.8,0.000000
97,2014-04-29 11:30:00,0.8,0.9,-0.100000
98,2014-03-28 12:30:00,0.7,0.7,0.000000
99,2014-02-26 11:30:00,0.7,0.7,0.000000
100,2014-01-28 11:30:00,0.7,0.7,0.000000
101,2013-12-20 11:30:00,0.8,0.8,0.000000
102,2013-11-27 11:30:00,0.8,0.8,0.000000
103,2013-10-25 11:30:00,0.8,0.8,0.000000
104,2013-09-26 11:30:00,0.7,0.7,0.000000
105,2013-08-23 11:30:00,0.7,0.6,0.100000
106,2013-07-25 11:30:00,0.6,0.6,0.000000
107,2013-06-27 11:30:00,0.3,0.3,0.000000
108,2013-05-23 11:30:00,0.3,0.3,0.000000
109,2013-04-25 11:30:00,0.3,0.1,0.200000
110,2013-03-27 12:30:00,-0.3,-0.3,0.000000
111,2013-02-27 11:30:00,-0.3,-0.3,0.000000
112,2013-01-25 11:30:00,-0.3,-0.1,-0.200000
113,2012-12-21 11:30:00,0.9,1.0,-0.100000
114,2012-11-27 11:30:00,1.0,1.0,0.000000
115,2012-10-25 11:30:00,1.0,0.6,0.400000
116,2012-09-27 11:30:00,-0.4,-0.5,0.100000
117,2012-08-24 11:30:00,-0.5,-0.5,0.000000
118,2012-07-25 11:30:00,-0.7,-0.2,-0.500000
119,2012-06-28 11:30:00,-0.3,-0.3,0.000000
120,2012-05-24 11:30:00,-0.3,-0.2,-0.100000
121,2012-04-25 11:30:00,-0.2,0.1,-0.300000
122,2012-03-28 11:30:00,-0.3,-0.2,-0.100000
123,2012-02-24 11:30:00,-0.2,-0.2,0.000000
124,2012-01-25 11:30:00,-0.2,-0.1,-0.100000
125,2011-12-22 11:30:00,0.6,0.5,0.100000
126,2011-11-24 11:30:00,0.5,0.5,0.000000
127,2011-11-01 12:30:00,0.5,0.4,0.100000
128,2011-10-05 11:30:00,0.1,0.2,-0.100000
129,2011-08-26 11:30:00,0.2,0.2,0.000000
130,2011-07-26 11:30:00,0.2,0.2,0.000000
131,2011-06-28 11:30:00,0.5,0.5,0.000000
132,2011-05-25 11:30:00,0.5,0.5,0.000000
133,2011-04-27 11:30:00,0.5,0.5,0.000000
134,2011-03-29 11:30:00,-0.5,-0.6,0.100000
135,2011-02-25 11:30:00,-0.6,-0.5,-0.100000
136,2011-01-25 11:30:00,-0.5,0.5,-1.000000
137,2010-12-22 11:30:00,0.7,0.8,-0.100000
138,2010-11-24 11:30:00,0.8,0.8,0.000000
139,2010-10-26 11:30:00,0.8,0.4,0.400000
140,2010-09-28 11:30:00,1.2,1.2,0.000000
141,2010-08-27 11:30:00,1.2,1.1,0.100000
142,2010-07-23 11:30:00,1.1,0.6,0.500000
143,2010-07-12 11:30:00,0.3,0.3,0.000000
144,2010-05-25 11:30:00,0.3,0.3,0.000000
145,2010-04-23 11:30:00,0.2,0.4,-0.200000
146,2010-03-30 11:30:00,0.4,0.3,0.100000
147,2010-02-26 11:30:00,0.3,0.2,0.100000
148,2010-01-26 11:30:00,0.1,0.4,-0.300000
149,2009-12-22 11:30:00,-0.2,-0.1,-0.100000
150,2009-11-25 11:30:00,-0.3,-0.3,0.000000
151,2009-10-23 11:30:00,-0.4,0.1,-0.500000
152,2009-09-29 11:30:00,-0.6,-0.6,0.000000
153,2009-08-28 11:30:00,-0.7,-0.8,0.100000
154,2009-07-24 11:30:00,-0.8,-0.3,-0.500000
155,2009-06-30 11:30:00,-2.4,-2.1,-0.300000
156,2009-05-22 11:30:00,-1.9,-1.9,0.000000
157,2009-04-24 11:30:00,-1.9,-1.5,-0.400000
158,2009-03-27 12:30:00,-1.6,-1.5,-0.100000
159,2009-02-25 11:30:00,-1.5,-1.6,0.100000
160,2009-01-23 11:30:00,-1.5,-1.2,-0.300000
161,2008-12-23 11:30:00,-0.6,-0.5,-0.100000
162,2008-11-26 11:30:00,-0.5,-0.5,0.000000
163,2008-10-24 11:30:00,-0.5,-0.2,-0.300000
164,2008-09-30 11:30:00,0.0,0.0,0.000000
165,2008-08-22 11:30:00,0.0,0.1,-0.100000
166,2008-07-25 11:30:00,0.2,0.2,0.000000
167,2008-06-27 11:30:00,0.3,0.4,-0.100000
168,2008-04-25 11:30:00,0.4,0.4,0.000000
169,2008-03-28 12:30:00,0.6,0.6,0.000000
170,2008-02-27 11:30:00,0.6,0.6,0.000000
