,Date,Actual,Consensus,Difference
0,2023-11-10 09:00:00,0.6,0.5,0.100000
1,2023-09-29 09:00:00,0.6,0.4,0.200000
2,2023-08-11 09:00:00,0.4,0.2,0.200000
3,2023-06-30 09:00:00,0.2,0.2,0.000000
4,2023-05-12 09:00:00,0.2,0.2,0.000000
5,2023-03-31 09:00:00,0.6,0.4,0.200000
6,2023-02-10 09:00:00,0.4,0.4,0.000000
7,2023-01-13 09:00:00,0.2,0.3,-0.100000
8,2022-12-22 09:00:00,1.9,2.4,-0.500000
9,2022-12-12 09:00:00,1.5,1.4,0.100000
10,2022-11-11 09:00:00,1.3,2.1,-0.800000
11,2022-10-12 09:00:00,2.0,2.4,-0.400000
12,2022-09-30 09:00:00,4.4,2.9,1.500000
13,2022-08-12 09:00:00,2.9,2.8,0.100000
14,2022-07-13 09:00:00,3.5,2.7,0.800000
15,2022-06-30 09:00:00,8.7,8.7,0.000000
16,2022-06-13 09:00:00,3.4,3.9,-0.500000
17,2022-05-12 09:00:00,8.7,9.0,-0.300000
18,2022-04-11 09:00:00,9.5,9.5,0.000000
19,2022-03-31 09:00:00,6.6,6.5,0.100000
20,2022-03-11 09:00:00,10.0,9.3,0.700000
21,2022-02-11 09:00:00,6.5,6.4,0.100000
22,2021-12-22 09:00:00,6.8,6.6,0.200000
23,2021-11-11 09:00:00,5.3,6.8,-1.500000
24,2021-10-13 09:00:00,6.9,6.7,0.200000
25,2021-09-30 09:00:00,23.6,22.2,1.400000
26,2021-08-12 09:00:00,22.2,22.1,0.100000
27,2021-06-30 09:00:00,-6.1,-6.1,0.000000
28,2021-05-12 09:00:00,-6.1,-6.1,0.000000
29,2021-04-13 09:00:00,-7.8,-7.3,-0.500000
30,2021-03-31 09:00:00,-7.3,-7.8,0.500000
31,2021-03-12 09:00:00,-9.2,-7.8,-1.400000
32,2021-02-12 09:00:00,-7.8,-8.1,0.300000
33,2020-12-22 09:00:00,-8.6,-9.6,1.000000
34,2020-11-12 09:00:00,-9.6,-9.4,-0.200000
35,2020-09-30 09:00:00,-21.5,-21.7,0.200000
36,2020-08-12 09:00:00,-21.7,-22.4,0.700000
37,2020-06-30 09:00:00,-1.7,-1.6,-0.100000
38,2020-05-13 09:00:00,-1.6,-2.1,0.500000
39,2020-04-09 09:00:00,0.3,1.1,-0.800000
40,2020-03-31 09:00:00,1.1,1.1,0.000000
41,2020-03-11 12:30:00,0.6,0.9,-0.300000
42,2020-02-11 11:30:00,1.1,0.8,0.300000
43,2019-12-20 11:30:00,1.1,1.0,0.100000
44,2019-12-10 11:30:00,0.7,0.7,0.000000
45,2019-11-11 11:30:00,1.0,1.1,-0.100000
46,2019-10-10 11:30:00,1.1,0.9,0.200000
47,2019-09-30 11:30:00,1.3,1.2,0.100000
48,2019-08-09 11:30:00,1.2,1.4,-0.200000
49,2019-06-28 11:30:00,1.8,1.8,0.000000
50,2019-05-10 11:30:00,1.8,1.8,0.000000
51,2019-04-10 11:30:00,2.0,1.7,0.300000
52,2019-03-29 12:30:00,1.4,1.3,0.100000
53,2019-02-11 11:30:00,1.3,1.4,-0.100000
54,2018-12-21 11:30:00,1.5,1.5,0.000000
55,2018-12-10 11:30:00,1.5,1.6,-0.100000
56,2018-11-09 11:30:00,1.5,1.5,0.000000
57,2018-09-28 11:30:00,1.2,1.3,-0.100000
58,2018-08-10 11:30:00,1.3,1.3,0.000000
59,2018-06-29 11:30:00,1.2,1.2,0.000000
60,2018-05-25 11:30:00,1.2,1.2,0.000000
61,2018-04-27 11:30:00,1.2,1.4,-0.200000
62,2018-03-29 11:30:00,1.4,1.4,0.000000
63,2018-02-22 11:30:00,1.4,1.5,-0.100000
64,2018-01-26 11:30:00,1.5,1.4,0.100000
65,2017-12-22 11:30:00,1.7,1.5,0.200000
66,2017-11-23 11:30:00,1.5,1.5,0.000000
67,2017-10-25 11:30:00,1.5,1.4,0.100000
68,2017-09-29 11:30:00,1.5,1.7,-0.200000
69,2017-08-24 11:30:00,1.7,1.7,0.000000
70,2017-07-26 11:30:00,1.7,1.7,0.000000
71,2017-06-30 11:30:00,2.0,2.0,0.000000
72,2017-05-25 11:30:00,2.0,2.1,-0.100000
73,2017-04-28 11:30:00,2.1,2.2,-0.100000
74,2017-03-31 11:30:00,1.9,2.0,-0.100000
75,2017-02-22 11:30:00,2.0,2.2,-0.200000
76,2017-01-26 11:30:00,2.2,2.1,0.100000
77,2016-12-23 11:30:00,2.2,2.3,-0.100000
78,2016-11-25 11:30:00,2.3,2.3,0.000000
79,2016-10-27 11:30:00,2.3,2.1,0.200000
80,2016-09-30 11:30:00,2.1,2.2,-0.100000
81,2016-08-26 11:30:00,2.2,2.2,0.000000
82,2016-07-27 11:30:00,2.2,2.0,0.200000
83,2016-06-30 11:30:00,2.0,2.0,0.000000
84,2016-05-26 11:30:00,2.0,2.1,-0.100000
85,2016-04-27 11:30:00,2.1,2.0,0.100000
86,2016-03-31 11:30:00,2.1,1.9,0.200000
87,2016-02-25 11:30:00,1.9,1.9,0.000000
88,2016-01-28 11:30:00,1.9,1.9,0.000000
89,2015-12-23 11:30:00,2.1,2.3,-0.200000
90,2015-11-27 11:30:00,2.3,2.3,0.000000
91,2015-10-27 12:30:00,2.3,2.4,-0.100000
92,2015-09-30 11:30:00,2.4,2.6,-0.200000
93,2015-08-28 11:30:00,2.6,2.6,0.000000
94,2015-07-28 11:30:00,2.6,2.6,0.000000
95,2015-06-30 11:30:00,2.9,2.5,0.400000
96,2015-05-28 11:30:00,2.4,2.5,-0.100000
97,2015-04-28 11:30:00,2.4,2.6,-0.200000
98,2015-03-31 11:30:00,3.0,2.7,0.300000
99,2015-02-26 11:30:00,2.7,2.7,0.000000
100,2015-01-27 11:30:00,2.7,2.8,-0.100000
101,2014-12-23 11:30:00,2.6,3.0,-0.400000
102,2014-11-26 11:30:00,3.0,3.0,0.000000
103,2014-10-24 11:30:00,3.0,3.0,0.000000
104,2014-09-30 11:30:00,3.2,3.2,0.000000
105,2014-08-15 11:30:00,3.2,3.1,0.100000
106,2014-07-25 11:30:00,3.1,3.1,0.000000
107,2014-06-27 11:30:00,3.0,3.1,-0.100000
108,2014-05-22 11:30:00,3.1,3.1,0.000000
109,2014-04-29 11:30:00,3.1,3.2,-0.100000
110,2014-03-28 12:30:00,2.7,2.7,0.000000
111,2014-02-26 11:30:00,2.7,2.8,-0.100000
112,2014-01-28 11:30:00,2.8,2.8,0.000000
113,2013-12-20 11:30:00,1.9,1.5,0.400000
114,2013-11-27 11:30:00,1.5,1.5,0.000000
115,2013-10-25 11:30:00,1.5,1.5,0.000000
116,2013-09-26 11:30:00,1.3,1.5,-0.200000
117,2013-08-23 11:30:00,1.5,1.4,0.100000
118,2013-07-25 11:30:00,1.4,1.4,0.000000
119,2013-06-27 11:30:00,0.3,0.6,-0.300000
120,2013-05-23 11:30:00,0.6,0.6,0.000000
121,2013-04-25 11:30:00,0.6,0.3,0.300000
122,2013-03-27 12:30:00,0.2,0.3,-0.100000
123,2013-02-27 11:30:00,0.3,0.0,0.300000
124,2013-01-25 11:30:00,0.0,0.2,-0.200000
125,2012-12-21 11:30:00,0.0,-0.1,0.100000
126,2012-11-27 11:30:00,-0.1,0.0,-0.100000
127,2012-10-25 11:30:00,0.0,-0.5,0.500000
128,2012-09-27 11:30:00,-0.5,-0.5,0.000000
129,2012-08-24 11:30:00,-0.5,-0.6,0.100000
130,2012-07-25 11:30:00,-0.8,-0.3,-0.500000
131,2012-06-28 11:30:00,-0.2,-0.1,-0.100000
132,2012-05-24 11:30:00,-0.1,0.0,-0.100000
133,2012-04-25 11:30:00,0.0,0.3,-0.300000
