,Date,Actual,Consensus,Difference
0,2023-11-10 09:00:00,0.0,-0.1,0.100000
1,2023-10-12 09:00:00,0.3,0.3,0.000000
2,2023-09-13 09:00:00,0.2,0.3,-0.100000
3,2023-08-11 09:00:00,0.2,0.0,0.200000
4,2023-07-13 09:00:00,0.0,-0.1,0.100000
5,2023-06-14 09:00:00,0.1,-0.1,0.200000
6,2023-05-12 09:00:00,0.1,0.1,0.000000
7,2023-04-13 09:00:00,0.1,0.0,0.100000
8,2023-03-10 09:00:00,0.0,-0.1,0.100000
9,2022-12-12 09:00:00,-0.3,-0.4,0.100000
10,2022-10-12 09:00:00,-0.3,-0.2,-0.100000
11,2022-08-12 09:00:00,-0.1,-0.3,0.200000
12,2022-07-13 09:00:00,0.4,0.0,0.400000
13,2022-06-13 09:00:00,0.2,0.4,-0.200000
14,2022-05-12 09:00:00,0.8,1.0,-0.200000
15,2022-03-11 09:00:00,1.1,0.8,0.300000
16,2021-10-13 09:00:00,2.9,3.0,-0.100000
17,2021-08-12 09:00:00,4.8,4.8,0.000000
18,2021-03-12 09:00:00,-1.7,-2.5,0.800000
19,2020-09-11 09:00:00,-7.6,-7.5,-0.100000
20,2020-08-12 09:00:00,-20.4,-21.2,0.800000
21,2020-07-14 09:00:00,-19.1,-17.4,-1.700000
22,2020-06-12 09:00:00,-10.4,-10.0,-0.400000
23,2020-02-11 11:30:00,0.0,0.0,0.000000
24,2020-01-13 11:30:00,0.1,-0.1,0.200000
25,2019-08-09 11:30:00,-0.2,0.0,-0.200000
26,2019-07-10 11:30:00,0.3,0.1,0.200000
27,2019-04-10 11:30:00,0.3,0.2,0.100000
28,2019-03-12 12:30:00,0.2,0.2,0.000000
29,2019-01-11 11:30:00,0.3,0.3,0.000000
30,2018-12-10 11:30:00,0.4,0.4,0.000000
31,2018-11-09 11:30:00,0.6,0.6,0.000000
32,2018-10-10 11:30:00,0.7,0.6,0.100000
33,2018-09-10 11:30:00,0.6,0.5,0.100000
