,Date,Actual,Consensus,Difference
0,2023-11-09 02:01:00,-63.0,-65.0,2.000000
1,2023-10-12 02:01:00,-69.0,-63.0,-6.000000
2,2023-09-14 02:01:00,-68.0,-56.0,-12.000000
3,2023-08-10 02:01:00,-53.0,-50.0,-3.000000
4,2023-07-13 02:01:00,-46.0,-34.0,-12.000000
5,2023-06-08 02:01:00,-30.0,-38.0,8.000000
6,2023-05-11 02:01:00,-39.0,-40.0,1.000000
7,2023-04-13 02:01:00,-43.0,-48.0,5.000000
8,2023-03-09 02:01:00,-48.0,-49.0,1.000000
9,2023-02-09 02:01:00,-47.0,-45.0,-2.000000
10,2023-01-19 02:01:00,-42.0,-30.0,-12.000000
11,2022-12-08 02:01:00,-25.0,-10.0,-15.000000
12,2022-11-10 02:01:00,-2.0,20.0,-22.000000
13,2022-10-13 02:01:00,32.0,45.0,-13.000000
14,2022-09-08 02:01:00,53.0,61.0,-8.000000
15,2022-08-11 02:01:00,63.0,60.0,3.000000
16,2022-07-14 02:01:00,65.0,70.0,-5.000000
17,2022-06-09 02:01:00,73.0,76.0,-3.000000
18,2022-05-12 02:01:00,80.0,70.0,10.000000
19,2022-04-14 02:01:00,74.0,75.0,-1.000000
20,2022-03-10 02:01:00,79.0,73.0,6.000000
21,2022-02-10 02:01:00,74.0,68.0,6.000000
22,2022-01-20 02:01:00,69.0,69.0,0.000000
23,2021-12-09 02:01:00,71.0,70.0,1.000000
24,2021-11-11 02:01:00,70.0,65.0,5.000000
25,2021-10-14 02:01:00,68.0,68.0,0.000000
26,2021-09-09 02:01:00,73.0,75.0,-2.000000
27,2021-08-12 02:01:00,79.0,76.0,3.000000
28,2021-07-08 02:01:00,83.0,77.0,6.000000
29,2021-06-10 02:01:00,83.0,77.0,6.000000
30,2021-05-13 02:01:00,75.0,62.0,13.000000
31,2021-04-08 02:01:00,59.0,55.0,4.000000
32,2021-03-11 02:01:00,52.0,45.0,7.000000
33,2021-02-11 02:01:00,50.0,60.0,-10.000000
34,2021-01-14 02:01:00,65.0,62.0,3.000000
35,2020-12-10 02:01:00,66.0,60.0,6.000000
36,2020-11-12 02:01:00,68.0,55.0,13.000000
37,2020-10-08 02:01:00,61.0,40.0,21.000000
38,2020-09-10 02:01:00,44.0,25.0,19.000000
39,2020-08-13 02:01:00,12.0,-5.0,17.000000
40,2020-07-09 02:01:00,-15.0,-25.0,10.000000
41,2020-06-11 02:01:00,-32.0,-24.0,-8.000000
42,2020-05-14 02:01:00,-21.0,-38.0,17.000000
43,2020-04-09 02:01:00,11.0,14.0,-3.000000
44,2020-03-12 03:01:00,29.0,20.0,9.000000
45,2020-02-13 02:01:00,17.0,3.0,14.000000
46,2020-01-16 02:01:00,-2.0,-9.0,7.000000
47,2019-12-12 02:01:00,-12.0,-5.0,-7.000000
48,2019-11-14 02:01:00,-5.0,-4.0,-1.000000
