,Date,Actual,Consensus,Difference
0,2023-11-07 09:00:00,1.1,0.2,0.900000
1,2023-10-06 09:00:00,-0.4,-0.8,0.400000
2,2023-09-07 09:00:00,-1.9,-0.3,-1.600000
3,2023-08-07 09:00:00,-0.3,0.0,-0.300000
4,2023-07-07 09:00:00,-0.1,0.1,-0.200000
5,2023-06-07 09:00:00,0.0,0.0,0.000000
6,2023-05-09 09:00:00,-0.3,0.2,-0.500000
7,2023-04-06 09:00:00,0.8,-0.3,1.100000
8,2023-03-07 09:00:00,1.1,-0.3,1.400000
9,2023-02-07 09:00:00,0.0,-0.8,0.800000
10,2022-12-07 09:00:00,-2.3,-0.2,-2.100000
11,2022-11-07 09:00:00,-0.4,-0.4,0.000000
12,2022-08-05 09:00:00,-0.1,1.2,-1.300000
13,2022-06-08 09:00:00,1.0,0.8,0.200000
14,2022-05-06 09:00:00,1.1,0.7,0.400000
15,2022-03-07 09:00:00,0.5,1.0,-0.500000
16,2021-12-07 09:00:00,1.0,0.8,0.200000
17,2021-09-07 09:00:00,0.7,1.1,-0.400000
18,2021-07-07 09:00:00,-0.5,1.2,-1.700000
19,2021-06-07 10:30:00,1.3,1.2,0.100000
20,2021-03-05 10:30:00,-0.1,0.3,-0.400000
21,2021-02-05 10:30:00,-0.3,0.3,-0.600000
22,2021-01-08 10:30:00,0.2,0.5,-0.300000
23,2020-12-07 10:30:00,1.2,0.5,0.700000
24,2020-11-06 10:30:00,0.3,0.5,-0.200000
25,2020-10-07 10:30:00,1.6,1.5,0.100000
26,2020-09-07 10:30:00,1.6,1.5,0.100000
27,2020-07-07 10:30:00,-0.1,-0.9,0.800000
28,2020-06-05 10:30:00,-0.2,-0.7,0.500000
29,2020-05-07 10:30:00,-0.6,-0.7,0.100000
30,2020-04-07 10:30:00,0.0,0.1,-0.100000
31,2020-03-06 10:30:00,0.3,0.2,0.100000
32,2020-02-07 10:30:00,0.4,-0.2,0.600000
33,2020-01-08 10:30:00,1.7,0.6,1.100000
34,2019-12-06 10:30:00,1.0,0.2,0.800000
35,2019-11-07 10:30:00,-0.1,0.1,-0.200000
36,2019-10-07 10:30:00,-0.4,0.1,-0.500000
37,2019-09-06 10:30:00,0.3,0.2,0.100000
38,2019-08-07 10:30:00,-0.2,0.3,-0.500000
39,2019-07-05 10:30:00,-0.3,-0.2,-0.100000
40,2019-06-07 10:30:00,0.5,-0.2,0.700000
41,2019-05-08 10:30:00,1.1,0.1,1.000000
42,2019-04-05 10:30:00,-1.6,-2.5,0.900000
43,2019-03-07 10:30:00,5.9,0.1,5.800000
44,2019-02-07 10:30:00,-2.9,-0.5,-2.400000
45,2019-01-08 10:30:00,2.2,0.5,1.700000
46,2018-12-07 10:30:00,-1.4,0.3,-1.700000
47,2018-11-07 10:30:00,0.7,0.3,0.400000
48,2018-10-05 10:30:00,-1.4,0.2,-1.600000
49,2018-09-07 10:30:00,0.1,-0.3,0.400000
50,2018-08-07 10:30:00,1.4,0.2,1.200000
51,2018-07-06 10:30:00,0.3,0.3,0.000000
52,2018-06-07 10:30:00,1.5,1.1,0.400000
53,2018-05-08 10:30:00,-3.1,-0.3,-2.800000
54,2018-04-09 10:30:00,1.5,0.1,1.400000
55,2018-03-07 10:30:00,0.4,0.4,0.000000
56,2018-02-07 10:30:00,-0.6,0.2,-0.800000
57,2018-01-08 10:30:00,-0.6,0.2,-0.800000
58,2017-12-07 10:30:00,0.5,0.2,0.300000
59,2017-11-07 10:30:00,0.3,0.2,0.100000
60,2017-10-06 10:30:00,0.8,0.1,0.700000
61,2017-09-07 10:30:00,1.1,0.2,0.900000
62,2017-08-07 10:30:00,0.4,0.2,0.200000
63,2017-07-07 10:30:00,-1.0,0.2,-1.200000
64,2017-06-07 10:30:00,0.4,-0.1,0.500000
65,2017-05-08 10:30:00,-0.1,0.2,-0.300000
66,2017-04-07 10:30:00,0.0,0.3,-0.300000
67,2017-03-07 10:30:00,0.1,0.3,-0.200000
68,2017-02-07 10:30:00,-0.9,0.2,-1.100000
69,2017-01-09 10:30:00,1.7,0.2,1.500000
70,2016-12-07 10:30:00,0.2,0.2,0.000000
71,2016-11-07 10:30:00,1.4,0.2,1.200000
72,2016-10-07 10:30:00,0.1,0.0,0.100000
73,2016-09-07 10:30:00,-0.2,-0.4,0.200000
74,2016-08-05 10:30:00,-1.0,-0.2,-0.800000
75,2016-07-07 10:30:00,1.3,0.4,0.900000
76,2016-06-07 10:30:00,0.6,0.3,0.300000
77,2016-05-09 10:30:00,-0.8,-0.4,-0.400000
78,2016-04-07 10:30:00,2.6,0.7,1.900000
79,2016-03-03 10:30:00,-1.4,0.1,-1.500000
80,2016-02-04 10:30:00,1.7,0.3,1.400000
81,2016-01-07 10:00:00,1.7,0.5,1.200000
82,2015-12-08 10:00:00,-0.2,0.3,-0.500000
83,2015-11-05 10:00:00,1.1,0.6,0.500000
84,2015-10-06 10:00:00,-0.9,0.1,-1.000000
85,2015-09-10 10:00:00,2.7,0.5,2.200000
86,2015-08-06 10:00:00,-0.6,0.5,-1.100000
87,2015-07-08 10:00:00,1.7,0.3,1.400000
88,2015-06-04 10:00:00,-0.1,0.3,-0.400000
89,2015-05-08 10:00:00,1.6,0.4,1.200000
90,2015-04-09 10:00:00,0.4,0.2,0.200000
91,2015-03-05 10:00:00,-0.3,-0.2,-0.100000
92,2015-02-05 10:00:00,2.0,0.1,1.900000
93,2015-01-08 10:00:00,0.9,0.3,0.600000
94,2014-12-04 10:00:00,0.4,0.3,0.100000
95,2014-11-06 10:00:00,-0.4,0.4,-0.800000
96,2014-10-08 10:00:00,0.6,0.2,0.400000
97,2014-09-08 10:00:00,0.1,0.2,-0.100000
98,2014-08-06 10:00:00,1.4,0.4,1.000000
99,2014-07-09 10:00:00,-0.6,0.2,-0.800000
100,2014-06-05 10:00:00,3.9,0.7,3.200000
101,2014-05-08 10:00:00,-0.2,0.9,-1.100000
102,2014-04-04 10:00:00,-1.1,0.7,-1.800000
103,2014-03-06 10:00:00,2.4,0.7,1.700000
104,2014-02-06 10:00:00,1.1,1.0,0.100000
105,2014-01-08 10:00:00,-0.6,0.6,-1.200000
106,2013-12-06 10:00:00,1.1,0.6,0.500000
107,2013-11-06 10:00:00,0.7,0.9,-0.200000
108,2013-10-03 10:00:00,0.3,0.5,-0.200000
109,2013-09-06 10:00:00,0.4,0.7,-0.300000
110,2013-08-06 10:00:00,0.9,0.5,0.400000
111,2013-07-04 10:00:00,0.6,0.4,0.200000
112,2013-06-06 10:00:00,0.4,0.2,0.200000
113,2013-05-08 10:00:00,1.1,0.2,0.900000
114,2013-04-05 10:00:00,0.2,0.2,0.000000
