,Date,Actual,Consensus,Difference
0,2023-09-07 09:00:00,-4.6,-3.5,-1.100000
1,2023-08-07 09:00:00,-2.4,-3.8,1.400000
2,2023-07-07 09:00:00,-2.6,-2.3,-0.300000
3,2023-06-07 09:00:00,-1.0,-0.9,-0.100000
4,2023-05-09 09:00:00,0.1,1.7,-1.600000
5,2023-04-06 09:00:00,1.6,0.3,1.300000
6,2023-02-07 09:00:00,1.9,-0.3,2.200000
7,2020-02-07 10:30:00,4.1,3.0,1.100000
8,2020-01-08 10:30:00,4.0,1.5,2.500000
9,2019-12-06 10:30:00,2.1,1.0,1.100000
10,2019-11-07 10:30:00,0.9,1.6,-0.700000
11,2019-10-07 10:30:00,1.1,1.6,-0.500000
12,2019-09-06 10:30:00,1.8,3.4,-1.600000
13,2019-08-07 10:30:00,4.1,4.4,-0.300000
14,2019-07-05 10:30:00,5.7,5.9,-0.200000
15,2019-06-07 10:30:00,5.2,4.9,0.300000
16,2019-05-08 10:30:00,5.0,4.5,0.500000
17,2019-04-05 10:30:00,2.6,2.3,0.300000
18,2019-03-07 10:30:00,2.8,1.0,1.800000
19,2019-02-07 10:30:00,0.8,1.5,-0.700000
20,2019-01-08 10:30:00,1.3,0.4,0.900000
21,2018-12-07 10:30:00,0.3,1.0,-0.700000
22,2018-11-07 10:30:00,1.5,1.2,0.300000
23,2018-10-05 10:30:00,2.5,3.3,-0.800000
24,2018-09-07 10:30:00,3.7,3.9,-0.200000
25,2018-08-07 10:30:00,3.3,2.7,0.600000
26,2018-07-06 10:30:00,1.8,1.8,0.000000
27,2018-06-07 10:30:00,1.9,1.9,0.000000
28,2018-05-08 10:30:00,2.2,3.3,-1.100000
29,2018-04-09 10:30:00,2.7,2.1,0.600000
30,2018-03-07 10:30:00,1.8,1.6,0.200000
31,2018-02-07 10:30:00,2.2,2.4,-0.200000
32,2018-01-08 10:30:00,2.7,3.3,-0.600000
33,2017-12-07 10:30:00,3.9,3.9,0.000000
34,2017-11-07 10:30:00,4.5,4.5,0.000000
35,2017-10-06 10:30:00,4.0,3.6,0.400000
36,2017-09-07 10:30:00,2.6,2.1,0.500000
37,2017-08-07 10:30:00,2.1,2.0,0.100000
38,2017-07-07 10:30:00,2.6,3.1,-0.500000
39,2017-06-07 10:30:00,3.3,3.0,0.300000
40,2017-05-08 10:30:00,3.8,3.6,0.200000
41,2017-04-07 10:30:00,3.8,3.9,-0.100000
42,2017-03-07 10:30:00,5.1,5.3,-0.200000
43,2017-02-07 10:30:00,5.7,6.0,-0.300000
44,2017-01-09 10:30:00,6.5,5.8,0.700000
45,2016-12-07 10:30:00,6.0,6.0,0.000000
46,2016-11-07 10:30:00,5.2,4.8,0.400000
47,2016-10-07 10:30:00,5.8,5.8,0.000000
48,2016-09-07 10:30:00,6.9,7.0,-0.100000
49,2016-08-05 10:30:00,8.4,8.5,-0.100000
50,2016-07-07 10:30:00,8.4,7.7,0.700000
51,2016-06-07 10:30:00,9.2,8.9,0.300000
52,2016-05-09 10:30:00,9.2,9.6,-0.400000
53,2016-04-07 10:30:00,10.1,9.5,0.600000
54,2016-03-03 10:30:00,9.7,10.4,-0.700000
55,2016-02-04 10:30:00,9.7,9.0,0.700000
56,2016-01-07 10:00:00,9.5,9.0,0.500000
57,2015-12-08 10:00:00,9.0,9.5,-0.500000
58,2015-11-05 10:00:00,9.7,9.5,0.200000
59,2015-10-06 10:00:00,8.6,9.0,-0.400000
60,2015-09-10 10:00:00,9.0,7.9,1.100000
61,2015-08-06 10:00:00,7.9,8.2,-0.300000
62,2015-07-08 10:00:00,9.6,8.3,1.300000
63,2015-06-04 10:00:00,8.6,8.5,0.100000
64,2015-05-08 10:00:00,8.5,7.8,0.700000
65,2015-04-09 10:00:00,8.1,8.2,-0.100000
66,2015-03-05 10:00:00,8.3,8.5,-0.200000
67,2015-02-05 10:00:00,8.5,7.8,0.700000
68,2015-01-08 10:00:00,7.8,7.6,0.200000
69,2014-11-06 10:00:00,8.8,9.1,-0.300000
70,2014-10-08 10:00:00,9.6,9.6,0.000000
71,2014-09-08 10:00:00,9.7,9.9,-0.200000
72,2014-08-06 10:00:00,10.2,9.6,0.600000
73,2014-07-09 10:00:00,8.8,8.9,-0.100000
74,2014-06-05 10:00:00,8.7,7.4,1.300000
75,2014-05-08 10:00:00,8.5,9.1,-0.600000
76,2014-03-06 10:00:00,7.9,7.2,0.700000
77,2014-02-06 10:00:00,7.3,7.2,0.100000
78,2014-01-08 10:00:00,7.5,8.2,-0.700000
79,2013-12-06 10:00:00,7.7,7.2,0.500000
80,2013-11-06 10:00:00,6.9,7.0,-0.100000
81,2013-10-03 10:00:00,6.2,6.4,-0.200000
82,2013-09-06 10:00:00,5.4,5.6,-0.200000
83,2013-08-06 10:00:00,4.6,4.3,0.300000
84,2013-07-04 10:00:00,3.7,3.6,0.100000
85,2013-06-06 10:00:00,2.6,2.5,0.100000
