,Date,Actual,Consensus,Difference
0,2023-11-01 10:00:00,0.9,-0.4,1.300000
1,2023-10-02 09:00:00,0.0,-0.4,0.400000
2,2023-09-01 09:00:00,-0.8,-0.3,-0.500000
3,2023-08-01 09:00:00,-0.2,-0.2,0.000000
4,2023-06-30 09:00:00,0.1,-0.3,0.400000
5,2023-06-01 09:00:00,-0.1,-0.5,0.400000
6,2023-05-02 09:00:00,0.5,-0.4,0.900000
7,2023-03-31 09:00:00,-0.8,-0.3,-0.500000
8,2023-03-01 09:00:00,-0.5,-0.4,-0.100000
9,2023-02-01 09:00:00,-0.6,-0.3,-0.300000
10,2022-12-30 09:00:00,-0.1,-0.7,0.600000
11,2022-12-01 09:00:00,-1.4,-0.3,-1.100000
12,2022-09-30 09:00:00,0.0,0.3,-0.300000
13,2022-09-01 09:00:00,0.8,0.1,0.700000
14,2022-08-02 09:00:00,0.1,0.3,-0.200000
15,2022-06-30 09:00:00,0.3,0.5,-0.200000
16,2022-06-01 09:00:00,0.9,0.6,0.300000
17,2022-04-29 09:00:00,0.3,0.8,-0.500000
18,2022-03-31 09:00:00,1.1,0.8,0.300000
19,2022-03-02 09:00:00,1.7,0.6,1.100000
20,2022-02-01 09:00:00,0.8,0.6,0.200000
21,2021-12-30 09:00:00,1.0,0.5,0.500000
22,2021-12-01 09:00:00,0.9,0.5,0.400000
23,2021-11-03 10:00:00,0.7,0.4,0.300000
24,2021-09-30 09:00:00,0.1,0.6,-0.500000
25,2021-09-01 09:00:00,2.1,0.2,1.900000
26,2021-07-28 09:00:00,-0.5,0.6,-1.100000
27,2021-06-29 09:00:00,0.7,0.7,0.000000
28,2021-06-01 09:00:00,1.8,0.8,1.000000
29,2021-04-30 09:00:00,2.1,0.5,1.600000
30,2021-03-31 09:00:00,-0.2,0.4,-0.600000
31,2021-03-02 09:00:00,0.7,-0.3,1.000000
32,2021-02-02 09:00:00,-0.3,0.3,-0.600000
33,2020-12-30 09:00:00,0.8,0.4,0.400000
34,2020-12-01 09:00:00,0.9,0.3,0.600000
35,2020-10-30 10:00:00,0.8,0.4,0.400000
36,2020-09-30 09:00:00,0.9,0.5,0.400000
37,2020-09-02 09:00:00,2.0,0.5,1.500000
38,2020-07-31 09:00:00,1.7,-0.1,1.800000
39,2020-07-01 09:00:00,-1.4,-0.7,-0.700000
40,2020-06-02 09:00:00,-1.7,-1.0,-0.700000
41,2020-05-01 09:00:00,0.7,-0.3,1.000000
42,2020-04-02 09:00:00,0.8,-0.1,0.900000
43,2020-02-28 09:00:00,0.3,0.4,-0.100000
44,2020-01-29 09:00:00,0.5,0.3,0.200000
45,2020-01-03 10:00:00,0.1,0.0,0.100000
46,2020-01-03 09:00:00,0.1,0.0,0.100000
47,2019-11-28 09:00:00,0.5,0.1,0.400000
48,2019-10-01 09:00:00,-0.2,0.1,-0.300000
49,2019-08-30 09:00:00,0.0,0.1,-0.100000
50,2019-07-31 09:00:00,0.3,0.2,0.100000
51,2019-07-02 09:00:00,0.1,0.2,-0.100000
52,2019-05-31 09:00:00,-0.2,0.0,-0.200000
53,2019-05-01 09:00:00,0.4,0.1,0.300000
54,2019-03-29 10:00:00,0.2,0.0,0.200000
55,2019-02-28 09:00:00,-0.1,-0.1,0.000000
56,2019-01-31 09:00:00,0.3,0.2,0.100000
57,2019-01-04 09:00:00,-0.7,0.1,-0.800000
58,2018-11-30 09:00:00,0.3,0.1,0.200000
59,2018-11-01 10:00:00,0.0,0.2,-0.200000
60,2018-10-02 09:00:00,0.3,0.2,0.100000
61,2018-08-31 09:00:00,-0.5,0.1,-0.600000
62,2018-08-01 09:00:00,0.6,0.1,0.500000
63,2018-06-27 09:00:00,0.5,0.3,0.200000
64,2018-05-31 09:00:00,-0.2,0.3,-0.500000
65,2018-04-27 09:00:00,0.2,0.2,0.000000
66,2018-03-29 09:00:00,-0.2,0.2,-0.400000
67,2018-03-01 09:00:00,-0.3,0.2,-0.500000
68,2018-02-01 09:00:00,0.6,0.2,0.400000
69,2018-01-04 09:00:00,0.6,0.1,0.500000
70,2017-11-30 09:00:00,0.1,0.2,-0.100000
71,2017-11-01 10:00:00,0.2,0.2,0.000000
72,2017-09-29 09:00:00,0.2,0.1,0.100000
73,2017-08-29 09:00:00,-0.1,0.1,-0.200000
74,2017-08-01 09:00:00,0.3,-0.1,0.400000
75,2017-06-28 09:00:00,1.1,0.1,1.000000
76,2017-06-01 09:00:00,-0.2,-0.1,-0.100000
77,2017-04-28 09:00:00,-0.4,0.1,-0.500000
78,2017-03-31 09:00:00,-0.3,0.4,-0.700000
79,2017-03-01 09:00:00,0.6,0.2,0.400000
80,2017-02-01 09:00:00,0.2,0.3,-0.100000
81,2016-12-29 09:00:00,0.8,0.2,0.600000
82,2016-12-01 09:00:00,0.1,0.1,0.000000
83,2016-11-02 10:00:00,0.0,0.2,-0.200000
84,2016-09-30 09:00:00,0.3,0.3,0.000000
85,2016-08-31 09:00:00,0.6,-0.3,0.900000
86,2016-07-28 09:00:00,0.5,-0.2,0.700000
87,2016-06-29 09:00:00,0.2,0.1,0.100000
88,2016-06-01 09:00:00,0.2,0.3,-0.100000
89,2016-04-28 09:00:00,0.2,0.4,-0.200000
90,2016-04-01 09:00:00,0.8,0.5,0.300000
91,2016-03-03 09:00:00,0.3,0.5,-0.200000
92,2016-01-27 09:00:00,0.3,0.6,-0.300000
93,2015-12-30 09:00:00,0.8,0.5,0.300000
94,2015-11-27 09:00:00,0.1,0.5,-0.400000
95,2015-10-29 10:00:00,0.6,0.5,0.100000
96,2015-09-30 09:00:00,0.5,0.4,0.100000
97,2015-08-27 09:00:00,0.3,0.4,-0.100000
98,2015-08-04 09:00:00,0.4,0.4,0.000000
99,2015-07-02 09:00:00,-0.2,0.5,-0.700000
100,2015-06-03 09:00:00,0.3,0.3,0.000000
101,2015-04-29 09:00:00,1.0,0.2,0.800000
102,2015-03-27 10:00:00,0.1,0.2,-0.100000
103,2015-03-02 09:00:00,-0.1,0.3,-0.400000
104,2015-01-29 09:00:00,0.3,0.3,0.000000
105,2014-12-30 09:00:00,0.2,0.3,-0.100000
106,2014-11-28 09:00:00,0.3,0.4,-0.100000
107,2014-10-30 10:00:00,0.5,0.3,0.200000
108,2014-09-30 09:00:00,-0.2,0.5,-0.700000
109,2014-08-29 09:00:00,0.8,0.1,0.700000
110,2014-07-31 09:00:00,0.1,0.5,-0.400000
111,2014-07-02 09:00:00,1.0,0.6,0.400000
112,2014-06-03 09:00:00,0.7,0.6,0.100000
113,2014-05-01 09:00:00,1.2,0.7,0.500000
114,2014-04-02 09:00:00,0.4,0.8,-0.400000
115,2014-02-28 09:00:00,0.6,0.6,0.000000
116,2014-01-29 09:00:00,0.7,0.6,0.100000
117,2014-01-03 09:00:00,1.4,0.7,0.700000
118,2013-11-29 09:00:00,0.6,0.6,0.000000
119,2013-10-31 10:00:00,1.0,0.7,0.300000
120,2013-09-27 09:00:00,0.9,0.5,0.400000
121,2013-08-30 09:00:00,0.6,0.6,0.000000
122,2013-08-02 09:00:00,0.8,0.4,0.400000
123,2013-06-28 09:00:00,0.3,0.3,0.000000
124,2013-05-30 09:00:00,0.4,0.4,0.000000
125,2013-05-01 09:00:00,-0.1,0.3,-0.400000
126,2013-03-28 10:00:00,0.0,0.2,-0.200000
127,2013-03-01 09:00:00,0.2,0.2,0.000000
128,2013-01-31 09:00:00,0.5,0.2,0.300000
129,2013-01-03 09:00:00,-0.1,0.1,-0.200000
130,2012-11-29 09:00:00,0.0,0.1,-0.100000
131,2012-11-01 10:00:00,0.6,0.2,0.400000
132,2012-10-02 09:00:00,-0.4,-0.3,-0.100000
133,2012-08-31 09:00:00,1.3,0.1,1.200000
134,2012-08-01 09:00:00,-0.7,-0.1,-0.600000
135,2012-06-28 09:00:00,-0.6,0.1,-0.700000
136,2012-05-31 09:00:00,0.3,0.2,0.100000
137,2012-05-03 09:00:00,-0.2,0.5,-0.700000
138,2012-03-29 09:00:00,-1.0,0.2,-1.200000
139,2012-03-01 09:00:00,0.6,0.3,0.300000
140,2012-02-01 09:00:00,-0.2,-0.1,-0.100000
141,2011-12-30 09:00:00,-0.2,0.3,-0.500000
142,2011-11-29 09:00:00,0.4,-0.1,0.500000
143,2011-11-01 10:00:00,0.4,0.1,0.300000
144,2011-09-29 09:00:00,0.1,0.1,0.000000
145,2011-09-01 09:00:00,-0.6,0.1,-0.700000
146,2011-07-29 09:00:00,0.2,-0.2,0.400000
147,2011-06-30 09:00:00,0.0,0.1,-0.100000
148,2011-05-27 09:00:00,0.3,0.1,0.200000
149,2011-05-04 09:00:00,-0.2,0.1,-0.300000
150,2011-03-31 09:00:00,0.5,-0.1,0.600000
151,2011-03-01 09:00:00,0.3,-0.2,0.500000
152,2011-02-01 09:00:00,-0.1,-0.3,0.200000
153,2010-12-31 09:00:00,0.4,0.2,0.200000
154,2010-12-01 09:00:00,-0.3,-0.4,0.100000
155,2010-10-28 09:00:00,-0.7,-0.3,-0.400000
156,2010-09-30 09:00:00,0.1,-0.2,0.300000
157,2010-09-02 09:00:00,-0.9,-0.3,-0.600000
158,2010-07-29 09:00:00,-0.5,-0.4,-0.100000
159,2010-06-30 09:00:00,0.1,0.3,-0.200000
160,2010-06-03 09:00:00,0.5,0.5,0.000000
161,2010-04-29 09:00:00,1.0,0.4,0.600000
162,2010-03-30 10:00:00,0.7,0.2,0.500000
163,2010-02-26 09:00:00,-1.0,0.4,-1.400000
164,2010-01-29 09:00:00,1.2,0.4,0.800000
165,2009-12-31 09:00:00,0.4,0.4,0.000000
166,2009-12-01 09:00:00,0.5,0.4,0.100000
167,2009-10-30 10:00:00,0.4,0.7,-0.300000
168,2009-10-02 09:00:00,0.9,0.9,0.000000
169,2009-08-27 09:00:00,1.6,0.6,1.000000
170,2009-07-30 09:00:00,1.3,0.3,1.000000
171,2009-06-30 09:00:00,0.9,-0.4,1.300000
172,2009-05-29 09:00:00,1.2,-0.9,2.100000
173,2009-04-30 09:00:00,-0.4,-1.2,0.800000
174,2009-04-02 09:00:00,0.9,-1.5,2.400000
175,2009-02-26 09:00:00,-1.8,-1.2,-0.600000
176,2009-01-29 09:00:00,-1.3,-1.8,0.500000
177,2009-01-06 09:00:00,-2.5,-1.5,-1.000000
178,2008-11-27 09:01:00,-0.4,-1.7,1.300000
179,2008-10-30 10:00:00,-1.4,-1.5,0.100000
180,2008-10-02 09:00:00,-1.7,-1.6,-0.100000
181,2008-07-31 09:00:00,-1.7,-1.2,-0.500000
182,2008-07-01 09:00:00,-0.9,-1.1,0.200000
183,2008-05-29 10:00:00,-2.5,-0.5,-2.000000
184,2008-03-28 10:00:00,-0.5,-0.3,-0.200000
185,2008-02-29 02:00:00,-0.5,0.0,-0.500000
