,Date,Actual,Consensus,Difference
0,2023-11-01 10:00:00,-3.3,-4.8,1.500000
1,2023-10-02 09:00:00,-5.3,-5.7,0.400000
2,2023-09-01 09:00:00,-5.3,-3.9,-1.400000
3,2023-08-01 09:00:00,-3.8,-3.8,0.000000
4,2023-06-30 09:00:00,-3.5,-4.0,0.500000
5,2023-05-02 09:00:00,-2.7,-3.6,0.900000
6,2023-03-31 09:00:00,-3.1,-2.2,-0.900000
7,2023-03-01 09:00:00,-1.1,-0.9,-0.200000
8,2023-02-01 09:00:00,1.1,1.9,-0.800000
9,2022-12-30 09:00:00,2.8,2.3,0.500000
10,2022-12-01 09:00:00,4.4,5.8,-1.400000
11,2022-11-01 10:00:00,7.2,8.3,-1.100000
12,2022-09-30 09:00:00,9.5,10.0,-0.500000
13,2022-09-14 11:30:00,15.5,7.9,7.600000
14,2022-09-01 09:00:00,10.0,8.9,1.100000
15,2022-08-02 09:00:00,11.0,11.5,-0.500000
16,2022-06-30 09:00:00,10.7,10.8,-0.100000
17,2022-06-01 09:00:00,11.2,10.5,0.700000
18,2022-04-29 09:00:00,12.1,12.6,-0.500000
19,2022-03-31 09:00:00,14.3,13.5,0.800000
20,2022-03-02 09:00:00,12.6,10.7,1.900000
21,2022-02-01 09:00:00,11.2,10.8,0.400000
22,2021-12-01 09:00:00,10.0,9.3,0.700000
23,2021-11-03 10:00:00,9.9,9.3,0.600000
24,2021-09-30 09:00:00,10.0,10.7,-0.700000
25,2021-09-01 09:00:00,11.0,8.6,2.400000
26,2021-07-28 09:00:00,10.5,12.1,-1.600000
27,2021-06-29 09:00:00,13.4,13.7,-0.300000
28,2021-06-01 09:00:00,10.9,9.2,1.700000
29,2021-04-30 09:00:00,7.1,5.0,2.100000
30,2021-03-31 09:00:00,5.7,6.4,-0.700000
31,2021-03-02 09:00:00,6.9,5.6,1.300000
32,2021-02-02 09:00:00,6.4,6.9,-0.500000
33,2020-12-30 09:00:00,7.3,6.7,0.600000
34,2020-12-01 09:00:00,6.5,5.5,1.000000
35,2020-10-30 10:00:00,5.8,5.2,0.600000
36,2020-09-30 09:00:00,5.0,4.5,0.500000
37,2020-09-02 09:00:00,3.7,2.0,1.700000
38,2020-07-31 09:00:00,1.5,-0.3,1.800000
39,2020-07-01 09:00:00,-0.1,1.0,-1.100000
40,2020-06-02 09:00:00,1.8,2.8,-1.000000
41,2020-05-01 09:00:00,3.7,2.5,1.200000
42,2020-04-02 09:00:00,3.0,2.0,1.000000
43,2020-02-28 09:00:00,2.3,2.3,0.000000
44,2020-01-29 09:00:00,1.9,1.5,0.400000
45,2020-01-03 10:00:00,1.4,1.4,0.000000
46,2020-01-03 09:00:00,1.4,1.4,0.000000
47,2019-11-28 09:00:00,0.8,0.2,0.600000
48,2019-10-29 10:00:00,0.4,0.2,0.200000
49,2019-10-01 09:00:00,0.2,0.5,-0.300000
50,2019-07-31 09:00:00,0.3,0.1,0.200000
51,2019-07-02 09:00:00,0.5,0.5,0.000000
