,Date,Actual,Consensus,Difference
0,2023-11-10 09:00:00,0.0,0.1,-0.100000
1,2023-10-12 09:00:00,-0.7,-0.2,-0.500000
2,2023-09-13 09:00:00,-0.7,-0.6,-0.100000
3,2023-08-11 09:00:00,1.8,0.1,1.700000
4,2023-07-13 09:00:00,-0.6,-0.4,-0.200000
5,2023-06-14 09:00:00,-0.3,-0.1,-0.200000
6,2023-05-12 09:00:00,0.7,0.1,0.600000
7,2023-04-13 09:00:00,-0.2,0.2,-0.400000
8,2023-03-10 09:00:00,-0.3,-0.1,-0.200000
9,2023-02-10 09:00:00,0.3,-0.2,0.500000
10,2023-01-13 09:00:00,-0.2,-0.3,0.100000
11,2022-12-12 09:00:00,0.0,0.1,-0.100000
12,2022-11-11 09:00:00,0.2,-0.2,0.400000
13,2022-10-12 09:00:00,-1.8,-0.2,-1.600000
14,2022-09-12 09:00:00,-0.3,0.4,-0.700000
15,2022-08-12 09:00:00,-0.9,-1.3,0.400000
16,2022-07-13 09:00:00,0.9,0.2,0.700000
17,2022-06-13 09:00:00,-0.6,0.2,-0.800000
18,2022-05-12 09:00:00,-0.2,0.1,-0.300000
19,2022-04-11 09:00:00,-0.6,0.3,-0.900000
20,2022-03-11 09:00:00,0.7,0.1,0.600000
21,2022-02-11 09:00:00,0.3,0.1,0.200000
22,2022-01-14 09:00:00,1.0,0.2,0.800000
23,2021-12-10 09:00:00,-0.6,0.1,-0.700000
24,2021-11-11 09:00:00,-0.4,0.2,-0.600000
25,2021-10-13 09:00:00,0.8,0.2,0.600000
26,2021-09-10 09:00:00,1.2,0.4,0.800000
27,2021-08-12 09:00:00,0.7,0.3,0.400000
28,2021-07-09 09:00:00,0.8,1.5,-0.700000
29,2021-06-11 09:00:00,-1.3,1.2,-2.500000
30,2021-05-12 09:00:00,1.8,1.0,0.800000
31,2021-04-13 09:00:00,1.0,0.5,0.500000
32,2021-03-12 09:00:00,-1.5,-0.6,-0.900000
33,2021-02-12 09:00:00,0.2,0.5,-0.300000
34,2021-01-15 09:00:00,-0.1,0.5,-0.600000
35,2020-12-10 09:00:00,1.3,0.3,1.000000
36,2020-11-12 09:00:00,0.5,0.8,-0.300000
37,2020-10-09 09:00:00,0.3,2.5,-2.200000
38,2020-09-11 09:00:00,5.2,4.0,1.200000
39,2020-08-12 09:00:00,9.3,9.2,0.100000
40,2020-07-14 09:00:00,6.0,6.0,0.000000
41,2020-06-12 09:00:00,-20.3,-15.0,-5.300000
42,2020-05-13 09:00:00,-4.2,-5.6,1.400000
43,2020-04-09 09:00:00,0.1,0.1,0.000000
44,2020-03-11 12:30:00,-0.1,0.3,-0.400000
45,2020-02-11 11:30:00,0.1,0.3,-0.200000
46,2020-01-13 11:30:00,-1.2,-0.1,-1.100000
47,2019-12-10 11:30:00,0.1,0.2,-0.100000
48,2019-11-11 11:30:00,-0.3,-0.2,-0.100000
49,2019-10-10 11:30:00,-0.6,-0.1,-0.500000
50,2019-09-09 11:30:00,0.1,-0.1,0.200000
51,2019-08-09 11:30:00,-0.1,-0.2,0.100000
52,2019-07-10 11:30:00,1.4,1.6,-0.200000
53,2019-06-10 11:30:00,-2.7,-0.7,-2.000000
54,2019-05-10 11:30:00,0.7,0.1,0.600000
55,2019-04-10 11:30:00,0.6,0.1,0.500000
56,2019-03-12 12:30:00,0.6,0.2,0.400000
57,2019-02-11 11:30:00,-0.5,0.1,-0.600000
58,2019-01-11 11:30:00,-0.4,0.3,-0.700000
59,2018-12-10 11:30:00,-0.6,-0.4,-0.200000
60,2018-11-09 11:30:00,0.0,-0.1,0.100000
61,2018-10-10 11:30:00,0.2,0.1,0.100000
62,2018-09-10 11:30:00,0.1,0.2,-0.100000
63,2018-08-10 11:30:00,0.4,0.4,0.000000
64,2018-07-10 11:30:00,-0.4,0.5,-0.900000
65,2018-06-11 11:30:00,-0.8,0.2,-1.000000
66,2018-05-10 11:30:00,0.1,0.1,0.000000
67,2018-04-11 11:30:00,0.1,0.4,-0.300000
68,2018-03-09 11:30:00,1.3,1.5,-0.200000
69,2018-02-09 11:30:00,-1.3,-0.9,-0.400000
70,2018-01-10 11:30:00,0.4,0.4,0.000000
71,2017-12-08 11:30:00,0.0,0.0,0.000000
72,2017-11-10 11:30:00,0.7,0.3,0.400000
73,2017-10-10 11:30:00,0.2,0.2,0.000000
74,2017-09-08 11:30:00,0.2,0.2,0.000000
75,2017-08-10 11:30:00,0.5,0.1,0.400000
76,2017-07-07 11:30:00,-0.1,0.4,-0.500000
77,2017-06-09 11:30:00,0.2,0.8,-0.600000
78,2017-05-11 11:30:00,-0.5,-0.3,-0.200000
79,2017-04-07 11:30:00,-0.7,0.2,-0.900000
80,2017-03-10 11:30:00,-0.4,-0.4,0.000000
81,2017-02-10 11:30:00,1.1,0.2,0.900000
82,2017-01-11 11:30:00,2.1,0.8,1.300000
83,2016-12-07 11:30:00,-1.3,0.2,-1.500000
84,2016-11-08 11:30:00,-0.4,0.1,-0.500000
85,2016-10-07 11:30:00,-0.4,0.1,-0.500000
86,2016-09-07 11:30:00,0.1,-0.2,0.300000
87,2016-08-09 11:30:00,0.1,0.1,0.000000
88,2016-07-07 11:30:00,-0.5,-1.0,0.500000
89,2016-06-08 11:30:00,2.0,0.0,2.000000
90,2016-05-11 11:30:00,0.3,0.5,-0.200000
91,2016-04-08 11:30:00,-0.3,0.1,-0.400000
92,2016-03-09 11:30:00,0.3,0.5,-0.200000
93,2016-02-10 11:30:00,-1.1,-0.1,-1.000000
94,2016-01-12 11:30:00,-0.7,0.0,-0.700000
95,2015-12-08 11:30:00,0.1,0.1,0.000000
96,2015-11-06 11:30:00,-0.2,-0.1,-0.100000
97,2015-10-07 11:30:00,1.0,0.3,0.700000
98,2015-09-09 11:30:00,-0.4,0.1,-0.500000
99,2015-08-06 11:30:00,-0.4,0.1,-0.500000
100,2015-07-07 11:30:00,0.4,-0.2,0.600000
101,2015-06-10 11:30:00,0.4,0.1,0.300000
102,2015-05-12 11:30:00,0.5,0.1,0.400000
103,2015-04-10 11:30:00,0.1,0.3,-0.200000
104,2015-03-11 12:30:00,-0.1,0.2,-0.300000
105,2015-02-10 11:30:00,-0.2,0.1,-0.300000
106,2015-01-09 11:30:00,-0.1,0.2,-0.300000
107,2014-12-09 11:30:00,-0.1,0.2,-0.300000
108,2014-11-06 11:30:00,0.6,0.4,0.200000
109,2014-10-07 11:30:00,0.0,0.2,-0.200000
110,2014-09-09 11:30:00,0.5,0.2,0.300000
111,2014-08-06 11:30:00,0.3,0.6,-0.300000
112,2014-07-08 11:30:00,-0.7,0.2,-0.900000
113,2014-06-10 11:30:00,0.4,0.4,0.000000
114,2014-05-09 11:30:00,-0.1,-0.2,0.100000
115,2014-04-08 11:30:00,0.9,0.3,0.600000
116,2014-03-11 12:30:00,0.1,0.2,-0.100000
117,2014-02-07 11:30:00,0.4,0.6,-0.200000
118,2014-01-10 11:30:00,0.0,0.4,-0.400000
119,2013-12-10 11:30:00,0.4,0.3,0.100000
120,2013-11-06 11:30:00,0.9,0.5,0.400000
121,2013-10-09 11:30:00,-1.1,0.4,-1.500000
122,2013-09-06 11:30:00,0.0,0.1,-0.100000
123,2013-08-06 11:30:00,1.1,0.6,0.500000
124,2013-07-09 11:30:00,0.0,0.2,-0.200000
125,2013-06-11 11:30:00,0.1,0.0,0.100000
126,2013-05-09 11:30:00,0.7,0.2,0.500000
127,2013-04-09 11:30:00,1.0,0.3,0.700000
128,2013-03-12 12:30:00,-1.2,0.1,-1.300000
129,2013-02-07 11:30:00,1.1,0.9,0.200000
130,2013-01-11 11:30:00,0.3,0.8,-0.500000
131,2012-12-07 11:30:00,-0.8,0.7,-1.500000
132,2012-11-06 11:30:00,-1.7,-0.6,-1.100000
133,2012-10-09 11:30:00,-0.5,-0.5,0.000000
134,2012-09-07 11:30:00,2.9,1.5,1.400000
135,2012-08-07 11:30:00,-2.5,-3.4,0.900000
136,2012-07-10 11:30:00,1.0,-0.2,1.200000
137,2012-06-12 11:30:00,0.0,0.1,-0.100000
138,2012-05-10 11:30:00,-0.3,-0.3,0.000000
139,2012-04-05 11:30:00,0.4,0.3,0.100000
140,2012-03-09 11:30:00,-0.4,0.4,-0.800000
141,2012-02-09 11:30:00,0.5,0.2,0.300000
142,2012-01-12 11:30:00,-0.6,-0.1,-0.500000
143,2011-12-07 11:30:00,-0.7,-0.3,-0.400000
144,2011-11-08 11:30:00,0.0,0.1,-0.100000
145,2011-10-11 11:30:00,0.2,-0.2,0.400000
146,2011-09-07 11:30:00,-0.2,0.0,-0.200000
147,2011-08-09 11:30:00,0.0,0.4,-0.400000
148,2011-07-07 11:30:00,0.9,1.1,-0.200000
149,2011-06-10 11:30:00,-1.7,0.0,-1.700000
150,2011-05-12 11:30:00,0.3,0.9,-0.600000
151,2011-04-06 11:30:00,-1.2,0.4,-1.600000
152,2011-03-10 11:30:00,0.5,0.4,0.100000
153,2011-02-10 11:30:00,0.5,0.5,0.000000
154,2011-01-13 11:30:00,0.4,0.5,-0.100000
155,2010-12-07 11:30:00,-0.2,0.3,-0.500000
156,2010-11-09 11:30:00,0.4,0.4,0.000000
157,2010-10-07 11:30:00,0.3,0.3,0.000000
158,2010-09-08 11:30:00,0.3,0.4,-0.100000
159,2010-08-06 11:30:00,-0.5,0.3,-0.800000
160,2010-07-08 11:30:00,0.7,0.4,0.300000
161,2010-06-11 11:30:00,-0.4,0.5,-0.900000
162,2010-05-11 11:30:00,2.0,0.3,1.700000
163,2010-04-08 11:30:00,1.0,0.5,0.500000
164,2010-03-10 11:30:00,-0.4,0.2,-0.600000
165,2010-02-10 11:30:00,0.5,0.2,0.300000
166,2010-01-13 11:30:00,0.4,0.3,0.100000
167,2009-12-08 11:30:00,0.0,0.5,-0.500000
168,2009-11-05 11:30:00,1.6,1.1,0.500000
169,2009-10-06 11:30:00,-2.5,0.0,-2.500000
170,2009-09-08 11:30:00,0.5,0.3,0.200000
171,2009-08-05 11:30:00,0.5,0.0,0.500000
172,2009-07-07 11:30:00,-0.6,0.2,-0.800000
173,2009-06-10 11:30:00,0.3,-0.1,0.400000
174,2009-05-12 11:30:00,-0.6,-0.7,0.100000
175,2009-04-07 11:30:00,-1.0,-1.1,0.100000
176,2009-03-10 12:30:00,-2.6,-1.2,-1.400000
177,2009-02-06 11:30:00,-1.7,-1.2,-0.500000
178,2009-01-09 11:30:00,-2.3,-0.5,-1.800000
179,2008-12-09 11:30:00,-1.7,-0.5,-1.200000
180,2008-11-05 11:30:00,-0.2,-0.3,0.100000
181,2008-10-07 11:30:00,-0.6,-0.2,-0.400000
182,2008-09-09 11:30:00,-0.4,-0.1,-0.300000
183,2008-08-05 11:30:00,-0.2,0.1,-0.300000
184,2008-07-07 11:30:00,-0.8,-0.1,-0.700000
185,2008-06-10 12:30:00,0.2,0.0,0.200000
186,2008-05-07 11:30:00,-0.5,-0.1,-0.400000
187,2008-04-09 11:30:00,0.3,0.1,0.200000
188,2008-03-10 12:30:00,-0.1,0.1,-0.200000
189,2008-02-13 12:00:00,0.0,0.5,-0.500000
