,Date,Actual,Consensus,Difference
0,2023-11-15 09:00:00,0.4,0.2,0.200000
1,2023-10-18 09:00:00,0.4,0.9,-0.500000
2,2023-09-20 09:00:00,0.4,0.2,0.200000
3,2023-08-16 09:00:00,-0.4,0.0,-0.400000
4,2023-07-19 09:00:00,-1.3,-0.3,-1.000000
5,2023-06-21 09:00:00,-1.5,-0.5,-1.000000
6,2023-05-24 09:00:00,-0.3,0.1,-0.400000
7,2023-04-19 09:00:00,0.2,-0.3,0.500000
8,2023-03-22 10:00:00,-0.1,0.2,-0.300000
9,2023-02-15 09:00:00,-0.1,0.2,-0.300000
10,2023-01-25 09:00:00,-1.1,-0.6,-0.500000
11,2022-11-16 09:00:00,0.6,0.3,0.300000
12,2022-10-19 09:00:00,0.4,-0.4,0.800000
13,2022-09-14 09:00:00,-1.2,0.3,-1.500000
14,2022-08-17 09:00:00,0.1,1.4,-1.300000
15,2022-07-20 09:00:00,1.8,1.4,0.400000
16,2022-06-22 09:00:00,2.1,1.9,0.200000
17,2022-05-18 09:00:00,1.1,1.1,0.000000
18,2022-04-13 09:00:00,5.2,2.5,2.700000
19,2022-03-23 10:00:00,1.4,1.2,0.200000
20,2022-02-16 09:00:00,0.9,0.9,0.000000
21,2022-01-19 09:00:00,-0.2,0.7,-0.900000
22,2021-12-15 09:00:00,1.0,0.5,0.500000
23,2021-11-17 09:00:00,1.4,1.1,0.300000
24,2021-10-20 09:00:00,0.4,1.0,-0.600000
25,2021-09-15 09:00:00,0.4,0.2,0.200000
26,2021-08-18 09:00:00,0.8,0.5,0.300000
27,2021-07-14 09:00:00,-0.1,1.2,-1.300000
28,2021-06-16 09:00:00,1.1,1.1,0.000000
29,2021-05-19 09:00:00,1.2,1.1,0.100000
30,2021-04-21 09:00:00,1.3,0.6,0.700000
31,2021-03-24 10:00:00,0.6,0.7,-0.100000
32,2021-02-17 09:00:00,0.7,0.5,0.200000
33,2021-01-20 09:00:00,0.8,0.7,0.100000
34,2020-12-16 09:00:00,0.2,0.4,-0.200000
35,2020-11-18 09:00:00,0.2,0.1,0.100000
36,2020-10-21 09:00:00,1.1,-0.4,1.500000
37,2020-09-16 09:00:00,-0.4,0.3,-0.700000
38,2020-08-19 09:00:00,1.8,1.1,0.700000
39,2020-07-15 09:00:00,2.4,3.0,-0.600000
40,2020-06-17 09:00:00,0.3,4.5,-4.200000
41,2020-05-20 09:00:00,-5.1,-4.0,-1.100000
42,2020-04-22 09:00:00,-3.6,-3.9,0.300000
43,2020-03-25 10:00:00,-1.2,-2.0,0.800000
44,2020-02-19 11:30:00,0.9,-0.4,1.300000
45,2020-01-15 11:30:00,0.1,0.3,-0.200000
46,2019-12-18 11:30:00,-0.3,0.1,-0.400000
47,2019-11-13 11:30:00,-1.3,-1.2,-0.100000
48,2019-10-16 11:30:00,-0.8,0.2,-1.000000
49,2019-09-18 11:30:00,-0.1,-0.4,0.300000
50,2019-08-14 11:30:00,0.9,0.6,0.300000
51,2019-07-17 11:30:00,-1.4,-1.0,-0.400000
52,2019-06-19 11:30:00,0.0,0.2,-0.200000
53,2019-05-22 11:30:00,1.1,1.3,-0.200000
54,2019-04-17 11:30:00,-0.2,0.3,-0.500000
55,2019-03-20 12:30:00,0.6,0.6,0.000000
56,2019-02-13 11:30:00,-0.1,0.2,-0.300000
57,2019-01-16 11:30:00,-1.0,-1.7,0.700000
58,2018-12-19 11:30:00,-2.3,-2.9,0.600000
59,2018-11-14 11:30:00,0.8,0.6,0.200000
60,2018-10-17 11:30:00,1.3,0.9,0.400000
61,2018-09-19 11:30:00,0.5,0.4,0.100000
62,2018-08-15 11:30:00,0.5,0.1,0.400000
63,2018-07-18 11:30:00,0.2,0.4,-0.200000
64,2018-06-13 11:30:00,2.8,1.8,1.000000
65,2018-05-23 11:30:00,0.4,1.0,-0.600000
66,2018-04-18 11:30:00,-0.1,0.3,-0.400000
67,2018-03-20 12:30:00,-1.1,-0.9,-0.200000
68,2018-02-13 11:30:00,0.7,0.7,0.000000
69,2018-01-16 11:30:00,0.1,0.4,-0.300000
70,2017-12-12 11:30:00,1.8,1.5,0.300000
71,2017-11-14 11:30:00,1.0,1.1,-0.100000
72,2017-10-17 11:30:00,0.4,1.3,-0.900000
73,2017-09-12 11:30:00,1.6,1.3,0.300000
74,2017-08-15 11:30:00,0.0,0.5,-0.500000
75,2017-07-18 11:30:00,-0.4,-1.0,0.600000
76,2017-06-13 11:30:00,-1.3,-0.5,-0.800000
77,2017-05-16 11:30:00,0.1,0.1,0.000000
78,2017-04-11 11:30:00,0.4,-0.2,0.600000
79,2017-03-21 12:30:00,-0.4,0.1,-0.500000
80,2017-02-14 11:30:00,1.7,1.0,0.700000
81,2017-01-17 11:30:00,1.8,2.5,-0.700000
82,2016-12-13 11:30:00,-1.1,-1.9,0.800000
83,2016-11-15 11:30:00,4.6,2.1,2.500000
84,2016-10-18 11:30:00,0.0,0.4,-0.400000
85,2016-09-13 11:30:00,0.2,0.6,-0.400000
86,2016-08-16 11:30:00,3.3,1.0,2.300000
87,2016-07-19 11:30:00,1.8,1.3,0.500000
88,2016-06-14 11:30:00,2.6,0.9,1.700000
89,2016-05-17 11:30:00,0.9,1.1,-0.200000
90,2016-04-12 11:30:00,2.0,2.6,-0.600000
91,2016-03-22 12:30:00,0.1,0.5,-0.400000
92,2016-02-16 11:30:00,-0.7,-1.4,0.700000
93,2016-01-19 11:30:00,-0.8,-1.7,0.900000
94,2015-12-15 11:30:00,-1.6,-1.1,-0.500000
95,2015-11-17 11:30:00,0.2,0.2,0.000000
96,2015-10-13 11:30:00,0.6,0.4,0.200000
97,2015-09-15 11:30:00,-2.4,-2.4,0.000000
98,2015-08-18 11:30:00,-0.9,-1.9,1.000000
99,2015-07-14 11:30:00,-1.3,-0.7,-0.600000
100,2015-06-16 11:30:00,-0.9,0.4,-1.300000
101,2015-05-19 11:30:00,0.4,0.8,-0.400000
102,2015-04-14 11:30:00,0.3,-0.5,0.800000
103,2015-03-24 12:30:00,0.2,1.6,-1.400000
104,2015-02-17 11:30:00,-3.7,-2.5,-1.200000
105,2015-01-13 11:30:00,-2.4,-0.3,-2.100000
106,2014-12-16 11:30:00,-1.0,-1.4,0.400000
107,2014-11-18 11:30:00,-1.5,-1.4,-0.100000
108,2014-10-14 11:30:00,-0.6,-0.4,-0.200000
109,2014-09-16 11:30:00,-0.6,-0.4,-0.200000
110,2014-08-19 11:30:00,-1.6,-1.1,-0.500000
111,2014-07-15 11:30:00,-0.8,0.1,-0.900000
112,2014-06-17 11:30:00,-0.9,0.2,-1.100000
113,2014-05-20 11:30:00,-1.1,-0.2,-0.900000
114,2014-04-15 11:30:00,-0.6,-0.2,-0.400000
115,2014-03-25 12:30:00,-0.4,0.3,-0.700000
116,2014-02-18 11:30:00,-0.9,-0.5,-0.400000
117,2014-01-14 11:30:00,0.1,-0.2,0.300000
118,2013-12-17 11:30:00,-0.7,-0.5,-0.200000
119,2013-11-12 11:30:00,-0.6,-0.7,0.100000
120,2013-10-15 11:30:00,-1.2,-0.4,-0.800000
121,2013-09-17 11:30:00,-0.2,0.2,-0.400000
122,2013-08-13 11:30:00,1.1,1.4,-0.300000
123,2013-07-16 11:30:00,0.2,-0.2,0.400000
124,2013-06-18 11:30:00,-0.3,0.1,-0.400000
125,2013-05-21 11:30:00,-2.3,-1.1,-1.200000
126,2013-04-16 11:30:00,-0.1,-0.2,0.100000
127,2013-03-19 12:30:00,3.2,1.9,1.300000
128,2013-02-12 11:30:00,1.3,0.9,0.400000
129,2013-01-15 11:30:00,-0.2,-0.1,-0.100000
130,2012-12-18 11:30:00,0.1,-0.1,0.200000
131,2012-11-13 11:30:00,0.4,-0.1,0.500000
132,2012-10-16 11:30:00,-0.2,-0.1,-0.100000
133,2012-09-07 11:30:00,2.0,1.7,0.300000
134,2012-08-10 11:30:00,1.3,1.5,-0.200000
135,2012-07-06 11:30:00,-2.2,-2.1,-0.100000
136,2012-06-08 11:30:00,-2.5,-1.3,-1.200000
137,2012-05-11 11:30:00,-1.5,-1.0,-0.500000
138,2012-04-13 11:30:00,1.9,1.2,0.700000
139,2012-03-09 11:30:00,2.1,0.7,1.400000
140,2012-02-10 11:30:00,0.5,0.4,0.100000
141,2012-01-13 11:30:00,-0.6,0.1,-0.700000
142,2011-12-09 11:30:00,0.1,-0.1,0.200000
143,2011-11-11 11:30:00,-0.8,-0.3,-0.500000
144,2011-10-07 11:30:00,1.7,1.2,0.500000
145,2011-09-09 11:30:00,-1.9,-1.5,-0.400000
146,2011-08-05 11:30:00,0.6,0.7,-0.100000
147,2011-07-08 11:30:00,0.4,-0.1,0.500000
148,2011-06-10 11:30:00,-2.0,-1.0,-1.000000
149,2011-05-06 11:30:00,2.6,1.6,1.000000
150,2011-04-08 11:30:00,3.7,2.7,1.000000
151,2011-03-11 11:30:00,1.1,1.5,-0.400000
152,2011-02-11 11:30:00,1.7,1.3,0.400000
153,2011-01-14 11:30:00,3.4,1.7,1.700000
154,2010-12-13 11:30:00,0.9,0.5,0.400000
155,2010-11-05 12:30:00,2.1,0.9,1.200000
156,2010-10-08 11:30:00,0.7,0.3,0.400000
157,2010-09-10 11:30:00,-0.5,0.2,-0.700000
158,2010-08-06 11:30:00,-1.0,-0.4,-0.600000
159,2010-07-09 11:30:00,-0.2,0.2,-0.400000
160,2010-06-11 11:30:00,-0.6,-0.1,-0.500000
161,2010-05-07 11:30:00,0.6,1.0,-0.400000
162,2010-04-09 11:30:00,3.6,1.2,2.400000
163,2010-03-05 11:30:00,0.1,0.1,0.000000
164,2010-02-05 11:30:00,2.0,0.9,1.100000
165,2010-01-08 11:30:00,0.1,-0.2,0.300000
166,2009-12-11 11:30:00,0.1,0.6,-0.500000
167,2009-11-06 11:30:00,2.6,1.6,1.000000
168,2009-10-09 11:30:00,0.5,-0.9,1.400000
169,2009-09-11 11:30:00,2.2,0.6,1.600000
170,2009-08-07 11:30:00,-1.4,-0.8,-0.600000
171,2009-07-10 11:30:00,1.5,0.8,0.700000
172,2009-06-05 11:30:00,0.4,0.8,-0.400000
173,2009-05-08 11:30:00,-1.0,0.7,-1.700000
174,2009-04-09 11:30:00,1.0,0.8,0.200000
175,2009-03-06 11:30:00,0.6,0.1,0.500000
176,2009-02-06 11:30:00,1.5,0.5,1.000000
177,2009-01-09 11:30:00,-2.0,-2.0,0.000000
178,2008-12-08 11:30:00,-3.3,-2.9,-0.400000
179,2008-11-10 11:30:00,-5.6,-2.6,-3.000000
180,2008-10-13 11:30:00,-1.2,-1.5,0.300000
181,2008-09-08 11:30:00,-2.0,-1.2,-0.800000
182,2008-08-11 11:30:00,-0.6,1.0,-1.600000
183,2008-07-14 11:30:00,2.1,2.5,-0.400000
184,2008-06-09 12:30:00,3.8,2.6,1.200000
185,2008-05-12 12:30:00,2.4,1.8,0.600000
186,2008-04-14 11:30:00,1.8,1.8,0.000000
187,2008-03-10 12:30:00,1.7,1.5,0.200000
