,Date,Actual,Consensus,Difference
0,2023-11-03 12:30:00,48.7,48.6,0.100000
1,2023-10-24 11:30:00,48.6,48.7,-0.100000
2,2023-10-04 11:30:00,48.5,46.8,1.700000
3,2023-09-22 11:30:00,46.8,48.7,-1.900000
4,2023-09-05 11:30:00,48.6,47.9,0.700000
5,2023-08-23 11:30:00,47.9,50.3,-2.400000
6,2023-08-03 11:30:00,50.8,50.7,0.100000
7,2023-07-24 11:30:00,50.7,52.4,-1.700000
8,2023-07-05 11:30:00,52.8,52.8,0.000000
9,2023-06-23 11:30:00,52.8,53.6,-0.800000
10,2023-06-05 11:30:00,54.0,53.9,0.100000
11,2023-05-23 11:30:00,53.9,54.6,-0.700000
12,2023-05-04 11:30:00,54.9,53.9,1.000000
13,2023-04-21 11:30:00,53.9,52.6,1.300000
14,2023-04-05 11:30:00,52.2,52.2,0.000000
15,2023-03-24 12:30:00,52.2,52.7,-0.500000
16,2023-03-03 11:30:00,53.1,53.0,0.100000
17,2023-02-21 11:30:00,53.0,49.0,4.000000
18,2023-02-03 11:30:00,48.5,47.8,0.700000
19,2023-01-24 11:30:00,47.8,49.3,-1.500000
20,2023-01-05 11:30:00,49.0,49.0,0.000000
21,2022-12-05 11:30:00,48.2,48.3,-0.100000
22,2022-11-23 11:30:00,48.3,47.2,1.100000
23,2022-11-03 12:30:00,48.2,47.2,1.000000
24,2022-10-24 11:30:00,47.2,48.1,-0.900000
25,2022-10-05 11:30:00,49.1,48.4,0.700000
26,2022-09-23 11:30:00,48.4,49.0,-0.600000
27,2022-09-05 11:30:00,49.6,50.9,-1.300000
28,2022-08-23 11:30:00,50.9,51.3,-0.400000
29,2022-08-03 11:30:00,52.1,52.8,-0.700000
30,2022-07-22 11:30:00,52.8,52.5,0.300000
31,2022-07-05 11:30:00,53.7,53.1,0.600000
32,2022-06-23 11:30:00,53.1,52.6,0.500000
33,2022-06-07 11:30:00,53.1,51.8,1.300000
34,2022-05-24 11:30:00,51.8,56.5,-4.700000
35,2022-05-05 11:30:00,58.2,57.6,0.600000
36,2022-04-22 11:30:00,57.6,59.7,-2.100000
37,2022-04-05 11:30:00,60.9,59.7,1.200000
38,2022-03-24 12:30:00,59.7,58.7,1.000000
39,2022-03-03 11:30:00,59.9,60.2,-0.300000
40,2022-02-21 11:30:00,60.2,55.0,5.200000
41,2022-02-03 11:30:00,54.2,53.4,0.800000
42,2022-01-24 11:30:00,53.4,55.0,-1.600000
43,2022-01-06 11:30:00,53.6,53.2,0.400000
44,2021-12-03 11:30:00,57.6,57.7,-0.100000
45,2021-11-23 11:30:00,57.7,54.1,3.600000
46,2021-11-03 12:30:00,57.8,56.8,1.000000
47,2021-10-22 11:30:00,56.8,54.0,2.800000
48,2021-10-05 11:30:00,54.9,54.1,0.800000
49,2021-09-03 11:30:00,54.8,55.3,-0.500000
50,2021-08-04 11:30:00,59.2,57.7,1.500000
51,2021-07-23 11:30:00,57.7,61.9,-4.200000
52,2021-07-05 11:30:00,62.2,61.7,0.500000
53,2021-06-23 11:30:00,61.7,62.8,-1.100000
54,2021-06-03 11:30:00,62.9,62.0,0.900000
55,2021-05-21 11:30:00,62.0,60.0,2.000000
56,2021-05-06 11:30:00,60.7,60.0,0.700000
57,2021-04-07 11:30:00,56.4,56.6,-0.200000
58,2021-03-24 12:30:00,56.6,51.1,5.500000
59,2021-03-03 11:30:00,49.6,49.8,-0.200000
60,2021-02-19 11:30:00,49.8,42.2,7.600000
61,2021-02-03 11:30:00,41.2,40.6,0.600000
62,2021-01-22 11:30:00,40.6,50.7,-10.100000
63,2021-01-06 11:30:00,50.4,50.7,-0.300000
64,2020-12-16 11:30:00,50.7,51.3,-0.600000
65,2020-12-03 11:30:00,49.0,47.4,1.600000
66,2020-11-23 11:30:00,47.4,42.5,4.900000
67,2020-11-04 11:30:00,52.1,52.9,-0.800000
68,2020-10-23 11:30:00,52.9,55.6,-2.700000
69,2020-10-05 11:30:00,56.5,55.7,0.800000
70,2020-09-23 11:30:00,55.7,56.3,-0.600000
71,2020-09-03 11:30:00,59.1,60.3,-1.200000
72,2020-08-21 11:30:00,60.3,57.1,3.200000
73,2020-08-05 11:30:00,57.0,57.1,-0.100000
74,2020-07-24 11:30:00,57.1,51.1,6.000000
75,2020-07-03 11:30:00,47.7,47.6,0.100000
76,2020-06-23 11:30:00,47.6,41.0,6.600000
77,2020-06-03 11:30:00,30.0,28.9,1.100000
78,2020-05-21 11:30:00,28.9,25.0,3.900000
79,2020-05-05 11:30:00,13.8,12.9,0.900000
80,2020-04-23 11:30:00,12.9,31.4,-18.500000
81,2020-04-03 11:30:00,36.0,36.2,-0.200000
82,2020-03-24 12:30:00,37.1,45.1,-8.000000
83,2020-03-04 11:30:00,53.0,53.3,-0.300000
84,2020-02-21 11:30:00,53.3,52.8,0.500000
85,2020-02-05 11:30:00,53.3,52.4,0.900000
86,2020-01-24 11:30:00,52.4,50.5,1.900000
87,2020-01-06 11:30:00,49.3,48.6,0.700000
88,2019-12-16 11:30:00,48.5,49.6,-1.100000
89,2019-12-04 11:30:00,49.3,48.5,0.800000
90,2019-08-05 11:30:00,50.7,49.8,0.900000
