,Date,Actual,Consensus,Difference
0,2023-11-06 11:30:00,45.6,46.0,-0.400000
1,2023-10-05 11:30:00,45.0,49.9,-4.900000
2,2023-09-06 11:30:00,50.8,50.5,0.300000
3,2023-08-04 11:30:00,51.7,48.0,3.700000
4,2023-07-06 11:30:00,48.9,51.0,-2.100000
5,2023-06-06 11:30:00,51.6,51.1,0.500000
6,2023-05-05 11:30:00,51.1,51.0,0.100000
7,2023-04-06 11:30:00,50.7,53.5,-2.800000
8,2023-03-06 11:30:00,54.6,49.1,5.500000
9,2023-02-06 11:30:00,48.4,49.6,-1.200000
10,2023-01-06 11:30:00,48.8,49.6,-0.800000
11,2022-12-06 11:30:00,50.4,52.0,-1.600000
12,2022-11-04 12:30:00,53.2,50.5,2.700000
13,2022-10-06 11:30:00,52.3,48.0,4.300000
14,2022-09-06 11:30:00,49.2,48.0,1.200000
15,2022-08-04 11:30:00,48.9,52.0,-3.100000
16,2022-07-06 11:30:00,52.6,55.0,-2.400000
17,2022-06-08 11:30:00,56.4,56.6,-0.200000
18,2022-05-06 11:30:00,58.2,58.0,0.200000
19,2022-04-06 11:30:00,59.1,57.8,1.300000
20,2022-03-04 11:30:00,59.1,54.3,4.800000
21,2022-02-04 11:30:00,56.3,54.3,2.000000
22,2022-01-07 11:30:00,54.3,54.0,0.300000
23,2021-12-06 11:30:00,55.5,52.0,3.500000
24,2021-11-04 12:30:00,54.6,52.0,2.600000
25,2021-10-06 11:30:00,52.6,54.0,-1.400000
26,2021-09-06 11:30:00,55.2,56.9,-1.700000
27,2021-08-05 11:30:00,58.7,64.0,-5.300000
28,2021-07-06 11:30:00,66.3,63.8,2.500000
29,2021-06-04 11:30:00,64.2,62.3,1.900000
30,2021-05-07 11:30:00,61.6,62.3,-0.700000
31,2021-04-08 11:30:00,61.7,54.6,7.100000
32,2021-03-04 11:30:00,53.3,51.0,2.300000
33,2021-02-04 11:30:00,49.2,52.9,-3.700000
34,2021-01-07 11:30:00,54.6,55.0,-0.400000
35,2020-12-04 11:30:00,54.7,52.0,2.700000
36,2020-11-05 11:30:00,53.1,55.0,-1.900000
37,2020-10-06 11:30:00,56.8,54.0,2.800000
38,2020-09-04 11:30:00,54.6,58.5,-3.900000
39,2020-08-06 11:30:00,58.1,57.0,1.100000
40,2020-07-06 11:30:00,55.3,47.0,8.300000
41,2020-06-04 11:30:00,28.9,29.7,-0.800000
42,2020-05-06 11:30:00,8.2,22.0,-13.800000
43,2020-04-06 11:30:00,39.3,44.0,-4.700000
44,2020-03-03 11:30:00,52.6,48.8,3.800000
45,2020-02-04 11:30:00,48.4,46.6,1.800000
46,2020-01-03 11:30:00,44.4,45.9,-1.500000
47,2019-12-03 11:30:00,45.3,44.5,0.800000
48,2019-11-04 11:30:00,44.2,44.0,0.200000
49,2019-10-02 11:30:00,43.3,45.0,-1.700000
50,2019-09-03 11:30:00,45.0,45.9,-0.900000
51,2019-08-02 11:30:00,45.3,46.0,-0.700000
52,2019-07-02 11:30:00,43.1,49.3,-6.200000
53,2019-06-04 11:30:00,48.6,50.5,-1.900000
54,2019-05-02 11:30:00,50.5,50.4,0.100000
55,2019-04-02 11:30:00,49.7,49.8,-0.100000
56,2019-03-04 11:30:00,49.5,50.5,-1.000000
57,2019-02-04 11:30:00,50.6,52.6,-2.000000
58,2019-01-03 11:30:00,52.8,52.9,-0.100000
59,2018-12-04 11:30:00,53.4,52.5,0.900000
60,2018-11-02 12:30:00,53.2,52.0,1.200000
61,2018-10-02 11:30:00,52.1,52.8,-0.700000
62,2018-09-04 11:30:00,52.9,54.9,-2.000000
63,2018-08-02 11:30:00,55.8,52.8,3.000000
64,2018-07-03 11:30:00,53.1,52.5,0.600000
65,2018-06-04 11:30:00,52.5,52.0,0.500000
66,2018-05-02 11:30:00,52.5,50.5,2.000000
67,2018-04-04 11:30:00,47.0,50.9,-3.900000
68,2018-03-02 11:30:00,51.4,50.5,0.900000
69,2018-02-02 11:30:00,50.2,52.0,-1.800000
70,2018-01-03 11:30:00,52.2,52.8,-0.600000
71,2017-12-04 11:30:00,53.1,51.0,2.100000
72,2017-11-02 12:30:00,50.8,48.1,2.700000
73,2017-10-03 11:30:00,48.1,51.0,-2.900000
74,2017-09-04 11:30:00,51.1,52.0,-0.900000
75,2017-08-02 11:30:00,51.9,54.5,-2.600000
76,2017-07-04 11:30:00,54.8,55.0,-0.200000
77,2017-06-02 11:30:00,56.0,52.7,3.300000
78,2017-05-03 11:30:00,53.1,52.0,1.100000
79,2017-04-04 11:30:00,52.2,52.4,-0.200000
80,2017-03-02 11:30:00,52.5,52.2,0.300000
81,2017-02-02 11:30:00,52.2,53.8,-1.600000
82,2017-01-04 11:30:00,54.2,52.8,1.400000
83,2016-12-02 11:30:00,52.8,52.2,0.600000
84,2016-11-02 12:30:00,52.6,51.8,0.800000
85,2016-10-04 11:30:00,52.3,49.0,3.300000
86,2016-09-02 11:30:00,49.2,46.1,3.100000
87,2016-08-02 11:30:00,45.9,43.8,2.100000
88,2016-07-04 11:30:00,46.0,50.5,-4.500000
89,2016-06-02 11:30:00,51.2,52.0,-0.800000
90,2016-05-04 11:30:00,52.0,54.0,-2.000000
91,2016-04-04 11:30:00,54.2,54.0,0.200000
92,2016-03-02 11:30:00,54.2,55.5,-1.300000
93,2016-02-02 11:30:00,55.0,57.5,-2.500000
94,2016-01-05 11:30:00,57.8,56.0,1.800000
95,2015-12-02 11:30:00,55.3,58.2,-2.900000
96,2015-11-03 11:30:00,58.8,58.8,0.000000
97,2015-10-02 11:30:00,59.9,57.5,2.400000
