,Date,Actual,Consensus,Difference
0,2023-11-03 12:30:00,49.5,49.2,0.300000
1,2023-10-24 11:30:00,49.2,49.3,-0.100000
2,2023-10-04 11:30:00,49.3,47.2,2.100000
3,2023-09-22 11:30:00,47.2,49.2,-2.000000
4,2023-09-05 11:30:00,49.5,48.7,0.800000
5,2023-08-23 11:30:00,48.7,51.0,-2.300000
6,2023-08-03 11:30:00,51.5,51.5,0.000000
7,2023-07-24 11:30:00,51.5,53.0,-1.500000
8,2023-07-05 11:30:00,53.7,53.7,0.000000
9,2023-06-23 11:30:00,53.7,54.8,-1.100000
10,2023-06-05 11:30:00,55.2,55.1,0.100000
11,2023-05-23 11:30:00,55.1,55.5,-0.400000
12,2023-05-04 11:30:00,55.9,54.9,1.000000
13,2023-04-21 11:30:00,54.9,53.0,1.900000
14,2023-04-05 11:30:00,52.9,52.8,0.100000
15,2023-03-24 12:30:00,52.8,53.0,-0.200000
16,2023-03-03 11:30:00,53.5,53.3,0.200000
17,2023-02-21 11:30:00,53.3,49.2,4.100000
18,2023-02-03 11:30:00,48.7,48.0,0.700000
19,2023-01-24 11:30:00,48.0,49.6,-1.600000
20,2023-01-05 11:30:00,49.9,50.0,-0.100000
21,2022-12-16 11:30:00,50.0,49.2,0.800000
22,2022-12-05 11:30:00,48.8,48.8,0.000000
23,2022-11-23 11:30:00,48.8,48.0,0.800000
24,2022-11-03 12:30:00,48.8,47.5,1.300000
25,2022-10-24 11:30:00,47.5,49.6,-2.100000
26,2022-10-05 11:30:00,50.0,49.2,0.800000
27,2022-09-23 11:30:00,49.2,50.0,-0.800000
28,2022-09-05 11:30:00,50.9,52.5,-1.600000
29,2022-08-23 11:30:00,52.5,52.0,0.500000
30,2022-08-03 11:30:00,52.6,53.3,-0.700000
31,2022-07-22 11:30:00,53.3,53.0,0.300000
32,2022-07-05 11:30:00,54.3,53.4,0.900000
33,2022-06-23 11:30:00,53.4,53.0,0.400000
34,2022-06-07 11:30:00,53.4,51.8,1.600000
35,2022-05-24 11:30:00,51.8,56.9,-5.100000
36,2022-05-05 11:30:00,58.9,58.3,0.600000
37,2022-04-22 11:30:00,58.3,60.0,-1.700000
38,2022-04-05 11:30:00,62.6,61.0,1.600000
39,2022-03-24 12:30:00,61.0,58.0,3.000000
40,2022-03-03 11:30:00,60.5,60.8,-0.300000
41,2022-02-21 11:30:00,60.8,55.5,5.300000
42,2022-02-03 11:30:00,54.1,53.3,0.800000
43,2022-01-24 11:30:00,53.3,53.9,-0.600000
44,2022-01-06 11:30:00,53.6,53.2,0.400000
45,2021-12-03 11:30:00,58.5,58.6,-0.100000
46,2021-11-23 11:30:00,58.6,54.6,4.000000
47,2021-11-03 12:30:00,59.1,58.0,1.100000
48,2021-10-22 11:30:00,58.0,54.5,3.500000
49,2021-10-05 11:30:00,55.4,54.6,0.800000
50,2021-09-03 11:30:00,55.0,55.5,-0.500000
51,2021-08-04 11:30:00,59.6,57.8,1.800000
52,2021-07-23 11:30:00,57.8,62.0,-4.200000
53,2021-07-05 11:30:00,62.4,61.7,0.700000
54,2021-06-23 11:30:00,61.7,63.0,-1.300000
55,2021-06-03 11:30:00,62.9,61.8,1.100000
56,2021-05-21 11:30:00,61.8,60.1,1.700000
57,2021-05-06 11:30:00,61.0,60.1,0.900000
58,2021-04-07 11:30:00,56.3,56.8,-0.500000
59,2021-03-24 12:30:00,56.8,51.0,5.800000
60,2021-03-03 11:30:00,49.5,49.7,-0.200000
61,2021-02-19 11:30:00,49.7,41.0,8.700000
62,2021-02-03 11:30:00,39.5,38.8,0.700000
63,2021-01-22 11:30:00,38.8,49.9,-11.100000
64,2021-01-06 11:30:00,49.4,49.9,-0.500000
65,2020-12-16 11:30:00,49.9,50.5,-0.600000
66,2020-12-03 11:30:00,47.6,45.8,1.800000
67,2020-11-23 11:30:00,45.8,52.3,-6.500000
68,2020-11-04 11:30:00,51.4,52.3,-0.900000
69,2020-10-23 11:30:00,52.3,55.0,-2.700000
70,2020-10-05 11:30:00,56.1,55.1,1.000000
71,2020-09-23 11:30:00,55.1,56.0,-0.900000
72,2020-09-03 11:30:00,58.8,60.1,-1.300000
73,2020-08-21 11:30:00,60.1,57.0,3.100000
74,2020-08-05 11:30:00,56.5,56.6,-0.100000
75,2020-07-24 11:30:00,56.6,51.5,5.100000
76,2020-07-03 11:30:00,47.1,47.0,0.100000
77,2020-06-23 11:30:00,47.0,40.0,7.000000
78,2020-06-03 11:30:00,29.0,28.0,1.000000
79,2020-05-21 11:30:00,27.8,25.0,2.800000
80,2020-05-05 11:30:00,13.4,12.2,1.200000
81,2020-04-23 11:30:00,12.3,29.0,-16.700000
82,2020-04-03 11:30:00,34.5,34.8,-0.300000
83,2020-03-24 12:30:00,35.7,45.0,-9.300000
84,2020-03-04 11:30:00,53.2,53.3,-0.100000
85,2020-02-21 11:30:00,53.3,53.4,-0.100000
86,2020-02-05 11:30:00,53.9,52.9,1.000000
87,2020-01-24 11:30:00,52.9,49.4,3.500000
88,2020-01-06 11:30:00,50.0,49.1,0.900000
89,2019-12-16 11:30:00,49.0,49.6,-0.600000
90,2019-12-04 11:30:00,49.3,48.6,0.700000
91,2019-11-22 11:30:00,48.6,50.1,-1.500000
92,2019-11-05 11:30:00,50.0,49.7,0.300000
93,2019-10-03 11:30:00,49.5,50.3,-0.800000
94,2019-09-04 11:30:00,50.6,51.0,-0.400000
95,2019-08-05 11:30:00,51.4,50.4,1.000000
96,2019-07-03 11:30:00,50.2,51.0,-0.800000
97,2019-06-05 11:30:00,51.0,50.6,0.400000
98,2019-05-03 11:30:00,50.4,50.4,0.000000
99,2019-04-03 11:30:00,48.9,51.0,-2.100000
100,2019-03-05 11:30:00,51.3,49.9,1.400000
101,2019-02-05 11:30:00,50.1,51.1,-1.000000
102,2019-01-04 11:30:00,51.2,50.7,0.500000
103,2018-12-05 11:30:00,50.4,52.5,-2.100000
104,2018-11-05 11:30:00,52.2,53.3,-1.100000
105,2018-10-03 11:30:00,53.9,54.0,-0.100000
106,2018-09-05 11:30:00,54.3,53.9,0.400000
107,2018-08-03 11:30:00,53.5,54.7,-1.200000
108,2018-07-04 11:30:00,55.1,53.9,1.200000
109,2018-06-05 11:30:00,54.0,52.9,1.100000
110,2018-05-03 11:30:00,52.8,53.5,-0.700000
111,2018-04-05 11:30:00,51.7,53.9,-2.200000
112,2018-03-05 11:30:00,54.5,53.3,1.200000
113,2018-02-05 11:30:00,53.0,54.1,-1.100000
114,2018-01-04 11:30:00,54.2,54.1,0.100000
115,2017-12-05 11:30:00,53.8,55.0,-1.200000
116,2017-11-03 12:30:00,55.6,53.3,2.300000
117,2017-10-04 11:30:00,53.6,53.2,0.400000
118,2017-09-05 11:30:00,53.2,53.5,-0.300000
119,2017-08-03 11:30:00,53.8,53.6,0.200000
120,2017-07-05 11:30:00,53.4,53.5,-0.100000
121,2017-06-05 11:30:00,53.8,55.0,-1.200000
122,2017-05-04 11:30:00,55.8,54.5,1.300000
123,2017-04-05 11:30:00,55.0,53.5,1.500000
