,Date,Actual,Consensus,Difference
0,2023-11-17 09:00:00,-0.3,0.3,-0.600000
1,2023-10-20 09:00:00,-0.9,-0.2,-0.700000
2,2023-09-22 09:00:00,0.4,0.5,-0.100000
3,2023-08-18 09:00:00,-1.2,-0.5,-0.700000
4,2023-07-21 09:00:00,0.7,0.2,0.500000
5,2023-06-23 09:00:00,0.3,-0.2,0.500000
6,2023-05-26 09:00:00,0.5,0.4,0.100000
7,2023-04-21 09:00:00,-0.9,-0.5,-0.400000
8,2023-03-24 10:00:00,1.2,0.2,1.000000
9,2023-02-17 09:00:00,0.5,-0.3,0.800000
10,2023-01-20 09:00:00,-1.0,0.5,-1.500000
11,2022-12-16 09:00:00,-0.4,0.3,-0.700000
12,2022-11-18 09:00:00,0.6,0.3,0.300000
13,2022-10-21 09:00:00,-1.4,-0.5,-0.900000
14,2022-09-16 09:00:00,-1.6,-0.5,-1.100000
15,2022-08-19 09:00:00,0.3,-0.2,0.500000
16,2022-07-22 09:00:00,-0.1,-0.3,0.200000
17,2022-06-24 09:00:00,-0.5,-0.7,0.200000
18,2022-05-20 09:00:00,1.4,-0.2,1.600000
19,2022-04-22 09:00:00,-1.4,-0.3,-1.100000
20,2022-03-25 10:00:00,-0.3,0.6,-0.900000
21,2022-02-18 09:00:00,1.9,1.0,0.900000
22,2022-01-21 09:00:00,-3.7,-0.6,-3.100000
23,2021-12-17 09:00:00,1.4,0.8,0.600000
24,2021-11-19 09:00:00,0.8,0.5,0.300000
25,2021-10-22 09:00:00,-0.2,0.5,-0.700000
26,2021-09-17 09:00:00,-0.9,0.5,-1.400000
27,2021-08-20 09:00:00,-2.5,0.4,-2.900000
28,2021-07-23 09:00:00,0.5,0.4,0.100000
29,2021-06-18 09:00:00,-1.4,1.6,-3.000000
30,2021-05-21 09:00:00,9.2,4.5,4.700000
31,2021-04-23 09:00:00,5.4,1.5,3.900000
32,2021-03-26 10:00:00,2.1,2.1,0.000000
