,Date,Actual,Consensus,Difference
0,2023-11-17 09:00:00,-2.4,-1.5,-0.900000
1,2023-10-20 09:00:00,-1.2,-0.2,-1.000000
2,2023-09-22 09:00:00,-1.4,-1.3,-0.100000
3,2023-08-18 09:00:00,-3.4,-2.2,-1.200000
4,2023-07-21 09:00:00,-0.9,-1.6,0.700000
5,2023-06-23 09:00:00,-1.7,-2.1,0.400000
6,2023-05-26 09:00:00,-2.6,-2.8,0.200000
7,2023-04-21 09:00:00,-3.2,-3.1,-0.100000
8,2023-03-24 10:00:00,-3.3,-4.7,1.400000
9,2023-02-17 09:00:00,-5.3,-5.3,0.000000
10,2023-01-20 09:00:00,-6.1,-4.4,-1.700000
11,2022-12-16 09:00:00,-5.9,-5.8,-0.100000
12,2022-11-18 09:00:00,-6.7,-6.9,0.200000
13,2022-10-21 09:00:00,-6.2,-4.1,-2.100000
14,2022-09-16 09:00:00,-5.0,-3.4,-1.600000
15,2022-08-19 09:00:00,-3.0,-3.1,0.100000
16,2022-07-22 09:00:00,-5.9,-6.3,0.400000
17,2022-06-24 09:00:00,-5.7,-5.1,-0.600000
18,2022-05-20 09:00:00,-6.1,-8.4,2.300000
19,2022-04-22 09:00:00,-0.6,0.7,-1.300000
20,2022-03-25 10:00:00,4.6,5.6,-1.000000
21,2022-02-18 09:00:00,7.2,7.9,-0.700000
22,2022-01-21 09:00:00,-3.0,1.1,-4.100000
23,2021-12-17 09:00:00,2.7,2.4,0.300000
24,2021-11-19 09:00:00,-1.9,-3.1,1.200000
25,2021-10-22 09:00:00,-2.6,-1.7,-0.900000
26,2021-09-17 09:00:00,-0.9,2.5,-3.400000
27,2021-08-20 09:00:00,1.8,5.7,-3.900000
28,2021-07-23 09:00:00,7.4,8.2,-0.800000
29,2021-06-18 09:00:00,21.7,27.3,-5.600000
30,2021-05-21 09:00:00,37.7,31.7,6.000000
31,2021-04-23 09:00:00,7.9,4.5,3.400000
32,2021-03-26 10:00:00,-1.1,-1.5,0.400000
33,2021-02-19 09:00:00,-3.8,2.2,-6.000000
34,2021-01-22 09:00:00,6.4,7.0,-0.600000
35,2020-12-18 09:00:00,5.6,4.1,1.500000
36,2020-11-20 09:00:00,7.8,5.9,1.900000
37,2020-10-23 09:00:00,6.4,5.0,1.400000
38,2020-09-18 09:00:00,4.3,4.2,0.100000
39,2020-08-21 09:00:00,3.1,1.5,1.600000
40,2020-07-24 09:00:00,1.7,-3.7,5.400000
41,2020-06-19 09:00:00,-9.8,-14.4,4.600000
42,2020-05-22 09:00:00,-18.4,-18.2,-0.200000
43,2020-04-24 09:00:00,-4.1,-4.7,0.600000
44,2020-03-26 10:00:00,0.5,1.1,-0.600000
45,2020-02-20 11:30:00,1.2,0.4,0.800000
46,2020-01-17 11:30:00,0.7,2.9,-2.200000
