,Date,Actual,Consensus,Difference
0,2023-11-07 02:01:00,2.6,2.4,0.200000
1,2023-10-10 02:01:00,2.8,3.1,-0.300000
2,2023-09-05 02:01:00,4.3,2.2,2.100000
3,2023-08-08 02:01:00,1.8,3.0,-1.200000
4,2023-07-11 02:01:00,4.2,4.6,-0.400000
5,2023-06-06 02:01:00,3.7,5.2,-1.500000
6,2023-05-09 02:01:00,5.2,4.7,0.500000
7,2023-04-11 02:01:00,4.9,4.2,0.700000
8,2023-03-07 02:01:00,4.9,4.8,0.100000
9,2023-02-07 02:01:00,3.9,3.9,0.000000
10,2023-01-10 02:01:00,6.5,2.4,4.100000
11,2022-11-08 02:01:00,1.2,1.5,-0.300000
12,2022-10-11 02:01:00,1.8,-0.4,2.200000
13,2022-08-09 02:01:00,1.6,-1.5,3.100000
14,2022-07-12 02:01:00,-1.3,-1.2,-0.100000
15,2022-06-07 02:01:00,-1.5,0.2,-1.700000
16,2022-05-10 02:01:00,-1.7,3.5,-5.200000
17,2022-03-08 02:01:00,2.7,4.7,-2.000000
18,2022-01-11 02:01:00,0.6,0.3,0.300000
19,2019-12-03 02:01:00,-4.9,-0.4,-4.500000
20,2019-08-06 02:01:00,0.1,0.7,-0.600000
21,2019-07-09 02:01:00,-1.6,-1.5,-0.100000
22,2019-06-04 02:01:00,-3.0,0.9,-3.900000
23,2019-05-08 02:01:00,3.7,2.4,1.300000
24,2019-03-05 02:01:00,-0.1,-0.2,0.100000
25,2019-02-05 02:01:00,1.8,-0.2,2.000000
26,2019-01-10 02:01:00,-0.7,-0.3,-0.400000
27,2018-11-06 02:01:00,0.1,0.6,-0.500000
28,2018-09-04 02:01:00,0.2,1.2,-1.000000
29,2018-08-07 02:01:00,0.5,1.5,-1.000000
30,2018-06-05 02:01:00,2.8,-0.8,3.600000
31,2018-05-09 02:01:00,-4.2,-0.8,-3.400000
32,2018-04-10 02:01:00,1.4,-0.1,1.500000
33,2018-03-06 02:01:00,0.6,0.5,0.100000
34,2018-02-06 02:01:00,0.6,0.7,-0.100000
35,2018-01-09 02:01:00,0.6,0.3,0.300000
36,2017-11-07 02:01:00,-1.0,0.9,-1.900000
37,2017-08-08 02:01:00,0.9,0.6,0.300000
38,2017-07-11 02:01:00,1.2,0.5,0.700000
39,2017-06-06 02:01:00,-0.4,-0.5,0.100000
40,2017-05-09 02:01:00,5.6,0.5,5.100000
41,2017-04-11 02:01:00,-1.0,-0.5,-0.500000
42,2017-03-07 02:01:00,-0.4,0.2,-0.600000
43,2017-02-07 02:01:00,-0.6,0.8,-1.400000
44,2016-11-08 02:01:00,1.7,0.6,1.100000
45,2016-10-11 02:01:00,0.4,-0.5,0.900000
46,2016-08-09 02:01:00,1.1,-0.7,1.800000
47,2016-07-12 02:01:00,-0.5,-0.5,0.000000
48,2016-03-08 02:01:00,0.1,1.0,-0.900000
49,2016-02-09 02:01:00,2.6,0.4,2.200000
50,2016-01-12 02:01:00,0.1,0.5,-0.400000
51,2015-12-08 02:01:00,-0.4,0.4,-0.800000
52,2015-11-10 02:01:00,-0.2,0.7,-0.900000
53,2015-10-13 02:01:00,2.6,1.5,1.100000
54,2015-09-08 02:01:00,-1.0,0.5,-1.500000
55,2015-08-11 02:01:00,1.2,1.0,0.200000
56,2015-06-09 02:01:00,0.0,1.0,-1.000000
57,2015-05-12 02:01:00,-2.4,0.6,-3.000000
58,2015-04-14 02:01:00,3.2,0.5,2.700000
59,2015-03-10 03:01:00,0.2,0.4,-0.200000
60,2015-02-10 02:01:00,0.2,0.5,-0.300000
61,2015-01-13 02:01:00,-0.4,0.6,-1.000000
62,2014-12-09 02:01:00,0.9,0.9,0.000000
63,2014-11-11 02:01:00,0.0,-0.5,0.500000
64,2014-10-14 02:01:00,-2.1,1.0,-3.100000
65,2014-09-09 02:01:00,1.3,0.5,0.800000
66,2014-08-12 02:01:00,-0.3,0.6,-0.900000
67,2014-07-15 02:01:00,-0.8,1.0,-1.800000
68,2014-06-10 02:01:00,0.5,1.6,-1.100000
69,2014-05-13 02:01:00,4.2,1.8,2.400000
70,2014-04-15 02:01:00,-1.7,1.0,-2.700000
71,2014-03-11 03:01:00,-1.0,1.6,-2.600000
72,2014-02-11 02:01:00,3.9,0.8,3.100000
73,2014-01-10 02:01:00,0.4,0.8,-0.400000
74,2013-12-03 02:01:00,0.6,1.1,-0.500000
75,2013-11-05 02:01:00,0.8,1.1,-0.300000
76,2013-09-03 02:01:00,1.8,1.7,0.100000
77,2013-08-06 02:01:00,2.2,2.0,0.200000
78,2013-07-09 02:01:00,1.4,3.0,-1.600000
79,2013-06-04 02:01:00,1.8,1.2,0.600000
80,2013-05-08 02:01:00,-2.2,1.8,-4.000000
81,2013-04-09 02:01:00,1.9,2.5,-0.600000
82,2013-03-05 02:01:00,2.7,1.0,1.700000
83,2013-02-05 02:01:00,1.9,0.1,1.800000
84,2013-01-08 02:01:00,0.3,0.5,-0.200000
85,2012-12-04 02:01:00,0.4,0.9,-0.500000
86,2012-11-06 02:01:00,-0.1,1.3,-1.400000
87,2012-10-09 02:01:00,1.5,-0.3,1.800000
88,2012-09-04 02:01:00,-0.4,-0.5,0.100000
89,2012-08-07 02:01:00,0.1,-0.2,0.300000
90,2012-07-10 02:01:00,1.4,2.0,-0.600000
91,2012-06-07 02:01:00,1.3,0.8,0.500000
92,2012-05-09 02:01:00,-3.3,0.5,-3.800000
93,2012-02-07 02:01:00,-0.3,-0.8,0.500000
94,2012-01-10 02:01:00,2.2,0.5,1.700000
95,2011-12-06 02:01:00,-1.6,-0.5,-1.100000
96,2011-11-08 02:01:00,-0.6,-0.2,-0.400000
97,2011-10-11 02:01:00,0.3,-0.9,1.200000
98,2011-09-06 02:01:00,-0.6,0.0,-0.600000
99,2011-08-09 02:01:00,0.6,-0.5,1.100000
100,2011-07-12 02:01:00,-0.6,-1.4,0.800000
101,2011-06-07 02:01:00,-2.1,2.0,-4.100000
