,Date,Actual,Consensus,Difference
0,2023-11-10 09:00:00,-14.29,-15.3,1.010000
1,2023-10-12 09:00:00,-15.95,-14.7,-1.250000
2,2023-09-13 09:00:00,-14.06,-16.0,1.940000
3,2023-08-11 09:00:00,-15.46,-16.4,0.940000
4,2023-07-13 09:00:00,-18.72,-14.7,-4.020000
5,2023-06-14 09:00:00,-15.0,-16.5,1.500000
6,2023-05-12 09:00:00,-16.36,-17.5,1.140000
7,2023-04-13 09:00:00,-17.53,-17.0,-0.530000
8,2023-03-10 09:00:00,-17.86,-17.75,-0.110000
9,2023-02-10 09:00:00,-19.27,-16.4,-2.870000
10,2023-01-13 09:00:00,-15.62,-14.9,-0.720000
11,2022-12-12 09:00:00,-14.48,-15.65,1.170000
12,2022-11-11 09:00:00,-15.66,-18.75,3.090000
13,2022-10-12 09:00:00,-19.26,-20.4,1.140000
14,2022-09-12 09:00:00,-19.36,-22.3,2.940000
15,2022-08-12 09:00:00,-22.85,-22.3,-0.550000
16,2022-07-13 09:00:00,-21.45,-21.2,-0.250000
17,2022-06-13 09:00:00,-20.89,-22.5,1.610000
18,2022-05-12 09:00:00,-23.9,-18.5,-5.400000
19,2022-04-11 09:00:00,-20.59,-20.0,-0.590000
20,2022-03-11 09:00:00,-26.5,-12.6,-13.900000
21,2022-02-11 09:00:00,-12.53,-12.5,-0.030000
22,2022-01-14 09:00:00,-11.34,-14.2,2.860000
23,2021-12-10 09:00:00,-13.93,-14.06,0.130000
24,2021-11-11 09:00:00,-14.74,-14.3,-0.440000
25,2021-10-13 09:00:00,-14.93,-12.0,-2.930000
26,2021-09-10 09:00:00,-12.71,-11.0,-1.710000
27,2021-08-12 09:00:00,-11.99,-9.1,-2.890000
28,2021-07-09 14:00:00,-8.48,-11.1,2.620000
29,2021-06-11 09:00:00,-10.96,-12.1,1.140000
30,2021-05-12 09:00:00,-11.71,-14.4,2.690000
31,2021-04-13 09:00:00,-16.44,-10.4,-6.040000
32,2021-03-12 09:00:00,-9.83,-12.5,2.670000
33,2021-02-12 09:00:00,-14.32,-15.0,0.680000
34,2021-01-15 09:00:00,-16.01,-10.18,-5.830000
35,2020-12-10 09:00:00,-12.0,-9.6,-2.400000
36,2020-11-12 09:00:00,-9.35,-9.5,0.150000
37,2020-10-09 09:00:00,-9.01,-9.0,-0.010000
38,2020-09-11 09:00:00,-8.64,-6.9,-1.740000
39,2020-08-12 09:00:00,-5.12,-4.75,-0.370000
40,2020-07-14 09:00:00,-2.81,-8.1,5.290000
41,2020-06-12 09:00:00,-7.49,-11.62,4.130000
42,2020-05-13 09:00:00,-12.51,-10.0,-2.510000
43,2020-04-09 09:00:00,-11.49,-6.0,-5.490000
44,2020-03-11 12:30:00,-3.72,-7.0,3.280000
45,2020-02-11 11:30:00,0.85,-10.0,10.850000
46,2020-01-13 11:30:00,-5.26,-11.7,6.440000
47,2019-12-10 11:30:00,-14.49,-11.65,-2.840000
48,2019-11-11 11:30:00,-12.54,-10.0,-2.540000
49,2019-10-10 11:30:00,-9.81,-10.0,0.190000
50,2019-09-09 11:30:00,-9.14,-9.6,0.460000
51,2019-08-09 11:30:00,-7.01,-11.8,4.790000
52,2019-07-10 11:30:00,-11.52,-12.55,1.030000
53,2019-06-10 11:30:00,-12.11,-13.1,0.990000
54,2019-05-10 11:30:00,-13.65,-13.8,0.150000
55,2019-04-10 11:30:00,-14.11,-12.5,-1.610000
56,2019-03-12 12:30:00,-13.08,-12.2,-0.880000
57,2019-02-11 11:30:00,-12.1,-12.0,-0.100000
58,2019-01-11 11:30:00,-12.02,-11.4,-0.620000
59,2018-12-10 11:30:00,-11.87,-10.5,-1.370000
60,2018-11-09 11:30:00,-9.73,-11.4,1.670000
61,2018-10-10 11:30:00,-11.2,-10.9,-0.300000
62,2018-09-10 11:30:00,-9.97,-11.75,1.780000
63,2018-08-10 11:30:00,-11.38,-12.05,0.670000
64,2018-07-10 11:30:00,-12.36,-12.0,-0.360000
65,2018-06-11 11:30:00,-14.04,-11.35,-2.690000
66,2018-05-10 11:30:00,-12.29,-11.2,-1.090000
67,2018-04-11 11:30:00,-10.2,-12.0,1.800000
