,Date,Actual,Consensus,Difference
0,2023-08-11 09:00:00,-2.77,-6.39,3.620000
1,2023-07-13 09:00:00,-6.76,-6.45,-0.310000
2,2023-06-14 09:00:00,-5.04,-6.51,1.470000
3,2023-05-12 09:00:00,-5.46,-6.69,1.230000
4,2023-04-13 09:00:00,-6.52,-7.4,0.880000
5,2021-05-12 09:00:00,-6.55,-3.5,-3.050000
6,2021-04-13 09:00:00,-10.73,-4.05,-6.680000
7,2021-03-12 09:00:00,-1.76,-4.95,3.190000
8,2021-01-15 09:00:00,-8.01,-1.4,-6.610000
9,2020-12-10 09:00:00,-4.54,-1.4,-3.140000
10,2020-11-12 09:00:00,-1.65,-2.4,0.750000
11,2020-10-09 09:00:00,-2.31,-2.8,0.490000
12,2020-07-14 09:00:00,0.65,-1.56,2.210000
13,2020-06-12 09:00:00,-2.66,-4.0,1.340000
14,2020-05-13 09:00:00,-4.88,-4.0,-0.880000
15,2020-04-09 09:00:00,-5.57,-0.5,-5.070000
16,2020-03-11 12:30:00,2.23,-1.5,3.730000
17,2020-02-11 11:30:00,6.72,-2.58,9.300000
18,2020-01-13 11:30:00,1.73,-3.5,5.230000
19,2019-12-10 11:30:00,-5.73,-3.5,-2.230000
20,2019-11-11 11:30:00,-4.03,-2.5,-1.530000
21,2019-10-10 11:30:00,-2.21,-2.8,0.590000
22,2019-08-09 11:30:00,-0.19,-4.7,4.510000
23,2019-07-10 11:30:00,-4.91,-4.7,-0.210000
24,2019-06-10 11:30:00,-4.6,-4.48,-0.120000
25,2019-05-10 11:30:00,-4.36,-5.4,1.040000
26,2019-04-10 11:30:00,-5.84,-4.5,-1.340000
27,2019-03-12 12:30:00,-4.98,-3.7,-1.280000
28,2019-02-11 11:30:00,-3.64,-3.7,0.060000
29,2019-01-11 11:30:00,-3.93,-3.7,-0.230000
30,2018-12-10 11:30:00,-4.25,-3.15,-1.100000
31,2018-11-09 11:30:00,-2.34,-3.9,1.560000
32,2018-10-10 11:30:00,-4.22,-3.1,-1.120000
33,2018-09-10 11:30:00,-2.8,-3.3,0.500000
34,2018-08-10 11:30:00,-2.94,-3.6,0.660000
35,2018-07-10 11:30:00,-3.49,-3.7,0.210000
36,2018-06-11 11:30:00,-5.37,-3.2,-2.170000
37,2018-04-11 11:30:00,-2.24,-4.4,2.160000
38,2018-03-09 11:30:00,-3.87,-4.4,0.530000
39,2018-02-09 11:30:00,-5.18,-4.1,-1.080000
40,2018-01-10 11:30:00,-4.67,-2.6,-2.070000
41,2017-12-08 11:30:00,-2.38,-3.3,0.920000
42,2017-10-10 11:30:00,-5.83,-3.6,-2.230000
43,2017-08-10 11:30:00,-4.47,-3.0,-1.470000
44,2017-07-07 11:30:00,-3.8,-2.5,-1.300000
45,2017-06-09 11:30:00,-2.07,-3.25,1.180000
46,2017-05-11 11:30:00,-4.67,-3.4,-1.270000
47,2017-03-10 11:30:00,-2.45,-2.5,0.050000
48,2017-02-10 11:30:00,-2.11,-3.3,1.190000
49,2017-01-11 11:30:00,-3.58,-3.0,-0.580000
50,2016-12-09 11:30:00,-1.6,-3.48,1.880000
51,2016-11-09 11:30:00,-3.97,-3.35,-0.620000
52,2016-10-07 11:30:00,-3.76,-3.7,-0.060000
53,2016-09-09 11:30:00,-4.19,-3.7,-0.490000
54,2016-08-09 11:30:00,-4.16,-2.5,-1.660000
55,2016-07-08 11:30:00,-2.57,-2.9,0.330000
56,2016-06-09 11:30:00,-2.6,-3.1,0.500000
57,2016-05-10 11:30:00,-3.11,-3.5,0.390000
58,2016-04-08 11:30:00,-3.36,-2.6,-0.760000
59,2016-03-11 11:30:00,-2.2,-2.9,0.700000
60,2016-02-09 11:30:00,-2.36,-2.6,0.240000
61,2016-01-08 11:30:00,-2.45,-3.0,0.550000
62,2015-12-10 11:30:00,-3.73,-2.5,-1.230000
63,2015-11-06 11:30:00,-2.08,-3.3,1.220000
64,2015-10-09 11:30:00,-3.77,-2.5,-1.270000
65,2015-09-09 11:30:00,-3.46,-1.9,-1.560000
66,2015-08-07 11:30:00,-1.62,-2.4,0.780000
67,2015-07-10 11:30:00,-1.57,-2.55,0.980000
68,2015-06-09 11:30:00,-2.09,-3.0,0.910000
69,2015-05-08 11:30:00,-3.16,-2.95,-0.210000
70,2015-04-09 11:30:00,-3.24,-2.0,-1.240000
71,2015-03-12 12:30:00,-1.75,-3.4,1.650000
72,2015-02-06 11:30:00,-3.8,-3.0,-0.800000
73,2015-01-09 11:30:00,-2.65,-3.45,0.800000
74,2014-12-10 11:30:00,-3.58,-3.89,0.310000
75,2014-11-07 11:30:00,-4.05,-3.7,-0.350000
76,2014-10-10 11:30:00,-3.59,-4.0,0.410000
77,2014-09-09 11:30:00,-4.34,-3.6,-0.740000
78,2014-08-08 11:30:00,-3.84,-3.6,-0.240000
