,Date,Actual,Consensus,Difference
0,2023-11-14 09:00:00,54.0,-198.0,252.000000
1,2023-10-24 09:00:00,-82.0,-198.0,116.000000
2,2023-09-12 09:00:00,-207.0,-185.0,-22.000000
3,2023-08-15 09:00:00,-66.0,75.0,-141.000000
4,2023-07-11 09:00:00,102.0,125.0,-23.000000
5,2023-06-13 09:00:00,250.0,150.0,100.000000
6,2023-05-16 09:00:00,182.0,160.0,22.000000
7,2023-04-18 09:00:00,169.0,50.0,119.000000
8,2023-03-14 10:00:00,65.0,52.0,13.000000
9,2023-02-14 09:00:00,74.0,40.0,34.000000
10,2023-01-17 09:00:00,27.0,5.0,22.000000
11,2022-12-13 09:00:00,27.0,-17.0,44.000000
12,2022-11-15 09:00:00,-52.0,-25.0,-27.000000
13,2022-10-11 09:00:00,-109.0,-155.0,46.000000
14,2022-09-13 09:00:00,40.0,128.0,-88.000000
15,2022-08-16 09:00:00,160.0,256.0,-96.000000
16,2022-07-19 09:00:00,296.0,170.0,126.000000
17,2022-06-14 09:00:00,177.0,105.0,72.000000
18,2022-05-17 09:00:00,83.0,5.0,78.000000
19,2022-04-12 09:00:00,10.0,50.0,-40.000000
20,2022-03-15 10:00:00,-12.0,23.0,-35.000000
21,2022-02-15 09:00:00,-38.0,-65.0,27.000000
22,2022-01-18 09:00:00,60.0,125.0,-65.000000
23,2021-12-14 09:00:00,149.0,228.0,-79.000000
24,2021-11-16 09:00:00,247.0,185.0,62.000000
25,2021-10-12 09:00:00,235.0,243.0,-8.000000
26,2021-09-14 09:00:00,183.0,178.0,5.000000
27,2021-08-17 09:00:00,95.0,75.0,20.000000
28,2021-07-15 09:00:00,25.0,90.0,-65.000000
29,2021-06-15 09:00:00,113.0,150.0,-37.000000
30,2021-05-18 09:00:00,84.0,50.0,34.000000
31,2021-04-20 09:00:00,-73.0,-150.0,77.000000
32,2021-03-23 10:00:00,-147.0,-167.0,20.000000
33,2021-02-23 09:00:00,-114.0,-30.0,-84.000000
34,2021-01-26 09:00:00,-88.0,-100.0,12.000000
35,2020-12-15 09:00:00,-144.0,-250.0,106.000000
36,2020-11-10 09:00:00,-164.0,-148.0,-16.000000
37,2020-10-13 09:00:00,-153.0,-30.0,-123.000000
38,2020-09-15 09:00:00,-12.0,-125.0,113.000000
39,2020-08-11 09:00:00,-220.0,-234.0,14.000000
40,2020-07-16 09:00:00,-125.0,-234.0,109.000000
41,2020-06-16 09:00:00,6.0,-83.0,89.000000
42,2020-05-19 09:00:00,211.0,50.0,161.000000
43,2020-04-21 09:00:00,172.0,100.0,72.000000
44,2020-03-17 12:30:00,184.0,143.0,41.000000
45,2020-02-18 11:30:00,180.0,145.0,35.000000
46,2020-01-21 11:30:00,208.0,110.0,98.000000
47,2019-12-17 11:30:00,24.0,-10.0,34.000000
48,2019-11-12 11:30:00,-58.0,-94.0,36.000000
49,2019-10-15 11:30:00,-56.0,23.0,-79.000000
50,2019-09-10 11:30:00,31.0,53.0,-22.000000
51,2019-08-13 11:30:00,115.0,65.0,50.000000
52,2019-07-16 11:30:00,28.0,45.0,-17.000000
53,2019-06-11 11:30:00,32.0,-1.0,33.000000
54,2019-05-14 11:30:00,99.0,141.0,-42.000000
55,2019-04-16 11:30:00,179.0,173.0,6.000000
56,2019-03-19 12:30:00,222.0,120.0,102.000000
57,2019-02-19 11:30:00,167.0,152.0,15.000000
58,2019-01-22 11:30:00,141.0,88.0,53.000000
59,2018-12-11 11:30:00,79.0,25.0,54.000000
60,2018-11-13 11:30:00,23.0,25.0,-2.000000
61,2018-10-16 11:30:00,-5.0,11.0,-16.000000
62,2018-09-11 11:30:00,3.0,27.0,-24.000000
63,2018-08-14 11:30:00,42.0,93.0,-51.000000
64,2018-07-17 11:30:00,137.0,150.0,-13.000000
65,2018-06-12 11:30:00,146.0,124.0,22.000000
66,2018-05-15 11:30:00,197.0,129.0,68.000000
67,2018-04-17 11:30:00,55.0,55.0,0.000000
68,2018-03-21 12:30:00,168.0,84.0,84.000000
69,2018-02-21 11:30:00,88.0,180.0,-92.000000
