,Date,Actual,Consensus,Difference
0,2023-11-14 09:00:00,4.2,4.3,-0.100000
1,2023-10-24 09:00:00,4.2,4.3,-0.100000
2,2023-09-12 09:00:00,4.3,4.3,0.000000
3,2023-08-15 09:00:00,4.2,4.0,0.200000
4,2023-07-11 09:00:00,4.0,3.8,0.200000
5,2023-06-13 09:00:00,3.8,4.0,-0.200000
6,2023-05-16 09:00:00,3.9,3.8,0.100000
7,2023-04-18 09:00:00,3.8,3.7,0.100000
8,2023-03-14 10:00:00,3.7,3.8,-0.100000
9,2023-02-14 09:00:00,3.7,3.7,0.000000
10,2023-01-17 09:00:00,3.7,3.7,0.000000
11,2022-12-13 09:00:00,3.7,3.7,0.000000
12,2022-11-15 09:00:00,3.6,3.5,0.100000
13,2022-10-11 09:00:00,3.5,3.6,-0.100000
14,2022-09-13 09:00:00,3.6,3.8,-0.200000
15,2022-08-16 09:00:00,3.8,3.8,0.000000
16,2022-07-19 09:00:00,3.8,3.9,-0.100000
17,2022-06-14 09:00:00,3.8,3.6,0.200000
18,2022-05-17 09:00:00,3.7,3.8,-0.100000
19,2022-04-12 09:00:00,3.8,3.8,0.000000
20,2022-03-15 10:00:00,3.9,4.0,-0.100000
21,2022-02-15 09:00:00,4.1,4.1,0.000000
22,2022-01-18 09:00:00,4.1,4.2,-0.100000
23,2021-12-14 09:00:00,4.2,4.2,0.000000
24,2021-11-16 09:00:00,4.3,4.4,-0.100000
25,2021-10-12 09:00:00,4.5,4.5,0.000000
26,2021-09-14 09:00:00,4.6,4.6,0.000000
27,2021-08-17 09:00:00,4.7,4.8,-0.100000
28,2021-07-15 09:00:00,4.8,4.7,0.100000
29,2021-06-15 09:00:00,4.7,4.7,0.000000
30,2021-05-18 09:00:00,4.8,4.9,-0.100000
31,2021-04-20 09:00:00,4.9,5.1,-0.200000
32,2021-03-23 10:00:00,5.0,5.2,-0.200000
33,2021-02-23 09:00:00,5.1,5.1,0.000000
34,2021-01-26 09:00:00,5.0,5.1,-0.100000
35,2020-12-15 09:00:00,4.9,5.1,-0.200000
36,2020-11-10 09:00:00,4.8,4.8,0.000000
37,2020-10-13 09:00:00,4.5,4.3,0.200000
38,2020-09-15 09:00:00,4.1,4.1,0.000000
39,2020-08-11 09:00:00,3.9,4.2,-0.300000
40,2020-07-16 09:00:00,3.9,4.2,-0.300000
41,2020-06-16 09:00:00,3.9,4.7,-0.800000
42,2020-05-19 09:00:00,3.9,4.4,-0.500000
43,2020-04-21 09:00:00,4.0,3.9,0.100000
44,2020-03-17 12:30:00,3.9,3.8,0.100000
45,2020-02-18 11:30:00,3.8,3.8,0.000000
46,2020-01-21 11:30:00,3.8,3.8,0.000000
47,2019-12-17 11:30:00,3.8,3.9,-0.100000
48,2019-11-12 11:30:00,3.8,3.9,-0.100000
49,2019-10-15 11:30:00,3.9,3.8,0.100000
50,2019-09-10 11:30:00,3.8,3.9,-0.100000
51,2019-08-13 11:30:00,3.9,3.8,0.100000
52,2019-07-16 11:30:00,3.8,3.8,0.000000
53,2019-06-11 11:30:00,3.8,3.8,0.000000
54,2019-05-14 11:30:00,3.8,3.9,-0.100000
55,2019-04-16 11:30:00,3.9,3.9,0.000000
56,2019-03-19 12:30:00,3.9,4.0,-0.100000
57,2019-02-19 11:30:00,4.0,4.0,0.000000
58,2019-01-22 11:30:00,4.0,4.1,-0.100000
59,2018-12-11 11:30:00,4.1,4.1,0.000000
60,2018-11-13 11:30:00,4.1,4.0,0.100000
61,2018-10-16 11:30:00,4.0,4.0,0.000000
62,2018-09-11 11:30:00,4.0,4.0,0.000000
63,2018-08-14 11:30:00,4.0,4.2,-0.200000
64,2018-07-17 11:30:00,4.2,4.2,0.000000
65,2018-06-12 11:30:00,4.2,4.2,0.000000
66,2018-05-15 11:30:00,4.2,4.2,0.000000
67,2018-04-17 11:30:00,4.2,4.3,-0.100000
68,2018-03-21 12:30:00,4.3,4.4,-0.100000
69,2018-02-21 11:30:00,4.4,4.3,0.100000
70,2018-01-24 11:30:00,4.3,4.3,0.000000
71,2017-12-13 11:30:00,4.3,4.2,0.100000
72,2017-11-15 11:30:00,4.3,4.3,0.000000
73,2017-10-18 11:30:00,4.3,4.3,0.000000
74,2017-09-13 11:30:00,4.3,4.4,-0.100000
75,2017-08-16 11:30:00,4.4,4.5,-0.100000
76,2017-07-12 11:30:00,4.5,4.6,-0.100000
77,2017-06-14 11:30:00,4.6,4.6,0.000000
78,2017-05-17 11:30:00,4.6,4.7,-0.100000
79,2017-04-12 11:30:00,4.7,4.7,0.000000
80,2017-03-15 12:30:00,4.7,4.8,-0.100000
81,2017-02-15 11:30:00,4.8,4.8,0.000000
82,2017-01-18 11:30:00,4.8,4.8,0.000000
83,2016-12-14 11:30:00,4.8,4.8,0.000000
84,2016-11-16 11:30:00,4.8,4.9,-0.100000
85,2016-10-19 11:30:00,4.9,4.9,0.000000
86,2016-09-14 11:30:00,4.9,4.9,0.000000
87,2016-08-17 11:30:00,4.9,4.9,0.000000
88,2016-07-20 11:30:00,4.9,5.0,-0.100000
89,2016-06-15 11:30:00,5.0,5.1,-0.100000
90,2016-05-18 11:30:00,5.1,5.1,0.000000
91,2016-04-20 11:30:00,5.1,5.1,0.000000
92,2016-03-16 12:30:00,5.1,5.1,0.000000
93,2016-02-17 11:30:00,5.1,5.0,0.100000
94,2016-01-20 11:30:00,5.1,5.2,-0.100000
95,2015-12-16 11:30:00,5.2,5.3,-0.100000
96,2015-11-11 11:30:00,5.3,5.4,-0.100000
97,2015-10-14 11:30:00,5.4,5.5,-0.100000
98,2015-09-16 11:30:00,5.5,5.6,-0.100000
99,2015-08-12 11:30:00,5.6,5.6,0.000000
100,2015-07-15 11:30:00,5.6,5.5,0.100000
101,2015-06-17 11:30:00,5.5,5.5,0.000000
102,2015-05-13 11:30:00,5.5,5.5,0.000000
103,2015-04-17 11:30:00,5.6,5.6,0.000000
104,2015-03-18 12:30:00,5.7,5.6,0.100000
105,2015-02-18 11:30:00,5.7,5.8,-0.100000
106,2015-01-21 11:30:00,5.8,5.9,-0.100000
107,2014-12-17 11:30:00,6.0,5.9,0.100000
108,2014-11-12 11:30:00,6.0,5.9,0.100000
109,2014-10-15 11:30:00,6.0,6.1,-0.100000
110,2014-09-17 11:30:00,6.2,6.3,-0.100000
111,2014-08-13 11:30:00,6.4,6.4,0.000000
112,2014-07-16 11:30:00,6.5,6.5,0.000000
113,2014-06-11 11:30:00,6.6,6.7,-0.100000
114,2014-05-14 11:30:00,6.8,6.8,0.000000
115,2014-04-16 11:30:00,6.9,7.1,-0.200000
116,2014-03-19 12:30:00,7.2,7.2,0.000000
117,2014-02-19 11:30:00,7.2,7.1,0.100000
118,2014-01-22 11:30:00,7.1,7.3,-0.200000
119,2013-12-18 11:30:00,7.4,7.6,-0.200000
120,2013-11-13 11:30:00,7.6,7.7,-0.100000
121,2013-10-16 11:30:00,7.7,7.7,0.000000
