,Date,Actual,Consensus,Difference
0,2023-11-03 15:30:00,4.1,4.0,0.100000
1,2023-10-06 15:30:00,4.2,4.3,-0.100000
2,2023-09-01 15:30:00,4.3,4.4,-0.100000
3,2023-08-04 15:30:00,4.4,4.2,0.200000
4,2023-07-07 15:30:00,4.4,4.2,0.200000
5,2023-06-02 15:30:00,4.3,4.3,0.000000
6,2023-05-05 15:30:00,4.4,4.2,0.200000
7,2023-04-07 15:30:00,4.2,4.3,-0.100000
8,2023-03-10 15:30:00,4.6,4.7,-0.100000
9,2023-02-03 15:30:00,4.4,4.3,0.100000
10,2023-01-06 15:30:00,4.6,5.0,-0.400000
11,2022-12-02 15:30:00,5.1,4.6,0.500000
12,2022-11-04 15:30:00,4.7,4.7,0.000000
13,2022-10-07 15:30:00,5.0,5.1,-0.100000
14,2022-09-02 15:30:00,5.2,5.3,-0.100000
15,2022-08-05 15:30:00,5.2,4.9,0.300000
16,2022-07-08 15:30:00,5.1,5.0,0.100000
17,2022-06-03 15:30:00,5.2,5.2,0.000000
18,2022-05-06 15:30:00,5.5,5.5,0.000000
19,2022-04-01 15:30:00,5.6,5.5,0.100000
20,2022-03-04 15:30:00,5.1,5.8,-0.700000
21,2022-02-04 15:30:00,5.7,5.2,0.500000
22,2022-01-07 15:30:00,4.7,4.2,0.500000
23,2021-12-03 15:30:00,4.8,5.0,-0.200000
24,2021-11-05 15:30:00,4.9,4.9,0.000000
25,2021-10-08 15:30:00,4.6,4.6,0.000000
26,2021-09-03 15:30:00,4.3,4.0,0.300000
27,2021-08-06 15:30:00,4.0,3.8,0.200000
28,2021-07-02 15:30:00,3.6,3.7,-0.100000
29,2021-06-04 15:30:00,2.0,1.6,0.400000
30,2021-05-07 15:30:00,0.3,-0.4,0.700000
31,2021-04-02 15:30:00,4.2,4.5,-0.300000
32,2021-03-05 15:30:00,5.3,5.3,0.000000
33,2021-02-05 15:30:00,5.4,5.1,0.300000
34,2021-01-08 15:30:00,5.1,4.4,0.700000
35,2020-12-04 15:30:00,4.4,4.3,0.100000
36,2020-11-06 15:30:00,4.5,4.6,-0.100000
37,2020-10-02 15:30:00,4.7,4.8,-0.100000
38,2020-09-04 15:30:00,4.7,4.5,0.200000
39,2020-08-07 15:30:00,4.8,4.1,0.700000
40,2020-07-02 15:30:00,5.0,5.3,-0.300000
41,2020-06-05 15:30:00,6.7,8.5,-1.800000
42,2020-05-08 15:30:00,7.9,3.3,4.600000
43,2020-04-03 15:30:00,3.1,3.0,0.100000
44,2020-03-06 15:30:00,3.0,3.0,0.000000
45,2020-02-07 15:30:00,3.1,3.0,0.100000
46,2020-01-10 15:30:00,2.9,3.1,-0.200000
47,2019-12-06 15:30:00,3.1,3.0,0.100000
48,2019-11-01 15:30:00,3.0,3.0,0.000000
49,2019-10-04 15:30:00,2.9,3.2,-0.300000
50,2019-09-06 15:30:00,3.2,3.1,0.100000
51,2019-08-02 15:30:00,3.2,3.1,0.100000
52,2019-07-05 15:30:00,3.1,3.2,-0.100000
53,2019-06-07 15:30:00,3.1,3.2,-0.100000
54,2019-05-03 15:30:00,3.2,3.3,-0.100000
55,2019-04-05 15:30:00,3.2,3.4,-0.200000
56,2019-03-08 15:30:00,3.4,3.3,0.100000
57,2019-02-01 15:30:00,3.2,3.2,0.000000
58,2019-01-04 15:30:00,3.2,3.0,0.200000
59,2018-12-07 15:30:00,3.1,3.1,0.000000
60,2018-11-02 15:30:00,3.1,3.1,0.000000
61,2018-10-05 15:30:00,2.8,2.8,0.000000
62,2018-09-07 15:30:00,2.9,2.7,0.200000
63,2018-08-03 15:30:00,2.7,2.7,0.000000
64,2018-07-06 15:30:00,2.7,2.8,-0.100000
65,2018-06-01 15:30:00,2.7,2.7,0.000000
