,Date,Actual,Consensus,Difference
0,2023-11-17 15:30:00,1.487,1.45,0.037000
1,2023-10-25 14:40:00,1.471,1.473,-0.002000
2,2023-10-18 15:30:00,1.473,1.455,0.018000
3,2023-09-26 15:00:00,1.541,1.543,-0.002000
4,2023-09-19 15:30:00,1.543,1.44,0.103000
5,2023-08-23 15:00:00,1.443,1.442,0.001000
6,2023-08-16 15:30:00,1.442,1.463,-0.021000
7,2023-07-26 15:00:00,1.441,1.44,0.001000
8,2023-07-19 15:30:00,1.44,1.49,-0.050000
9,2023-06-27 14:45:00,1.496,1.491,0.005000
10,2023-06-20 15:30:00,1.491,1.425,0.066000
11,2023-05-23 15:00:00,1.417,1.416,0.001000
12,2023-05-17 15:30:00,1.416,1.437,-0.021000
13,2023-04-25 15:10:00,1.43,1.413,0.017000
14,2023-04-18 15:30:00,1.413,1.45,-0.037000
15,2023-03-23 15:30:00,1.55,1.524,0.026000
16,2023-03-16 15:30:00,1.524,1.34,0.184000
17,2023-02-16 15:30:00,1.339,1.35,-0.011000
18,2023-01-19 15:30:00,1.33,1.37,-0.040000
19,2022-12-20 15:30:00,1.342,1.485,-0.143000
20,2022-11-23 15:00:00,1.512,1.526,-0.014000
21,2022-11-17 15:30:00,1.526,1.512,0.014000
22,2022-10-19 15:30:00,1.564,1.53,0.034000
23,2022-09-20 15:30:00,1.517,1.61,-0.093000
24,2022-08-16 15:30:00,1.674,1.65,0.024000
25,2022-07-19 15:30:00,1.685,1.65,0.035000
26,2022-06-16 15:30:00,1.695,1.785,-0.090000
27,2022-05-18 15:30:00,1.819,1.812,0.007000
28,2022-04-19 15:30:00,1.873,1.825,0.048000
29,2022-03-17 15:30:00,1.859,1.85,0.009000
30,2022-02-17 15:30:00,1.899,1.76,0.139000
31,2022-01-19 15:30:00,1.873,1.701,0.172000
32,2021-12-16 15:30:00,1.712,1.663,0.049000
33,2021-11-17 15:30:00,1.65,1.638,0.012000
34,2021-10-19 15:30:00,1.589,1.68,-0.091000
35,2021-09-21 15:30:00,1.728,1.6,0.128000
36,2021-08-18 15:30:00,1.635,1.61,0.025000
37,2021-07-20 15:30:00,1.598,1.7,-0.102000
38,2021-06-16 15:30:00,1.681,1.73,-0.049000
39,2021-05-18 15:30:00,1.76,1.77,-0.010000
40,2021-04-16 15:30:00,1.766,1.75,0.016000
41,2021-03-17 15:30:00,1.682,1.75,-0.068000
42,2021-02-18 15:30:00,1.881,1.678,0.203000
43,2021-01-21 15:30:00,1.709,1.604,0.105000
44,2020-12-17 15:30:00,1.639,1.55,0.089000
45,2020-11-18 15:30:00,1.545,1.56,-0.015000
46,2020-10-20 15:30:00,1.553,1.52,0.033000
47,2020-09-17 15:30:00,1.47,1.52,-0.050000
48,2020-08-18 15:30:00,1.495,1.32,0.175000
49,2020-07-17 15:30:00,1.241,1.29,-0.049000
50,2020-06-17 15:30:00,1.22,1.228,-0.008000
51,2020-05-19 15:30:00,1.074,1.0,0.074000
52,2020-04-16 15:30:00,1.353,1.3,0.053000
53,2020-03-18 15:30:00,1.464,1.5,-0.036000
54,2020-02-19 15:30:00,1.551,1.45,0.101000
55,2020-01-17 15:30:00,1.416,1.468,-0.052000
56,2019-12-17 15:30:00,1.482,1.41,0.072000
57,2019-11-19 15:30:00,1.461,1.385,0.076000
58,2019-10-17 15:30:00,1.387,1.34,0.047000
59,2019-09-18 15:30:00,1.419,1.31,0.109000
60,2019-08-16 15:30:00,1.336,1.27,0.066000
61,2019-07-17 15:30:00,1.22,1.3,-0.080000
62,2019-06-18 15:30:00,1.294,1.296,-0.002000
63,2019-05-16 15:30:00,1.296,1.29,0.006000
64,2019-04-19 15:30:00,1.269,1.3,-0.031000
65,2019-03-26 15:30:00,1.296,1.32,-0.024000
66,2019-03-08 15:30:00,1.345,1.289,0.056000
67,2019-02-26 15:30:00,1.326,1.29,0.036000
68,2018-12-18 15:30:00,1.328,1.259,0.069000
69,2018-11-20 15:30:00,1.263,1.26,0.003000
70,2018-10-17 15:30:00,1.241,1.278,-0.037000
71,2018-09-19 15:30:00,1.229,1.31,-0.081000
72,2018-08-16 15:30:00,1.311,1.31,0.001000
73,2018-07-18 15:30:00,1.273,1.33,-0.057000
