,Date,Actual,Consensus,Difference
0,2023-10-25 14:40:00,-4.5,-4.4,-0.100000
1,2023-09-26 15:00:00,6.8,6.9,-0.100000
2,2023-08-23 15:00:00,0.1,0.1,0.000000
3,2023-08-16 15:30:00,0.1,-1.7,1.800000
4,2023-07-26 15:00:00,-3.7,-3.7,0.000000
5,2023-06-27 14:45:00,5.6,5.2,0.400000
6,2023-05-23 15:00:00,-1.4,-1.5,0.100000
7,2023-04-25 15:10:00,-7.7,-8.8,1.100000
8,2023-04-18 15:30:00,-8.8,-6.0,-2.800000
9,2023-03-23 15:30:00,15.1,13.8,1.300000
10,2022-11-23 15:00:00,-3.3,-2.4,-0.900000
11,2020-02-19 15:30:00,9.2,-0.1,9.300000
12,2019-11-19 15:30:00,5.0,0.0,5.000000
13,2019-10-17 15:30:00,-2.7,-6.0,3.300000
14,2019-08-16 15:30:00,8.4,3.1,5.300000
15,2019-07-17 15:30:00,-6.1,0.1,-6.200000
16,2019-06-18 15:30:00,0.3,0.0,0.300000
17,2019-05-16 15:30:00,0.6,0.5,0.100000
18,2019-04-19 15:30:00,-1.7,0.3,-2.000000
19,2019-03-26 15:30:00,-1.6,-1.3,-0.300000
20,2019-03-08 15:30:00,1.4,-2.9,4.300000
21,2019-02-26 15:30:00,0.3,-2.8,3.100000
22,2018-12-18 15:30:00,5.0,-0.4,5.400000
23,2018-11-20 15:30:00,-0.6,-0.8,0.200000
24,2018-10-17 15:30:00,-0.6,2.1,-2.700000
25,2018-09-19 15:30:00,-5.7,-0.1,-5.600000
26,2018-08-16 15:30:00,1.5,1.4,0.100000
27,2018-07-18 15:30:00,-2.2,2.2,-4.400000
28,2018-06-19 15:30:00,-4.6,-1.4,-3.200000
29,2018-05-16 15:30:00,-1.8,-2.3,0.500000
30,2018-04-17 15:30:00,2.5,0.7,1.800000
31,2017-12-19 15:30:00,-1.4,-3.1,1.700000
32,2017-11-17 15:30:00,5.9,2.0,3.900000
33,2017-10-18 15:30:00,-4.5,-2.9,-1.600000
34,2017-09-19 15:30:00,5.7,-0.8,6.500000
35,2017-08-16 15:30:00,-4.1,-2.0,-2.100000
36,2017-07-19 15:30:00,7.4,3.0,4.400000
37,2017-06-16 15:30:00,-4.9,1.8,-6.700000
38,2017-05-16 15:30:00,-2.5,0.2,-2.700000
39,2017-04-18 15:30:00,3.6,2.8,0.800000
40,2017-03-16 15:30:00,-6.2,-2.6,-3.600000
41,2017-02-16 15:30:00,4.6,0.2,4.400000
42,2017-01-19 15:30:00,-0.2,1.1,-1.300000
43,2016-11-17 15:30:00,0.3,-2.9,3.200000
44,2016-10-19 15:30:00,6.3,0.9,5.400000
45,2016-09-20 15:30:00,-0.4,2.5,-2.900000
46,2016-08-16 15:30:00,-0.1,0.6,-0.700000
47,2016-07-19 15:30:00,1.5,0.6,0.900000
48,2016-05-17 15:30:00,3.6,4.3,-0.700000
49,2016-03-16 15:30:00,-3.1,-0.1,-3.000000
50,2016-02-17 15:30:00,-0.2,-0.1,-0.100000
51,2016-01-20 15:30:00,-3.9,-6.4,2.500000
52,2015-12-16 15:30:00,11.0,-1.0,12.000000
53,2015-11-18 15:30:00,4.1,3.1,1.000000
54,2015-10-20 15:30:00,-5.0,-0.9,-4.100000
55,2015-09-17 15:30:00,3.5,0.4,3.100000
56,2015-08-18 15:30:00,-16.3,-8.0,-8.300000
57,2015-07-17 15:30:00,7.4,-11.8,19.200000
58,2015-06-16 15:30:00,11.8,-3.5,15.300000
59,2015-05-19 15:30:00,10.1,2.2,7.900000
60,2015-04-16 15:30:00,-5.7,-2.0,-3.700000
61,2015-03-17 15:30:00,3.0,-0.5,3.500000
62,2015-02-18 15:30:00,-0.7,0.8,-1.500000
63,2015-01-21 15:30:00,-1.9,1.3,-3.200000
64,2014-12-16 15:30:00,-5.2,-3.4,-1.800000
65,2014-11-19 15:30:00,4.8,0.9,3.900000
66,2014-10-17 15:30:00,1.5,2.8,-1.300000
67,2014-09-18 15:30:00,-5.6,-0.4,-5.200000
68,2014-08-19 15:30:00,8.1,2.5,5.600000
69,2014-07-17 15:30:00,-4.2,4.2,-8.400000
70,2014-06-17 15:30:00,-6.4,-0.1,-6.300000
71,2014-04-16 15:30:00,-2.4,0.6,-3.000000
72,2014-03-18 15:30:00,7.7,1.6,6.100000
73,2014-02-19 15:30:00,-5.4,-1.8,-3.600000
74,2014-01-17 15:30:00,-3.0,0.3,-3.300000
75,2013-12-18 15:30:00,-3.1,-4.7,1.600000
76,2013-09-18 15:30:00,-3.8,-0.4,-3.400000
77,2013-08-16 15:30:00,2.7,2.9,-0.200000
78,2013-07-17 15:30:00,-7.5,1.5,-9.000000
79,2013-06-18 15:30:00,-3.1,-2.8,-0.300000
