,Date,Actual,Consensus,Difference
0,2023-10-31 17:00:00,102.6,100.0,2.600000
1,2023-09-26 17:00:00,103.0,105.5,-2.500000
2,2023-08-29 17:00:00,106.1,116.0,-9.900000
3,2023-07-25 17:00:00,117.0,111.8,5.200000
4,2023-06-27 17:00:00,109.7,104.0,5.700000
5,2023-05-30 17:00:00,102.3,99.0,3.300000
6,2023-04-25 17:00:00,101.3,104.0,-2.700000
7,2023-03-28 17:00:00,104.2,101.0,3.200000
8,2023-02-28 17:00:00,102.9,108.5,-5.600000
9,2023-01-31 17:00:00,107.1,109.0,-1.900000
10,2022-12-21 17:00:00,108.3,101.0,7.300000
11,2022-11-29 17:00:00,100.2,100.0,0.200000
12,2022-10-25 17:00:00,102.5,106.5,-4.000000
13,2022-09-27 17:00:00,108.0,104.5,3.500000
14,2022-08-30 17:00:00,103.2,97.9,5.300000
15,2022-07-26 17:00:00,95.7,97.2,-1.500000
16,2022-06-28 17:00:00,98.7,100.4,-1.700000
17,2022-05-31 17:00:00,106.4,103.9,2.500000
18,2022-04-26 17:00:00,107.3,108.0,-0.700000
19,2022-03-29 17:00:00,107.2,107.0,0.200000
20,2022-02-22 17:00:00,110.5,110.0,0.500000
21,2022-01-25 17:00:00,113.8,111.8,2.000000
22,2021-12-22 17:00:00,115.8,110.8,5.000000
23,2021-11-30 17:00:00,109.5,111.0,-1.500000
24,2021-10-26 17:00:00,113.8,108.3,5.500000
25,2021-09-28 17:00:00,109.3,114.5,-5.200000
26,2021-08-31 17:00:00,113.8,124.0,-10.200000
27,2021-07-27 17:00:00,129.1,123.9,5.200000
28,2021-06-29 17:00:00,127.3,119.0,8.300000
29,2021-05-25 17:00:00,117.2,119.2,-2.000000
30,2021-04-27 17:00:00,121.7,113.0,8.700000
31,2021-03-30 17:00:00,109.7,96.9,12.800000
32,2021-02-23 17:00:00,91.3,90.0,1.300000
33,2021-01-26 17:00:00,89.3,89.0,0.300000
34,2020-12-22 17:00:00,88.6,97.0,-8.400000
35,2020-11-24 17:00:00,96.1,98.0,-1.900000
36,2020-10-27 17:00:00,100.9,102.0,-1.100000
37,2020-09-29 17:00:00,101.8,89.2,12.600000
38,2020-08-25 17:00:00,84.8,93.0,-8.200000
39,2020-07-28 17:00:00,92.6,94.5,-1.900000
40,2020-06-30 17:00:00,98.1,91.8,6.300000
41,2020-05-26 17:00:00,86.6,88.0,-1.400000
42,2020-04-28 17:00:00,86.9,87.9,-1.000000
43,2020-03-31 17:00:00,120.0,110.0,10.000000
44,2020-02-25 17:00:00,130.7,132.0,-1.300000
45,2020-01-28 17:00:00,131.6,128.0,3.600000
46,2019-12-31 17:00:00,126.5,128.2,-1.700000
47,2019-11-26 17:00:00,125.5,127.0,-1.500000
48,2019-10-29 17:00:00,125.9,128.0,-2.100000
49,2019-09-24 17:00:00,125.1,134.1,-9.000000
50,2019-08-27 17:00:00,135.1,129.5,5.600000
51,2019-07-30 17:00:00,135.7,125.0,10.700000
52,2019-06-25 17:00:00,121.5,131.1,-9.600000
53,2019-05-28 17:00:00,134.1,130.1,4.000000
54,2019-04-30 17:00:00,129.2,126.0,3.200000
55,2019-03-26 17:00:00,124.1,132.0,-7.900000
56,2019-02-26 17:00:00,131.4,124.7,6.700000
57,2019-01-29 17:00:00,120.2,124.7,-4.500000
58,2018-12-27 17:00:00,128.1,133.7,-5.600000
59,2018-11-27 17:00:00,135.7,135.9,-0.200000
60,2018-10-30 17:00:00,137.9,136.0,1.900000
61,2018-09-25 17:00:00,138.4,132.2,6.200000
62,2018-08-28 17:00:00,133.4,126.7,6.700000
63,2018-07-31 17:00:00,127.4,126.5,0.900000
64,2018-06-26 17:00:00,126.4,127.6,-1.200000
65,2018-05-29 17:00:00,128.0,128.2,-0.200000
66,2018-04-24 17:00:00,128.7,126.0,2.700000
67,2018-03-27 17:00:00,127.7,131.0,-3.300000
68,2018-02-27 17:00:00,130.8,126.2,4.600000
69,2018-01-30 17:00:00,125.4,123.1,2.300000
70,2017-12-27 17:00:00,122.1,128.0,-5.900000
71,2017-11-28 17:00:00,129.5,124.0,5.500000
72,2017-10-31 17:00:00,125.9,121.0,4.900000
73,2017-09-26 17:00:00,119.8,120.0,-0.200000
74,2017-08-29 17:00:00,122.9,120.3,2.600000
75,2017-07-25 17:00:00,121.1,116.5,4.600000
76,2017-06-27 17:00:00,118.9,116.0,2.900000
77,2017-05-30 17:00:00,117.9,119.8,-1.900000
78,2017-04-25 17:00:00,120.3,122.5,-2.200000
79,2017-03-28 17:00:00,125.6,114.0,11.600000
80,2017-02-28 17:00:00,114.8,111.0,3.800000
81,2017-01-31 17:00:00,111.8,113.0,-1.200000
82,2016-12-27 17:00:00,113.7,109.0,4.700000
83,2016-11-29 17:00:00,107.1,101.2,5.900000
84,2016-10-25 17:00:00,98.6,101.0,-2.400000
