,Date,Actual,Consensus,Difference
0,2023-11-15 17:30:00,3.6,1.793,1.807000
1,2023-11-01 17:30:00,0.774,1.261,-0.487000
2,2023-10-25 17:30:00,1.371,0.239,1.132000
3,2023-10-18 17:30:00,-4.491,-0.3,-4.191000
4,2023-10-12 18:00:00,10.176,0.492,9.684000
5,2023-10-04 17:30:00,-2.224,-0.446,-1.778000
6,2023-09-27 17:30:00,-2.17,-1.32,-0.850000
7,2023-09-20 17:30:00,-2.135,-2.2,0.065000
8,2023-09-13 17:30:00,3.954,-1.912,5.866000
9,2023-09-07 18:00:00,-6.307,-2.064,-4.243000
10,2023-08-30 17:30:00,-10.584,-3.267,-7.317000
11,2023-08-23 17:30:00,-6.135,-2.85,-3.285000
12,2023-08-16 17:30:00,-5.96,-2.32,-3.640000
13,2023-08-09 17:30:00,5.851,0.567,5.284000
14,2023-08-02 17:30:00,-17.049,-1.367,-15.682000
15,2023-07-26 17:30:00,-0.6,-2.348,1.748000
16,2023-07-19 17:30:00,-0.708,-2.44,1.732000
17,2023-07-12 17:30:00,5.946,0.483,5.463000
18,2023-07-06 18:00:00,-1.508,-0.983,-0.525000
19,2023-06-28 17:30:00,-9.603,-1.757,-7.846000
20,2023-06-22 18:00:00,-3.831,0.329,-4.160000
21,2023-06-14 17:30:00,7.919,1.482,6.437000
22,2023-06-07 17:30:00,-0.451,1.022,-1.473000
23,2023-06-01 18:00:00,4.488,-1.101,5.589000
24,2023-05-24 17:30:00,-12.456,-0.92,-11.536000
25,2023-05-17 17:30:00,5.04,-0.92,5.960000
26,2023-05-10 17:30:00,2.951,-0.917,3.868000
27,2023-05-03 17:30:00,-1.28,-1.1,-0.180000
28,2023-04-26 17:30:00,-5.054,-1.486,-3.568000
29,2023-04-19 17:30:00,-4.581,-1.088,-3.493000
30,2023-04-12 17:30:00,0.597,-0.583,1.180000
31,2023-04-05 17:30:00,-3.739,-2.329,-1.410000
32,2023-03-29 17:30:00,-7.489,0.092,-7.581000
33,2023-03-22 17:30:00,1.117,-1.565,2.682000
34,2023-03-15 17:30:00,1.55,1.188,0.362000
35,2023-03-08 17:30:00,-1.694,0.395,-2.089000
