,Date,Actual,Consensus,Difference
0,2023-11-14 23:30:00,1.335,1.4,-0.065000
1,2023-11-08 00:00:00,11.9,-0.3,12.200000
2,2023-10-31 23:30:00,1.347,1.601,-0.254000
3,2023-10-24 23:30:00,-2.668,1.55,-4.218000
4,2023-10-17 23:30:00,-4.383,-1.267,-3.116000
5,2023-10-11 23:30:00,12.94,1.3,11.640000
6,2023-10-03 23:30:00,-4.21,-0.092,-4.118000
7,2023-09-26 23:30:00,1.586,-1.65,3.236000
8,2023-09-19 23:30:00,-5.25,-2.667,-2.583000
9,2023-09-12 23:30:00,1.174,-2.0,3.174000
10,2023-09-06 23:30:00,-5.521,-1.429,-4.092000
11,2023-08-29 23:30:00,-11.486,-2.9,-8.586000
12,2023-08-22 23:30:00,-2.418,-2.9,0.482000
13,2023-08-15 23:30:00,-6.195,-2.05,-4.145000
14,2023-08-08 23:30:00,4.067,-0.233,4.300000
15,2023-08-01 23:30:00,-15.4,-0.9,-14.500000
16,2023-07-25 23:30:00,1.319,-1.969,3.288000
17,2023-07-18 23:30:00,-0.797,-2.25,1.453000
18,2023-07-11 23:30:00,3.026,0.2,2.826000
19,2023-07-05 23:30:00,-4.382,-1.8,-2.582000
20,2023-06-27 23:30:00,-2.408,-1.467,-0.941000
21,2023-06-21 23:30:00,-1.246,-0.433,-0.813000
22,2023-06-13 23:30:00,1.024,-1.291,2.315000
23,2023-06-06 23:30:00,-1.71,1.5,-3.210000
24,2023-05-31 23:30:00,5.202,-1.22,6.422000
25,2023-05-23 23:30:00,-6.799,0.525,-7.324000
26,2023-05-16 23:30:00,3.69,-1.3,4.990000
27,2023-05-09 23:30:00,3.618,-1.6,5.218000
28,2023-05-02 23:30:00,-3.939,-1.0,-2.939000
29,2023-04-25 23:30:00,-6.083,-1.667,-4.416000
30,2023-04-18 23:30:00,-2.675,-2.464,-0.211000
31,2023-04-11 23:30:00,0.377,-1.3,1.677000
32,2023-04-04 23:30:00,-4.346,-1.8,-2.546000
33,2023-03-28 23:30:00,-6.076,0.187,-6.263000
34,2023-03-21 23:30:00,3.262,-1.448,4.710000
35,2023-03-14 23:30:00,1.155,0.555,0.600000
36,2023-03-07 23:30:00,-3.835,-0.308,-3.527000
37,2023-02-28 23:30:00,6.203,0.44,5.763000
38,2023-02-22 23:30:00,9.895,1.233,8.662000
39,2023-02-14 23:30:00,10.507,0.321,10.186000
40,2023-02-07 23:30:00,-2.184,2.15,-4.334000
41,2023-01-31 23:30:00,6.33,-1.0,7.330000
42,2023-01-24 23:30:00,3.378,1.6,1.778000
43,2023-01-18 23:30:00,7.615,-1.75,9.365000
44,2023-01-10 23:30:00,14.865,-2.375,17.240000
45,2022-12-20 23:30:00,-3.069,-0.167,-2.902000
46,2022-12-13 23:30:00,7.819,-3.913,11.732000
47,2022-12-06 23:30:00,-6.426,-3.884,-2.542000
48,2022-11-29 23:30:00,-7.85,-2.487,-5.363000
49,2022-11-22 23:30:00,-4.819,-2.2,-2.619000
50,2022-11-15 23:30:00,-5.835,-0.4,-5.435000
51,2022-11-08 23:30:00,5.618,1.1,4.518000
52,2022-11-01 23:30:00,-6.53,0.267,-6.797000
53,2022-10-25 23:30:00,4.52,0.2,4.320000
54,2022-10-18 23:30:00,-1.27,1.551,-2.821000
55,2022-10-04 23:30:00,-1.77,1.966,-3.736000
56,2022-09-27 23:30:00,4.15,0.333,3.817000
57,2022-09-20 23:30:00,1.035,2.321,-1.286000
58,2022-09-13 23:30:00,6.035,-0.2,6.235000
59,2022-09-07 23:30:00,3.645,-0.733,4.378000
60,2022-08-30 23:30:00,0.593,-0.633,1.226000
61,2022-08-23 23:30:00,-5.632,-0.45,-5.182000
62,2022-08-16 23:30:00,-0.448,-0.117,-0.331000
63,2022-08-09 23:30:00,2.156,0.073,2.083000
64,2022-08-02 23:30:00,2.165,-0.467,2.632000
65,2022-07-26 23:30:00,-4.037,-1.121,-2.916000
66,2022-07-19 23:30:00,1.86,0.333,1.527000
67,2022-07-12 23:30:00,4.762,-1.933,6.695000
68,2022-07-06 23:30:00,3.825,-1.1,4.925000
69,2022-06-28 23:30:00,-3.799,-0.11,-3.689000
70,2022-06-22 23:30:00,5.607,-1.433,7.040000
71,2022-06-14 23:30:00,0.736,-1.2,1.936000
72,2022-06-07 23:30:00,1.845,-1.8,3.645000
73,2022-06-01 23:30:00,-1.181,-0.067,-1.114000
74,2022-05-24 23:30:00,0.567,-0.69,1.257000
75,2022-05-17 23:30:00,-2.445,1.533,-3.978000
76,2022-05-10 23:30:00,1.618,-0.457,2.075000
77,2022-05-03 23:30:00,-3.479,-1.167,-2.312000
78,2022-04-26 23:30:00,4.78,2.167,2.613000
79,2022-04-19 23:30:00,-4.496,2.533,-7.029000
80,2022-04-12 23:30:00,7.757,1.367,6.390000
81,2022-04-05 23:30:00,1.08,-1.558,2.638000
82,2022-03-29 23:30:00,-3.0,-1.558,-1.442000
83,2022-03-22 23:30:00,-4.28,0.025,-4.305000
84,2022-03-15 23:30:00,3.754,-1.867,5.621000
85,2022-03-08 23:30:00,2.811,-0.833,3.644000
86,2022-03-01 23:30:00,-6.1,2.796,-8.896000
87,2022-02-23 23:30:00,5.983,0.767,5.216000
88,2022-02-15 23:30:00,-1.076,-1.769,0.693000
89,2022-02-08 23:30:00,-2.025,0.675,-2.700000
90,2022-02-01 23:30:00,-1.645,1.833,-3.478000
