,Date,Actual,Consensus,Difference
0,2023-10-26 15:30:00,4.7,1.7,3.000000
1,2023-09-27 15:30:00,0.2,-0.5,0.700000
2,2023-08-24 15:30:00,-5.2,-4.0,-1.200000
3,2023-07-27 15:30:00,4.7,1.0,3.700000
4,2023-06-27 15:30:00,1.7,-1.0,2.700000
5,2023-05-26 15:30:00,1.1,-1.0,2.100000
6,2023-04-26 15:30:00,3.2,0.7,2.500000
7,2023-03-24 15:30:00,-1.0,0.6,-1.600000
8,2023-02-27 15:30:00,-4.5,-4.0,-0.500000
9,2023-01-26 15:30:00,5.6,2.5,3.100000
10,2022-12-23 15:30:00,-2.1,-0.6,-1.500000
11,2022-11-23 15:30:00,1.0,0.4,0.600000
12,2022-10-27 15:30:00,0.4,0.6,-0.200000
13,2022-09-27 15:30:00,-0.2,-0.4,0.200000
14,2022-08-24 15:30:00,0.0,0.6,-0.600000
15,2022-07-27 15:30:00,1.9,-0.5,2.400000
16,2022-06-27 15:30:00,0.7,0.1,0.600000
17,2022-05-25 15:30:00,0.4,0.6,-0.200000
18,2022-04-26 15:30:00,0.8,1.0,-0.200000
19,2022-03-24 15:30:00,-2.2,-0.5,-1.700000
20,2022-02-25 15:30:00,1.6,0.8,0.800000
21,2022-01-27 15:30:00,-0.9,-0.5,-0.400000
22,2021-12-23 15:30:00,2.5,1.6,0.900000
23,2021-11-24 15:30:00,-0.5,0.2,-0.700000
24,2021-10-27 15:30:00,-0.4,-1.1,0.700000
25,2021-09-27 15:30:00,1.8,0.7,1.100000
26,2021-08-25 15:30:00,-0.1,-0.3,0.200000
27,2021-07-27 15:30:00,0.8,2.1,-1.300000
28,2021-06-24 15:30:00,2.3,2.8,-0.500000
29,2021-05-27 15:30:00,-1.3,0.7,-2.000000
30,2021-04-26 15:30:00,0.5,2.5,-2.000000
31,2021-03-24 15:30:00,-1.1,0.8,-1.900000
32,2021-02-25 15:30:00,3.4,1.1,2.300000
33,2021-01-27 15:30:00,0.2,0.9,-0.700000
34,2020-12-23 15:30:00,0.9,0.6,0.300000
35,2020-11-25 14:30:00,1.3,0.9,0.400000
36,2020-10-27 15:30:00,1.9,0.5,1.400000
37,2020-09-25 15:30:00,0.4,1.5,-1.100000
38,2020-08-26 15:30:00,11.2,4.3,6.900000
39,2020-07-27 15:30:00,7.3,7.2,0.100000
40,2020-06-25 15:30:00,15.8,10.9,4.900000
41,2020-05-28 15:30:00,-17.2,-19.0,1.800000
42,2020-04-24 15:30:00,-14.4,-11.9,-2.500000
43,2020-03-25 15:30:00,1.2,-0.8,2.000000
44,2020-02-27 15:30:00,-0.2,-1.5,1.300000
45,2020-01-28 15:30:00,2.4,0.4,2.000000
46,2019-12-23 15:30:00,-2.0,1.5,-3.500000
47,2019-11-27 15:30:00,0.6,-0.5,1.100000
48,2019-10-24 15:30:00,-1.1,-0.5,-0.600000
49,2019-09-27 15:30:00,0.2,-1.1,1.300000
50,2019-08-26 15:30:00,2.1,1.1,1.000000
51,2019-07-25 15:30:00,2.0,0.8,1.200000
52,2019-06-26 15:30:00,-1.3,0.0,-1.300000
53,2019-05-24 15:30:00,-2.1,-2.0,-0.100000
54,2019-04-25 15:30:00,2.7,0.7,2.000000
55,2019-04-02 15:30:00,-1.6,-1.1,-0.500000
56,2019-03-13 15:30:00,0.4,-0.5,0.900000
57,2019-02-21 15:30:00,1.2,0.8,0.400000
58,2018-12-21 15:30:00,0.8,1.6,-0.800000
59,2018-11-21 15:30:00,-4.4,-2.2,-2.200000
60,2018-10-25 15:30:00,0.8,-1.3,2.100000
61,2018-09-27 15:30:00,4.5,1.9,2.600000
