,Date,Actual,Consensus,Difference
0,2023-10-26 15:30:00,0.5,0.2,0.300000
1,2023-09-27 15:30:00,0.4,0.1,0.300000
2,2023-08-24 15:30:00,0.5,0.2,0.300000
3,2023-07-27 15:30:00,0.6,0.0,0.600000
4,2023-06-27 15:30:00,0.6,-0.1,0.700000
5,2023-05-26 15:30:00,-0.2,0.0,-0.200000
6,2023-04-26 15:30:00,0.3,-0.2,0.500000
7,2023-03-24 15:30:00,0.0,0.2,-0.200000
8,2023-02-27 15:30:00,0.7,0.1,0.600000
9,2023-01-26 15:30:00,-0.1,-0.2,0.100000
10,2022-12-23 15:30:00,0.2,0.1,0.100000
11,2022-11-23 15:30:00,0.5,0.1,0.400000
12,2022-10-27 15:30:00,-0.5,0.2,-0.700000
13,2022-09-27 15:30:00,0.2,0.2,0.000000
14,2022-08-24 15:30:00,0.3,0.2,0.100000
15,2022-07-27 15:30:00,0.3,0.2,0.100000
16,2022-06-27 15:30:00,0.7,0.3,0.400000
17,2022-05-25 15:30:00,0.3,0.6,-0.300000
18,2022-04-26 15:30:00,1.1,0.6,0.500000
19,2022-03-24 15:30:00,-0.6,0.6,-1.200000
20,2022-02-25 15:30:00,0.7,0.4,0.300000
21,2022-01-27 15:30:00,0.4,0.4,0.000000
22,2021-12-23 15:30:00,0.8,0.6,0.200000
23,2021-11-24 15:30:00,0.5,0.5,0.000000
24,2021-10-27 15:30:00,0.4,0.4,0.000000
25,2021-09-27 15:30:00,0.2,0.5,-0.300000
26,2021-08-25 15:30:00,0.7,0.5,0.200000
27,2021-07-27 15:30:00,0.3,0.8,-0.500000
28,2021-06-24 15:30:00,0.3,0.8,-0.500000
29,2021-05-27 15:30:00,1.0,0.8,0.200000
30,2021-04-26 15:30:00,1.6,1.6,0.000000
31,2021-03-24 15:30:00,-0.9,0.6,-1.500000
32,2021-02-25 15:30:00,1.4,0.7,0.700000
33,2021-01-27 15:30:00,0.7,0.5,0.200000
34,2020-12-23 15:30:00,0.4,0.5,-0.100000
35,2020-11-25 15:30:00,1.3,0.5,0.800000
36,2020-10-27 15:30:00,0.8,0.4,0.400000
37,2020-09-25 15:30:00,0.4,1.2,-0.800000
38,2020-08-26 15:30:00,2.4,2.0,0.400000
39,2020-07-27 15:30:00,3.3,3.5,-0.200000
40,2020-06-25 15:30:00,4.0,2.5,1.500000
41,2020-05-28 15:30:00,-7.4,-14.0,6.600000
42,2020-04-24 15:30:00,-0.2,-5.8,5.600000
43,2020-03-25 15:30:00,-0.6,-0.4,-0.200000
44,2020-02-27 15:30:00,0.9,0.2,0.700000
45,2020-01-28 15:30:00,-0.1,0.2,-0.300000
46,2019-12-23 15:30:00,0.0,0.1,-0.100000
47,2019-11-27 15:30:00,0.6,0.2,0.400000
48,2019-10-24 15:30:00,-0.3,-0.2,-0.100000
49,2019-09-27 15:30:00,0.5,0.2,0.300000
50,2019-08-26 15:30:00,-0.4,0.1,-0.500000
51,2019-07-25 15:30:00,1.2,0.2,1.000000
52,2019-06-26 15:30:00,0.3,0.1,0.200000
53,2019-05-24 15:30:00,0.0,0.2,-0.200000
54,2019-04-25 15:30:00,0.4,0.2,0.200000
55,2019-04-02 15:30:00,0.1,0.3,-0.200000
56,2019-03-13 15:30:00,-0.1,0.1,-0.200000
57,2019-02-21 15:30:00,0.1,0.2,-0.100000
58,2018-12-21 15:30:00,-0.3,0.3,-0.600000
59,2018-11-21 15:30:00,0.1,0.4,-0.300000
60,2018-10-25 15:30:00,0.1,0.5,-0.400000
61,2018-09-27 15:30:00,0.1,0.4,-0.300000
62,2018-08-24 15:30:00,0.2,0.5,-0.300000
63,2018-07-26 15:30:00,0.4,0.5,-0.100000
64,2018-06-27 15:30:00,-0.3,0.5,-0.800000
65,2018-05-25 15:30:00,0.9,0.5,0.400000
66,2018-04-26 15:30:00,0.0,0.5,-0.500000
67,2018-03-23 15:30:00,1.2,0.5,0.700000
68,2018-02-27 15:30:00,-0.3,0.4,-0.700000
69,2018-01-26 15:30:00,0.6,0.5,0.100000
70,2017-12-22 15:30:00,-0.1,0.5,-0.600000
71,2017-11-22 15:30:00,0.4,0.5,-0.100000
72,2017-10-25 15:30:00,0.7,0.5,0.200000
73,2017-09-27 15:30:00,0.2,0.2,0.000000
74,2017-08-25 15:30:00,0.5,0.4,0.100000
75,2017-07-27 15:30:00,0.2,0.4,-0.200000
76,2017-06-26 15:30:00,0.1,0.5,-0.400000
77,2017-05-26 15:30:00,-0.4,0.5,-0.900000
78,2017-04-27 15:30:00,-0.2,0.4,-0.600000
79,2017-03-24 15:30:00,0.4,0.5,-0.100000
80,2017-02-27 15:30:00,-0.2,0.5,-0.700000
81,2017-01-27 15:30:00,0.5,0.5,0.000000
82,2016-12-22 15:30:00,0.5,0.2,0.300000
