,Date,Actual,Consensus,Difference
0,2023-11-02 17:00:00,2.8,2.4,0.400000
1,2023-10-04 17:00:00,1.2,0.2,1.000000
2,2023-09-05 17:00:00,-2.1,-2.5,0.400000
3,2023-08-03 17:00:00,2.3,2.2,0.100000
4,2023-07-05 17:00:00,0.3,0.8,-0.500000
5,2023-06-05 17:00:00,0.4,0.8,-0.400000
6,2023-05-02 17:00:00,0.9,1.1,-0.200000
7,2023-04-04 17:00:00,-0.7,-0.5,-0.200000
8,2023-03-06 17:00:00,-1.6,-1.8,0.200000
9,2023-02-02 17:00:00,1.8,2.3,-0.500000
10,2023-01-06 17:00:00,-1.8,-0.8,-1.000000
11,2022-12-05 17:00:00,1.0,0.7,0.300000
12,2022-11-03 17:00:00,0.3,0.3,0.000000
13,2022-10-04 17:00:00,0.0,0.2,-0.200000
14,2022-09-02 17:00:00,-1.0,0.2,-1.200000
15,2022-08-03 17:00:00,2.0,1.1,0.900000
16,2022-07-05 17:00:00,1.6,0.5,1.100000
17,2022-06-02 17:00:00,0.3,0.7,-0.400000
18,2022-05-03 17:00:00,2.2,1.1,1.100000
19,2022-04-04 17:00:00,-0.5,-0.5,0.000000
20,2022-03-03 17:00:00,1.4,0.5,0.900000
21,2022-02-03 17:00:00,-0.4,-0.2,-0.200000
22,2022-01-06 17:00:00,1.6,1.5,0.100000
23,2021-12-03 17:00:00,1.0,0.5,0.500000
24,2021-11-03 17:00:00,0.2,0.1,0.100000
25,2021-10-04 17:00:00,1.2,1.0,0.200000
26,2021-09-02 17:00:00,0.4,0.3,0.100000
27,2021-08-03 17:00:00,1.5,1.0,0.500000
28,2021-07-02 17:00:00,1.7,1.6,0.100000
29,2021-06-04 17:00:00,-0.6,-0.2,-0.400000
30,2021-05-04 17:00:00,1.1,1.3,-0.200000
31,2021-04-05 17:00:00,-0.8,-0.5,-0.300000
32,2021-03-04 17:00:00,2.6,2.1,0.500000
33,2021-02-04 17:00:00,1.1,0.7,0.400000
34,2021-01-06 17:00:00,1.0,0.7,0.300000
35,2020-12-04 17:00:00,1.0,0.8,0.200000
36,2020-11-03 17:00:00,1.1,1.0,0.100000
37,2020-10-02 17:00:00,0.7,1.0,-0.300000
38,2020-09-02 17:00:00,6.4,6.0,0.400000
39,2020-08-04 17:00:00,6.2,5.0,1.200000
40,2020-07-02 17:00:00,8.0,8.9,-0.900000
41,2020-06-03 17:00:00,-13.0,-14.0,1.000000
42,2020-05-04 17:00:00,-10.3,-9.7,-0.600000
43,2020-04-02 17:00:00,0.0,0.2,-0.200000
44,2020-03-05 17:00:00,-0.5,-0.1,-0.400000
45,2020-02-04 17:00:00,1.8,1.2,0.600000
46,2020-01-07 17:00:00,-0.7,-0.8,0.100000
47,2019-12-05 17:00:00,0.3,0.3,0.000000
48,2019-11-04 17:00:00,-0.6,-0.5,-0.100000
49,2019-10-03 17:00:00,-0.1,-0.2,0.100000
50,2019-09-05 17:00:00,1.4,1.0,0.400000
51,2019-08-02 17:00:00,0.6,0.8,-0.200000
52,2019-07-03 17:00:00,-0.7,-0.4,-0.300000
53,2019-06-04 17:00:00,-0.8,-0.9,0.100000
54,2019-05-02 17:00:00,1.9,1.0,0.900000
55,2019-04-08 17:00:00,-0.5,-0.5,0.000000
56,2019-03-19 17:00:00,0.1,0.3,-0.200000
57,2019-02-27 17:00:00,0.1,1.5,-1.400000
58,2019-02-04 17:00:00,-0.6,0.3,-0.900000
59,2018-12-06 17:00:00,-2.1,-1.9,-0.200000
60,2018-11-02 17:00:00,0.7,0.5,0.200000
61,2018-10-04 17:00:00,2.3,2.1,0.200000
62,2018-09-06 17:00:00,-0.8,-0.6,-0.200000
63,2018-08-02 17:00:00,0.7,0.7,0.000000
64,2018-07-03 17:00:00,0.4,0.1,0.300000
65,2018-06-04 17:00:00,-0.8,-0.5,-0.300000
66,2018-05-03 17:00:00,1.6,1.3,0.300000
67,2018-04-04 17:00:00,1.2,1.7,-0.500000
68,2018-03-06 17:00:00,-1.4,-1.3,-0.100000
69,2018-02-02 17:00:00,1.7,1.5,0.200000
70,2018-01-05 17:00:00,1.3,1.1,0.200000
71,2017-12-04 17:00:00,-0.1,-0.4,0.300000
72,2017-11-03 17:00:00,1.4,1.3,0.100000
73,2017-10-05 17:00:00,1.2,1.0,0.200000
74,2017-09-05 17:00:00,-3.3,-3.3,0.000000
75,2017-08-03 17:00:00,3.0,2.9,0.100000
76,2017-07-05 17:00:00,-0.8,-0.5,-0.300000
77,2017-06-05 17:00:00,-0.2,-0.2,0.000000
78,2017-05-04 17:00:00,0.2,0.4,-0.200000
79,2017-04-04 17:00:00,1.0,1.0,0.000000
80,2017-03-06 17:00:00,1.2,1.0,0.200000
81,2017-02-03 17:00:00,1.3,1.0,0.300000
82,2017-01-06 17:00:00,-2.4,-2.2,-0.200000
83,2016-12-06 17:00:00,2.7,2.6,0.100000
84,2016-11-03 17:00:00,0.3,0.2,0.100000
85,2016-10-05 17:00:00,0.2,-0.1,0.300000
86,2016-09-02 17:00:00,1.9,2.0,-0.100000
87,2016-08-04 17:00:00,-1.5,-1.8,0.300000
88,2016-07-05 17:00:00,-1.0,-0.9,-0.100000
89,2016-06-03 17:00:00,1.9,0.9,1.000000
90,2016-05-04 17:00:00,1.1,0.6,0.500000
91,2016-04-04 17:00:00,-1.7,-1.7,0.000000
92,2016-03-03 17:00:00,1.6,2.0,-0.400000
93,2016-02-04 17:00:00,-2.9,-2.8,-0.100000
94,2016-01-06 17:00:00,-0.2,-0.2,0.000000
95,2015-12-03 17:00:00,1.5,1.4,0.100000
96,2015-11-03 17:00:00,-1.0,-0.9,-0.100000
97,2015-10-02 17:00:00,-1.7,-1.2,-0.500000
98,2015-09-02 17:00:00,0.4,0.9,-0.500000
99,2015-08-04 17:00:00,1.8,1.8,0.000000
100,2015-07-02 17:00:00,-1.0,-0.5,-0.500000
101,2015-06-02 17:00:00,-0.4,0.2,-0.600000
102,2015-05-04 17:00:00,2.1,2.0,0.100000
103,2015-04-02 17:00:00,0.2,-0.5,0.700000
104,2015-03-05 17:00:00,-0.2,0.2,-0.400000
105,2015-02-03 17:00:00,-3.4,-2.2,-1.200000
106,2015-01-06 17:00:00,-0.7,-0.5,-0.200000
107,2014-12-05 17:00:00,-0.7,-0.2,-0.500000
108,2014-11-04 17:00:00,-0.6,-0.6,0.000000
109,2014-10-02 17:00:00,-10.1,-9.3,-0.800000
110,2014-09-03 17:00:00,10.5,11.0,-0.500000
111,2014-08-05 17:00:00,1.1,0.6,0.500000
112,2014-07-02 17:00:00,-0.5,-0.3,-0.200000
113,2014-06-03 17:00:00,0.7,0.5,0.200000
114,2014-05-02 17:00:00,1.1,1.4,-0.300000
115,2014-04-02 17:00:00,1.6,1.2,0.400000
116,2014-03-06 17:00:00,-0.7,-0.4,-0.300000
117,2014-02-04 17:00:00,-1.5,-1.7,0.200000
118,2014-01-06 17:00:00,1.8,1.8,0.000000
119,2013-12-05 17:00:00,-0.9,-1.0,0.100000
120,2013-11-04 17:00:00,-0.1,0.3,-0.400000
121,2013-11-04 17:00:00,1.7,1.7,0.000000
122,2013-09-05 17:00:00,-2.4,-3.3,0.900000
123,2013-08-02 17:00:00,1.5,2.3,-0.800000
124,2013-07-02 17:00:00,2.1,2.0,0.100000
125,2013-06-05 17:00:00,1.0,1.5,-0.500000
126,2013-05-03 17:00:00,-4.0,-2.6,-1.400000
127,2013-04-02 17:00:00,3.0,2.9,0.100000
128,2013-03-06 17:00:00,-2.0,-2.2,0.200000
129,2013-02-04 17:00:00,1.8,2.2,-0.400000
130,2013-01-04 17:00:00,0.0,0.4,-0.400000
131,2012-12-05 17:00:00,0.8,0.1,0.700000
132,2012-11-02 17:00:00,4.8,4.6,0.200000
133,2012-10-04 17:00:00,-5.2,-5.8,0.600000
134,2012-08-31 17:00:00,2.8,1.9,0.900000
135,2012-08-02 17:00:00,-0.5,0.5,-1.000000
136,2012-07-03 17:00:00,0.7,0.2,0.500000
137,2012-06-04 17:00:00,-0.6,0.2,-0.800000
138,2012-05-02 17:00:00,-1.5,-1.6,0.100000
139,2012-04-03 17:00:00,1.3,1.5,-0.200000
140,2012-03-05 17:00:00,-1.0,-1.3,0.300000
141,2012-02-03 17:00:00,1.1,1.5,-0.400000
142,2012-01-04 17:00:00,1.8,1.9,-0.100000
143,2011-12-05 17:00:00,-0.4,-0.3,-0.100000
144,2011-11-03 17:00:00,0.3,-0.1,0.400000
145,2011-10-04 17:00:00,-0.2,-0.1,-0.100000
146,2011-08-31 17:00:00,2.4,1.0,1.400000
147,2011-08-03 17:00:00,-0.8,-0.5,-0.300000
148,2011-07-05 17:00:00,0.8,1.0,-0.200000
149,2011-06-02 17:00:00,-1.2,-0.6,-0.600000
150,2011-05-03 17:00:00,3.0,1.9,1.100000
151,2011-03-31 17:00:00,-0.1,0.5,-0.600000
152,2011-03-04 17:00:00,3.1,2.1,1.000000
153,2011-02-03 17:00:00,0.2,-0.5,0.700000
154,2011-01-04 17:00:00,0.7,-0.4,1.100000
155,2010-12-03 17:00:00,-0.9,-1.2,0.300000
156,2010-11-03 17:00:00,2.1,0.6,1.500000
157,2010-10-04 17:00:00,-0.5,-0.4,-0.100000
158,2010-09-02 17:00:00,0.1,0.3,-0.200000
159,2010-08-03 17:00:00,-1.2,-0.5,-0.700000
160,2010-07-02 17:00:00,-1.4,-0.7,-0.700000
161,2010-06-03 17:00:00,1.2,1.7,-0.500000
162,2010-05-04 17:00:00,1.3,-0.1,1.400000
163,2010-03-31 17:00:00,0.6,0.5,0.100000
164,2010-03-04 17:00:00,1.7,1.2,0.500000
165,2010-02-04 17:00:00,1.0,0.6,0.400000
166,2010-01-05 17:00:00,1.1,0.5,0.600000
167,2009-12-04 17:00:00,0.6,0.1,0.500000
168,2009-11-03 17:00:00,0.9,1.0,-0.100000
169,2009-10-02 17:00:00,-0.8,-0.1,-0.700000
170,2009-09-02 17:00:00,1.3,1.5,-0.200000
171,2009-08-05 17:00:00,0.4,-0.5,0.900000
172,2009-07-02 17:00:00,1.2,0.5,0.700000
173,2009-06-03 17:00:00,0.7,0.7,0.000000
174,2009-05-01 17:00:00,-0.9,-0.7,-0.200000
175,2009-04-02 17:00:00,1.8,1.5,0.300000
176,2009-03-05 17:00:00,-1.9,-3.5,1.600000
177,2009-02-05 17:00:00,-3.9,-3.1,-0.800000
178,2009-01-06 17:00:00,-4.6,-2.8,-1.800000
179,2008-12-04 17:00:00,-5.1,-4.0,-1.100000
180,2008-11-04 17:00:00,-2.5,-1.0,-1.500000
181,2008-10-02 17:00:00,-4.0,-2.6,-1.400000
182,2008-09-03 17:00:00,1.3,1.0,0.300000
183,2008-08-04 17:00:00,1.7,0.7,1.000000
184,2008-07-02 17:00:00,0.6,0.4,0.200000
185,2008-06-03 18:00:00,1.1,0.0,1.100000
186,2008-05-02 17:00:00,1.4,0.2,1.200000
187,2008-04-02 17:00:00,-1.3,-0.8,-0.500000
188,2008-03-05 17:00:00,-2.5,-2.3,-0.200000
