,Date,Actual,Consensus,Difference
0,2023-11-13 21:00:00,-67.0,-65.0,-2.000000
1,2023-10-20 21:00:00,-171.0,-78.6,-92.400000
2,2023-09-13 21:00:00,89.3,-240.0,329.300000
3,2023-08-10 21:00:00,-221.0,-109.3,-111.700000
4,2023-07-13 21:00:00,-228.0,-175.0,-53.000000
5,2023-06-12 21:00:00,-240.0,-236.0,-4.000000
6,2023-05-10 21:00:00,176.0,235.0,-59.000000
7,2023-04-12 21:00:00,-378.0,-302.0,-76.000000
8,2023-03-10 21:00:00,-262.0,-256.0,-6.000000
9,2023-02-10 21:00:00,-39.0,-63.0,24.000000
10,2023-01-12 21:00:00,-85.0,-70.0,-15.000000
11,2022-12-12 21:00:00,-249.0,-248.0,-1.000000
12,2022-11-10 21:00:00,-88.0,-90.0,2.000000
13,2022-10-21 21:00:00,-430.0,-173.5,-256.500000
14,2022-09-13 21:00:00,-220.0,-213.5,-6.500000
15,2022-08-10 21:00:00,-211.0,-194.0,-17.000000
16,2022-07-13 21:00:00,-89.0,-76.5,-12.500000
17,2022-06-10 21:00:00,-66.0,-120.0,54.000000
18,2022-05-11 21:00:00,308.0,226.0,82.000000
19,2022-04-12 21:00:00,-193.0,-191.0,-2.000000
20,2022-03-10 21:00:00,-217.0,-49.5,-167.500000
21,2022-02-10 21:00:00,119.0,25.0,94.000000
22,2022-01-12 21:00:00,-21.0,-25.0,4.000000
23,2021-12-10 21:00:00,-191.0,-195.0,4.000000
24,2021-11-10 21:00:00,-165.0,-179.0,14.000000
25,2021-09-13 21:00:00,-171.0,-173.0,2.000000
26,2021-08-11 21:00:00,-302.0,-307.0,5.000000
27,2021-07-13 21:00:00,-174.0,-194.0,20.000000
28,2021-05-12 21:00:00,-226.0,-220.0,-6.000000
29,2021-04-12 21:00:00,-660.0,-658.0,-2.000000
30,2021-03-10 21:00:00,-311.0,-265.0,-46.000000
31,2021-02-10 21:00:00,-163.0,-150.0,-13.000000
32,2021-01-13 21:00:00,-144.0,-200.0,56.000000
33,2020-12-10 21:00:00,-145.0,-200.0,55.000000
34,2020-11-12 21:00:00,-284.0,-274.5,-9.500000
35,2020-10-16 21:00:00,-125.0,-124.0,-1.000000
36,2020-09-11 21:00:00,-200.0,-245.0,45.000000
37,2020-08-12 21:00:00,-63.0,-193.0,130.000000
38,2020-07-13 21:00:00,-864.0,-863.0,-1.000000
39,2020-06-10 21:00:00,-399.0,-625.0,226.000000
40,2020-05-12 21:00:00,-738.0,-747.5,9.500000
41,2020-04-10 21:00:00,-119.0,-150.0,31.000000
42,2020-03-11 21:00:00,-235.0,-236.3,1.300000
43,2020-02-12 21:00:00,-33.0,-11.5,-21.500000
44,2020-01-13 21:00:00,-13.3,-196.5,183.200000
45,2019-12-11 21:00:00,-209.0,-196.5,-12.500000
46,2019-11-13 21:00:00,-134.0,-133.0,-1.000000
47,2019-10-25 21:00:00,83.0,83.5,-0.500000
48,2019-09-12 21:00:00,-200.0,-195.0,-5.000000
