,Date,Actual,Consensus,Difference
0,2023-10-26 15:30:00,3.5,2.5,1.000000
1,2023-09-28 15:30:00,1.7,2.0,-0.300000
2,2023-08-30 15:30:00,2.0,2.2,-0.200000
3,2023-07-27 15:30:00,2.2,3.0,-0.800000
4,2023-06-29 15:30:00,4.1,4.2,-0.100000
5,2023-05-25 15:30:00,4.1,4.0,0.100000
6,2023-04-27 15:30:00,4.0,3.7,0.300000
7,2023-03-30 15:30:00,3.9,3.9,0.000000
8,2023-02-23 15:30:00,3.9,3.5,0.400000
9,2023-01-26 15:30:00,3.5,3.3,0.200000
10,2022-12-22 15:30:00,4.4,4.3,0.100000
11,2022-11-30 15:30:00,4.3,4.1,0.200000
12,2022-10-27 15:30:00,4.1,5.3,-1.200000
13,2022-09-29 15:30:00,9.1,8.9,0.200000
14,2022-08-25 15:30:00,9.0,8.7,0.300000
15,2022-07-28 15:30:00,8.9,7.9,1.000000
16,2022-06-29 15:30:00,8.3,8.1,0.200000
17,2022-05-26 15:30:00,8.1,8.0,0.100000
18,2022-04-28 15:30:00,8.0,7.3,0.700000
19,2022-03-30 15:30:00,7.1,7.2,-0.100000
20,2022-02-24 15:30:00,7.2,6.9,0.300000
21,2022-01-27 15:30:00,7.0,6.0,1.000000
22,2021-12-22 15:30:00,5.9,5.9,0.000000
23,2021-11-24 15:30:00,5.9,5.7,0.200000
24,2021-10-28 15:30:00,5.7,5.5,0.200000
25,2021-09-30 15:30:00,6.2,6.1,0.100000
26,2021-08-26 15:30:00,6.2,6.0,0.200000
27,2021-07-29 15:30:00,6.1,5.4,0.700000
28,2021-06-24 15:30:00,4.3,4.3,0.000000
29,2021-05-27 15:30:00,4.3,4.1,0.200000
30,2021-04-29 15:30:00,4.1,2.5,1.600000
31,2021-03-25 15:30:00,1.9,2.0,-0.100000
32,2021-02-25 15:30:00,2.0,2.0,0.000000
33,2021-01-28 15:30:00,1.9,2.4,-0.500000
34,2020-12-22 15:30:00,3.7,3.7,0.000000
35,2020-11-25 15:30:00,3.7,3.7,0.000000
36,2020-10-29 15:30:00,3.7,2.8,0.900000
37,2020-09-30 15:30:00,-2.1,-2.0,-0.100000
38,2020-08-27 15:30:00,-2.3,-2.0,-0.300000
39,2020-07-30 15:30:00,-2.1,1.1,-3.200000
40,2020-06-25 15:30:00,1.6,1.4,0.200000
41,2020-05-28 15:30:00,1.6,1.4,0.200000
42,2020-04-29 15:30:00,1.4,1.2,0.200000
43,2020-03-26 15:30:00,1.4,1.3,0.100000
44,2020-02-27 15:30:00,1.3,1.4,-0.100000
45,2020-01-30 15:30:00,1.5,1.8,-0.300000
46,2019-12-20 15:30:00,1.7,1.8,-0.100000
47,2019-11-27 15:30:00,1.7,1.7,0.000000
48,2019-10-30 15:30:00,1.6,1.9,-0.300000
49,2019-09-26 15:30:00,2.6,2.4,0.200000
50,2019-08-29 15:30:00,2.5,2.4,0.100000
51,2019-07-26 15:30:00,2.5,1.9,0.600000
52,2019-06-27 15:30:00,0.6,0.8,-0.200000
53,2019-05-30 15:30:00,0.5,0.6,-0.100000
54,2019-04-26 15:30:00,0.6,1.3,-0.700000
55,2019-03-28 15:30:00,1.9,1.8,0.100000
56,2019-02-28 15:30:00,2.0,1.7,0.300000
57,2018-12-21 15:30:00,1.5,1.4,0.100000
58,2018-11-28 15:30:00,1.4,1.4,0.000000
59,2018-10-26 15:30:00,1.7,2.1,-0.400000
60,2018-09-27 15:30:00,3.3,3.0,0.300000
61,2018-08-29 15:30:00,3.2,3.0,0.200000
62,2018-07-27 15:30:00,3.2,2.3,0.900000
63,2018-06-28 15:30:00,2.2,1.9,0.300000
64,2018-05-30 15:30:00,1.9,2.0,-0.100000
65,2018-04-27 15:30:00,2.0,2.2,-0.200000
66,2018-03-28 15:30:00,2.3,2.3,0.000000
67,2018-02-28 15:30:00,2.3,2.4,-0.100000
68,2018-01-26 15:30:00,2.4,2.3,0.100000
69,2017-12-21 15:30:00,2.1,2.2,-0.100000
70,2017-11-29 15:30:00,2.1,2.2,-0.100000
71,2017-10-27 15:30:00,2.2,1.8,0.400000
72,2017-09-28 15:30:00,1.0,1.0,0.000000
73,2017-08-30 15:30:00,1.0,1.0,0.000000
74,2017-07-28 15:30:00,1.0,1.3,-0.300000
75,2017-06-29 15:30:00,1.9,2.2,-0.300000
76,2017-05-26 15:30:00,2.2,2.3,-0.100000
77,2017-04-28 15:30:00,2.2,2.0,0.200000
78,2017-03-30 15:30:00,2.1,2.0,0.100000
79,2017-02-28 15:30:00,2.0,2.1,-0.100000
80,2017-01-27 15:30:00,2.1,2.1,0.000000
81,2016-12-22 15:30:00,1.4,1.4,0.000000
82,2016-11-29 15:30:00,1.4,1.5,-0.100000
83,2016-10-28 15:30:00,1.5,1.3,0.200000
84,2016-09-29 15:30:00,2.3,2.3,0.000000
85,2016-08-26 15:30:00,2.3,2.2,0.100000
86,2016-07-29 15:30:00,2.2,1.8,0.400000
87,2016-06-28 15:30:00,0.4,0.6,-0.200000
88,2016-05-27 15:30:00,0.6,0.7,-0.100000
89,2016-04-28 15:30:00,0.7,0.6,0.100000
90,2016-03-25 15:30:00,0.9,0.9,0.000000
91,2016-02-26 15:30:00,0.9,0.8,0.100000
