,Date,Actual,Consensus,Difference
0,2023-10-19 17:00:00,3.96,3.89,0.070000
1,2023-09-21 17:00:00,4.04,4.1,-0.060000
2,2023-08-22 17:00:00,4.07,4.15,-0.080000
3,2023-07-20 17:00:00,4.16,4.2,-0.040000
4,2023-06-22 17:00:00,4.3,4.25,0.050000
5,2023-05-18 17:00:00,4.28,4.3,-0.020000
6,2023-04-20 17:00:00,4.44,4.5,-0.060000
7,2023-03-21 17:00:00,4.58,4.19,0.390000
8,2023-02-21 17:00:00,4.0,4.1,-0.100000
9,2023-01-20 17:00:00,4.02,3.96,0.060000
10,2022-12-21 17:00:00,4.09,4.2,-0.110000
11,2022-11-18 17:00:00,4.43,4.38,0.050000
12,2022-10-20 17:00:00,4.71,4.7,0.010000
13,2022-09-21 17:00:00,4.8,4.7,0.100000
14,2022-08-18 17:00:00,4.81,4.89,-0.080000
15,2022-07-20 17:00:00,5.12,5.38,-0.260000
16,2022-06-21 17:00:00,5.41,5.39,0.020000
17,2022-05-19 17:00:00,5.61,5.65,-0.040000
18,2022-04-20 17:00:00,5.77,5.8,-0.030000
19,2022-03-18 17:00:00,6.02,6.1,-0.080000
20,2022-02-18 17:00:00,6.5,6.1,0.400000
21,2022-01-20 17:00:00,6.18,6.44,-0.260000
22,2021-12-22 17:00:00,6.46,6.52,-0.060000
23,2021-11-22 17:00:00,6.34,6.2,0.140000
24,2021-10-21 17:00:00,6.29,6.09,0.200000
25,2021-09-22 17:00:00,5.88,5.89,-0.010000
26,2021-08-23 17:00:00,5.99,5.83,0.160000
27,2021-07-22 17:00:00,5.86,5.9,-0.040000
28,2021-06-22 17:00:00,5.8,5.72,0.080000
29,2021-05-21 17:00:00,5.85,6.09,-0.240000
30,2021-04-22 17:00:00,6.01,6.19,-0.180000
31,2021-03-22 17:00:00,6.22,6.5,-0.280000
32,2021-02-19 17:00:00,6.69,6.61,0.080000
33,2021-01-22 17:00:00,6.76,6.55,0.210000
34,2020-12-22 17:00:00,6.69,6.7,-0.010000
35,2020-11-19 17:00:00,6.85,6.45,0.400000
36,2020-10-22 17:00:00,6.54,6.3,0.240000
37,2020-09-22 17:00:00,6.0,6.0,0.000000
38,2020-08-21 17:00:00,5.86,5.38,0.480000
39,2020-07-22 17:00:00,4.72,4.78,-0.060000
40,2020-06-22 17:00:00,3.91,4.12,-0.210000
41,2020-05-21 17:00:00,4.33,4.3,0.030000
42,2020-04-21 17:00:00,5.27,5.3,-0.030000
43,2020-03-20 17:00:00,5.77,5.5,0.270000
44,2020-02-21 17:00:00,5.46,5.43,0.030000
45,2020-01-22 17:00:00,5.54,5.43,0.110000
