,Date,Actual,Consensus,Difference
0,2023-05-18 17:00:00,-3.4,0.1,-3.500000
1,2023-04-20 17:00:00,-2.4,5.0,-7.400000
2,2023-03-21 17:00:00,14.5,5.0,9.500000
3,2023-02-21 17:00:00,-0.7,2.0,-2.700000
4,2023-01-20 17:00:00,-1.5,-5.4,3.900000
5,2022-12-21 17:00:00,-7.7,-5.4,-2.300000
6,2022-03-18 17:00:00,-7.2,-1.0,-6.200000
7,2022-02-18 17:00:00,6.7,-1.0,7.700000
8,2021-05-21 17:00:00,-2.7,2.0,-4.700000
9,2021-04-22 17:00:00,-3.7,0.9,-4.600000
10,2021-03-22 17:00:00,-6.6,-3.0,-3.600000
11,2021-02-19 17:00:00,0.6,-1.5,2.100000
12,2021-01-22 17:00:00,0.7,-2.0,2.700000
13,2020-12-22 17:00:00,-2.5,-1.0,-1.500000
14,2020-11-19 17:00:00,4.3,-1.2,5.500000
15,2020-10-22 17:00:00,9.4,5.0,4.400000
16,2020-09-22 17:00:00,2.4,2.4,0.000000
17,2020-08-21 17:00:00,24.7,14.7,10.000000
18,2020-07-22 17:00:00,20.7,24.5,-3.800000
19,2020-06-22 17:00:00,-9.7,-3.0,-6.700000
20,2020-05-21 17:00:00,-17.8,-18.9,1.100000
21,2020-04-21 17:00:00,-8.5,-8.1,-0.400000
22,2020-03-20 17:00:00,6.5,0.7,5.800000
23,2020-02-21 17:00:00,-1.3,-1.8,0.500000
24,2020-01-22 17:00:00,3.6,1.3,2.300000
25,2019-12-19 17:00:00,-1.7,-0.2,-1.500000
26,2019-11-21 17:00:00,1.9,1.4,0.500000
27,2019-10-22 17:00:00,-2.2,-0.7,-1.500000
28,2019-09-19 17:00:00,1.3,-0.4,1.700000
29,2019-08-21 17:00:00,2.5,2.5,0.000000
30,2019-07-23 17:00:00,-1.7,-0.2,-1.500000
31,2019-06-21 17:00:00,2.5,1.2,1.300000
32,2019-05-21 17:00:00,-0.4,2.7,-3.100000
33,2019-04-22 17:00:00,-4.9,-3.8,-1.100000
34,2019-03-22 17:00:00,11.8,2.2,9.600000
35,2019-02-21 17:00:00,-1.2,0.8,-2.000000
36,2019-01-22 17:00:00,-6.4,-1.0,-5.400000
37,2018-12-19 17:00:00,1.9,-0.6,2.500000
38,2018-11-21 17:00:00,1.4,1.0,0.400000
39,2018-10-19 17:00:00,-3.4,-0.7,-2.700000
40,2018-09-20 17:00:00,0.0,0.3,-0.300000
41,2018-08-22 17:00:00,-0.7,0.6,-1.300000
42,2018-07-23 17:00:00,-0.6,0.5,-1.100000
43,2018-06-20 17:00:00,-0.4,1.5,-1.900000
44,2018-05-24 17:00:00,-2.5,-0.2,-2.300000
45,2018-04-23 17:00:00,1.1,0.2,0.900000
46,2018-03-21 17:00:00,3.0,0.5,2.500000
47,2018-02-21 17:00:00,-3.2,0.9,-4.100000
48,2018-01-24 17:00:00,-3.6,-2.2,-1.400000
49,2017-12-20 17:00:00,5.6,0.9,4.700000
50,2017-11-21 17:00:00,2.0,0.7,1.300000
51,2017-10-20 17:00:00,0.7,-1.0,1.700000
52,2017-09-20 17:00:00,-1.7,0.3,-2.000000
53,2017-08-24 17:00:00,-1.3,0.9,-2.200000
54,2017-07-24 17:00:00,-1.8,-1.0,-0.800000
55,2017-06-21 17:00:00,1.1,-0.5,1.600000
56,2017-05-24 17:00:00,-2.3,-1.1,-1.200000
57,2017-04-21 17:00:00,4.4,2.5,1.900000
58,2017-03-22 17:00:00,-3.7,-2.0,-1.700000
59,2017-02-22 17:00:00,3.3,1.1,2.200000
60,2017-01-24 17:00:00,-2.8,-1.1,-1.700000
61,2016-12-21 17:00:00,0.7,-1.0,1.700000
62,2016-11-22 17:00:00,2.0,-0.5,2.500000
63,2016-10-20 17:00:00,3.2,0.4,2.800000
64,2016-09-22 17:00:00,-0.9,1.1,-2.000000
65,2016-08-24 17:00:00,-3.2,-0.4,-2.800000
66,2016-07-21 17:00:00,1.1,-0.5,1.600000
67,2016-06-22 17:00:00,1.8,1.1,0.700000
68,2016-05-20 17:00:00,1.7,1.3,0.400000
69,2016-04-20 17:00:00,5.1,3.5,1.600000
70,2016-03-21 17:00:00,-7.1,-2.2,-4.900000
71,2016-02-23 17:00:00,0.4,-2.9,3.300000
72,2016-01-22 17:00:00,14.7,8.9,5.800000
73,2015-12-22 17:00:00,-10.5,-0.5,-10.000000
74,2015-11-23 17:00:00,-3.4,-2.3,-1.100000
75,2015-10-22 17:00:00,4.7,1.4,3.300000
76,2015-09-21 17:00:00,-4.8,-1.3,-3.500000
77,2015-08-20 17:00:00,2.0,-0.6,2.600000
78,2015-07-22 17:00:00,3.2,1.2,2.000000
79,2015-06-22 17:00:00,5.1,4.4,0.700000
80,2015-05-21 17:00:00,-3.3,1.0,-4.300000
81,2015-04-22 17:00:00,6.1,3.0,3.100000
82,2015-03-23 17:00:00,1.2,1.7,-0.500000
83,2015-02-23 17:00:00,-4.9,-0.8,-4.100000
84,2015-01-23 17:00:00,2.4,2.4,0.000000
85,2014-12-22 17:00:00,-6.1,-0.9,-5.200000
86,2014-11-20 17:00:00,1.5,-0.3,1.800000
87,2014-10-21 17:00:00,2.4,1.0,1.400000
88,2014-09-22 17:00:00,-1.8,1.0,-2.800000
89,2014-08-21 17:00:00,2.4,-0.4,2.800000
90,2014-07-22 17:00:00,2.6,2.0,0.600000
91,2014-06-23 17:00:00,4.9,2.2,2.700000
92,2014-05-22 17:00:00,1.3,2.2,-0.900000
93,2014-03-20 17:00:00,-0.4,0.4,-0.800000
94,2014-02-21 17:00:00,-5.1,-4.3,-0.800000
95,2014-01-23 17:00:00,1.0,0.4,0.600000
96,2013-12-19 17:00:00,-4.3,-1.5,-2.800000
97,2013-11-20 17:00:00,-3.2,-2.6,-0.600000
98,2013-10-21 17:00:00,-1.9,-2.9,1.000000
99,2013-09-19 17:00:00,1.7,-2.6,4.300000
100,2013-08-21 17:00:00,6.5,1.6,4.900000
101,2013-07-22 17:00:00,-1.2,0.6,-1.800000
102,2013-06-20 17:00:00,4.2,0.6,3.600000
