,Date,Actual,Consensus,Difference
0,2023-10-25 17:00:00,759.0,680.0,79.000000
1,2023-09-26 17:00:00,675.0,700.0,-25.000000
2,2023-08-23 17:00:00,714.0,705.0,9.000000
3,2023-07-26 17:00:00,697.0,725.0,-28.000000
4,2023-06-27 17:00:00,763.0,675.0,88.000000
5,2023-05-23 17:00:00,683.0,663.0,20.000000
6,2023-04-25 17:00:00,683.0,630.0,53.000000
7,2023-03-23 17:00:00,640.0,650.0,-10.000000
8,2023-02-24 17:00:00,670.0,620.0,50.000000
9,2023-01-26 17:00:00,616.0,617.0,-1.000000
10,2022-12-23 17:00:00,640.0,600.0,40.000000
11,2022-11-23 17:00:00,632.0,570.0,62.000000
12,2022-10-26 17:00:00,603.0,585.0,18.000000
13,2022-09-27 17:00:00,685.0,500.0,185.000000
14,2022-08-23 17:00:00,511.0,575.0,-64.000000
15,2022-07-26 17:00:00,590.0,660.0,-70.000000
16,2022-06-24 17:00:00,696.0,588.0,108.000000
17,2022-05-24 17:00:00,591.0,750.0,-159.000000
18,2022-04-26 17:00:00,763.0,765.0,-2.000000
19,2022-03-23 17:00:00,772.0,810.0,-38.000000
20,2022-02-24 17:00:00,801.0,806.0,-5.000000
21,2022-01-26 17:00:00,811.0,760.0,51.000000
22,2021-12-23 17:00:00,744.0,770.0,-26.000000
23,2021-11-24 17:00:00,745.0,800.0,-55.000000
24,2021-10-26 17:00:00,800.0,760.0,40.000000
25,2021-09-24 17:00:00,740.0,714.0,26.000000
26,2021-08-24 17:00:00,708.0,700.0,8.000000
27,2021-07-26 17:00:00,676.0,800.0,-124.000000
28,2021-06-23 17:00:00,769.0,870.0,-101.000000
29,2021-05-25 17:00:00,863.0,970.0,-107.000000
30,2021-04-23 17:00:00,1021.0,886.0,135.000000
31,2021-03-23 17:00:00,775.0,875.0,-100.000000
32,2021-02-24 17:00:00,923.0,855.0,68.000000
33,2021-01-28 17:00:00,842.0,865.0,-23.000000
34,2020-12-23 17:00:00,841.0,995.0,-154.000000
35,2020-11-25 17:00:00,999.0,970.0,29.000000
36,2020-10-26 17:00:00,959.0,1025.0,-66.000000
37,2020-09-24 17:00:00,1011.0,895.0,116.000000
38,2020-08-25 17:00:00,901.0,785.0,116.000000
39,2020-07-24 17:00:00,776.0,700.0,76.000000
40,2020-06-23 17:00:00,676.0,640.0,36.000000
41,2020-05-26 17:00:00,623.0,490.0,133.000000
42,2020-04-23 17:00:00,627.0,645.0,-18.000000
43,2020-03-24 17:00:00,765.0,750.0,15.000000
44,2020-02-26 17:00:00,764.0,710.0,54.000000
45,2020-01-27 17:00:00,694.0,730.0,-36.000000
46,2019-12-23 17:00:00,719.0,734.0,-15.000000
47,2019-11-26 17:00:00,733.0,709.0,24.000000
48,2019-10-24 17:00:00,701.0,710.0,-9.000000
49,2019-09-25 17:00:00,713.0,660.0,53.000000
50,2019-08-23 17:00:00,635.0,649.0,-14.000000
51,2019-07-24 17:00:00,646.0,660.0,-14.000000
52,2019-06-25 17:00:00,626.0,680.0,-54.000000
53,2019-05-23 17:00:00,673.0,675.0,-2.000000
54,2019-04-23 17:00:00,692.0,647.0,45.000000
55,2019-03-29 17:00:00,667.0,620.0,47.000000
56,2019-03-14 17:00:00,607.0,622.0,-15.000000
57,2019-03-05 17:00:00,621.0,600.0,21.000000
58,2019-01-31 17:00:00,657.0,560.0,97.000000
59,2018-11-28 17:00:00,544.0,583.0,-39.000000
60,2018-10-24 17:00:00,553.0,627.0,-74.000000
61,2018-09-26 17:00:00,629.0,630.0,-1.000000
62,2018-08-23 17:00:00,627.0,643.0,-16.000000
63,2018-07-25 17:00:00,631.0,669.0,-38.000000
64,2018-06-25 17:00:00,689.0,667.0,22.000000
65,2018-05-23 17:00:00,662.0,680.0,-18.000000
66,2018-04-24 17:00:00,694.0,625.0,69.000000
67,2018-03-23 17:00:00,618.0,623.0,-5.000000
68,2018-02-26 17:00:00,593.0,655.0,-62.000000
69,2018-01-25 17:00:00,625.0,676.0,-51.000000
70,2017-12-22 17:00:00,733.0,654.0,79.000000
71,2017-11-27 17:00:00,685.0,625.0,60.000000
72,2017-10-25 17:00:00,667.0,555.0,112.000000
73,2017-09-26 17:00:00,560.0,588.0,-28.000000
74,2017-08-23 17:00:00,571.0,612.0,-41.000000
75,2017-07-26 17:00:00,610.0,615.0,-5.000000
76,2017-06-23 17:00:00,610.0,597.0,13.000000
