,Date,Actual,Consensus,Difference
0,2023-10-26 17:00:00,1.1,-1.8,2.900000
1,2023-09-28 17:00:00,-7.1,-0.8,-6.300000
2,2023-08-30 17:00:00,0.9,-0.6,1.500000
3,2023-07-27 17:00:00,0.3,-0.5,0.800000
4,2023-06-29 17:00:00,-2.7,-0.5,-2.200000
5,2023-05-25 17:00:00,0.0,0.5,-0.500000
6,2023-04-27 17:00:00,-5.2,0.5,-5.700000
7,2023-03-29 17:00:00,0.8,-2.3,3.100000
8,2023-02-27 17:00:00,8.1,1.0,7.100000
9,2023-01-27 17:00:00,2.5,-0.9,3.400000
10,2022-12-28 17:00:00,-4.0,-0.8,-3.200000
11,2022-11-30 17:00:00,-4.6,-5.0,0.400000
12,2022-10-28 17:00:00,-10.2,-5.0,-5.200000
13,2022-09-28 17:00:00,-2.0,-1.4,-0.600000
14,2022-08-24 17:00:00,-1.0,-4.0,3.000000
15,2022-07-27 17:00:00,-8.6,-1.5,-7.100000
16,2022-06-27 17:00:00,0.7,-3.7,4.400000
17,2022-05-26 17:00:00,-3.9,-2.0,-1.900000
18,2022-04-27 17:00:00,-1.2,-1.6,0.400000
19,2022-03-25 17:00:00,-4.1,1.0,-5.100000
20,2022-02-25 17:00:00,-5.7,1.0,-6.700000
21,2022-01-27 17:00:00,-3.8,-0.2,-3.600000
22,2021-12-29 17:00:00,-2.2,0.5,-2.700000
23,2021-11-29 17:00:00,7.5,0.9,6.600000
24,2021-10-28 17:00:00,-2.3,0.5,-2.800000
25,2021-09-29 17:00:00,8.1,1.4,6.700000
26,2021-08-30 17:00:00,-1.8,0.4,-2.200000
27,2021-07-29 17:00:00,-1.9,0.3,-2.200000
28,2021-06-30 17:00:00,8.0,-0.8,8.800000
29,2021-05-27 17:00:00,-4.4,0.8,-5.200000
30,2021-04-29 17:00:00,1.9,5.0,-3.100000
31,2021-03-31 17:00:00,-10.6,-2.6,-8.000000
32,2021-02-25 17:00:00,-2.8,-0.2,-2.600000
33,2021-01-29 17:00:00,-0.3,-0.1,-0.200000
34,2020-12-30 17:00:00,-2.6,0.2,-2.800000
35,2020-11-30 17:00:00,-1.1,1.0,-2.100000
36,2020-10-29 17:00:00,-2.2,3.4,-5.600000
37,2020-09-30 17:00:00,8.8,3.2,5.600000
38,2020-08-27 17:00:00,5.9,3.0,2.900000
39,2020-07-29 17:00:00,16.6,15.0,1.600000
40,2020-06-29 17:00:00,44.3,18.9,25.400000
41,2020-05-28 17:00:00,-21.8,-15.0,-6.800000
42,2020-04-29 17:00:00,-20.8,-10.0,-10.800000
43,2020-03-30 17:00:00,2.4,-1.0,3.400000
44,2020-02-27 17:00:00,5.2,2.2,3.000000
45,2020-01-29 17:00:00,-4.9,0.5,-5.400000
46,2019-12-30 17:00:00,1.2,1.2,0.000000
47,2019-11-27 17:00:00,-1.7,0.2,-1.900000
48,2019-10-29 17:00:00,1.5,0.9,0.600000
49,2019-09-26 17:00:00,1.6,0.9,0.700000
50,2019-08-29 17:00:00,-2.5,0.1,-2.600000
51,2019-07-30 17:00:00,2.8,0.5,2.300000
52,2019-06-27 17:00:00,1.1,1.1,0.000000
53,2019-05-30 17:00:00,-1.5,0.9,-2.400000
54,2019-04-30 17:00:00,3.8,1.1,2.700000
55,2019-03-28 17:00:00,-1.0,0.1,-1.100000
56,2019-02-27 17:00:00,4.6,0.8,3.800000
57,2019-01-30 17:00:00,-2.2,0.8,-3.000000
58,2018-12-28 17:00:00,-0.7,0.7,-1.400000
59,2018-11-29 17:00:00,-2.6,0.8,-3.400000
60,2018-10-25 17:00:00,0.5,-0.1,0.600000
61,2018-09-27 17:00:00,-1.8,-0.2,-1.600000
62,2018-08-29 17:00:00,-0.7,0.3,-1.000000
63,2018-07-30 17:00:00,0.9,0.4,0.500000
64,2018-06-27 17:00:00,-0.5,1.1,-1.600000
65,2018-05-31 17:00:00,-1.3,0.4,-1.700000
66,2018-04-30 17:00:00,0.4,0.6,-0.200000
67,2018-03-28 17:00:00,3.1,2.1,1.000000
68,2018-02-28 17:00:00,-4.7,0.4,-5.100000
69,2018-01-31 17:00:00,0.5,0.5,0.000000
70,2017-12-27 17:00:00,0.2,-0.4,0.600000
71,2017-11-29 17:00:00,3.5,1.0,2.500000
72,2017-10-26 17:00:00,0.0,0.2,-0.200000
73,2017-09-27 17:00:00,-2.6,-0.5,-2.100000
74,2017-08-31 17:00:00,-0.8,0.5,-1.300000
75,2017-07-31 17:00:00,1.5,0.7,0.800000
76,2017-06-28 17:00:00,-0.8,0.8,-1.600000
77,2017-05-31 17:00:00,-1.3,0.5,-1.800000
78,2017-04-27 17:00:00,-0.8,-1.0,0.200000
79,2017-03-29 17:00:00,5.5,2.4,3.100000
80,2017-02-27 17:00:00,-2.8,0.8,-3.600000
81,2017-01-30 17:00:00,1.6,1.1,0.500000
82,2016-12-28 17:00:00,-2.5,0.5,-3.000000
83,2016-11-30 17:00:00,0.1,0.2,-0.100000
84,2016-10-27 17:00:00,1.5,1.2,0.300000
85,2016-09-29 17:00:00,-2.4,0.3,-2.700000
86,2016-08-31 17:00:00,1.3,0.6,0.700000
87,2016-07-27 17:00:00,0.2,1.4,-1.200000
88,2016-06-29 17:00:00,-3.7,-1.1,-2.600000
89,2016-05-26 17:00:00,5.1,0.6,4.500000
