,Date,Actual,Consensus,Difference
0,2023-10-31 16:00:00,2.2,1.6,0.600000
1,2023-09-26 16:00:00,0.1,-0.3,0.400000
2,2023-08-29 16:00:00,-1.2,-1.3,0.100000
3,2023-07-25 16:00:00,-1.7,-2.2,0.500000
4,2023-06-27 16:00:00,-1.7,-2.6,0.900000
5,2023-05-30 16:00:00,-1.1,-1.6,0.500000
6,2023-04-25 16:00:00,0.4,0.1,0.300000
7,2023-03-28 16:00:00,2.5,2.5,0.000000
8,2023-02-28 16:00:00,4.6,5.8,-1.200000
9,2023-01-31 16:00:00,6.8,6.8,0.000000
10,2022-12-27 16:00:00,8.6,8.2,0.400000
11,2022-11-29 16:00:00,10.4,10.8,-0.400000
12,2022-10-25 16:00:00,13.1,14.4,-1.300000
13,2022-09-27 16:00:00,16.1,17.0,-0.900000
14,2022-08-30 16:00:00,18.6,19.5,-0.900000
15,2022-07-26 16:00:00,20.5,20.6,-0.100000
16,2022-06-28 16:00:00,21.2,21.0,0.200000
17,2022-05-31 16:00:00,21.2,20.0,1.200000
18,2022-04-26 16:00:00,20.2,19.0,1.200000
19,2022-03-29 16:00:00,19.1,18.4,0.700000
20,2022-02-22 16:00:00,18.6,18.0,0.600000
21,2022-01-25 16:00:00,18.3,18.0,0.300000
22,2021-12-28 16:00:00,18.4,18.5,-0.100000
23,2021-11-30 16:00:00,19.1,19.3,-0.200000
24,2021-10-26 16:00:00,19.7,20.0,-0.300000
25,2021-09-28 16:00:00,19.9,20.0,-0.100000
26,2021-08-31 16:00:00,19.1,18.5,0.600000
27,2021-07-27 16:00:00,17.0,16.4,0.600000
28,2021-06-29 16:00:00,14.9,14.5,0.400000
29,2021-05-25 16:00:00,13.3,12.3,1.000000
30,2021-04-27 16:00:00,11.9,11.7,0.200000
31,2021-03-30 16:00:00,11.1,11.0,0.100000
32,2021-02-23 16:00:00,10.1,9.9,0.200000
33,2021-01-26 16:00:00,9.1,8.6,0.500000
34,2020-12-29 16:00:00,7.9,6.9,1.000000
35,2020-11-24 16:00:00,6.6,5.1,1.500000
36,2020-10-27 16:00:00,5.2,4.2,1.000000
37,2020-09-29 16:00:00,3.9,3.8,0.100000
38,2020-08-25 16:00:00,3.5,3.8,-0.300000
39,2020-07-28 16:00:00,3.7,4.0,-0.300000
40,2020-06-30 16:00:00,4.0,4.0,0.000000
41,2020-05-26 16:00:00,3.9,3.3,0.600000
42,2020-04-28 16:00:00,3.5,3.2,0.300000
43,2020-03-31 16:00:00,3.1,3.2,-0.100000
44,2020-02-25 16:00:00,2.9,2.8,0.100000
45,2020-01-28 16:00:00,2.6,2.4,0.200000
46,2019-12-31 16:00:00,2.2,2.2,0.000000
47,2019-11-26 16:00:00,2.1,2.1,0.000000
48,2019-10-29 16:00:00,2.0,2.1,-0.100000
49,2019-09-24 16:00:00,2.0,2.2,-0.200000
50,2019-08-27 16:00:00,2.1,2.5,-0.400000
51,2019-07-30 16:00:00,2.4,2.4,0.000000
52,2019-06-25 16:00:00,2.5,2.6,-0.100000
53,2019-05-28 16:00:00,2.7,3.1,-0.400000
54,2019-04-30 16:00:00,3.0,3.7,-0.700000
55,2019-03-26 16:00:00,3.6,4.3,-0.700000
56,2019-02-26 16:00:00,4.2,4.9,-0.700000
57,2019-01-29 16:00:00,4.7,4.9,-0.200000
58,2018-12-26 16:00:00,5.0,4.8,0.200000
59,2018-11-27 16:00:00,5.1,5.3,-0.200000
60,2018-10-30 16:00:00,5.5,6.0,-0.500000
61,2018-09-25 16:00:00,5.9,6.2,-0.300000
62,2018-08-28 16:00:00,6.3,6.5,-0.200000
63,2018-07-31 16:00:00,6.5,6.4,0.100000
64,2018-06-26 16:00:00,6.6,6.9,-0.300000
65,2018-05-29 16:00:00,6.8,6.5,0.300000
66,2018-04-24 16:00:00,6.8,6.3,0.500000
67,2018-03-27 16:00:00,6.4,6.2,0.200000
68,2018-02-27 16:00:00,6.3,6.3,0.000000
69,2018-01-30 16:00:00,6.4,6.3,0.100000
70,2017-12-26 16:00:00,6.4,6.3,0.100000
71,2017-11-28 16:00:00,6.2,6.1,0.100000
72,2017-10-31 16:00:00,5.9,6.0,-0.100000
73,2017-09-26 16:00:00,5.8,5.8,0.000000
74,2017-08-29 16:00:00,5.7,5.7,0.000000
75,2017-07-25 16:00:00,5.7,5.8,-0.100000
76,2017-06-27 16:00:00,5.7,5.9,-0.200000
77,2017-05-30 16:00:00,5.9,5.7,0.200000
78,2017-04-25 16:00:00,5.9,5.7,0.200000
79,2017-03-28 16:00:00,5.7,5.6,0.100000
80,2017-02-28 16:00:00,5.6,5.3,0.300000
81,2017-01-31 16:00:00,5.3,5.1,0.200000
82,2016-12-27 16:00:00,5.1,5.1,0.000000
83,2016-11-29 16:00:00,5.1,5.2,-0.100000
