,Date,Actual,Consensus,Difference
0,2023-11-17 15:30:00,1.372,1.345,0.027000
1,2023-10-18 15:30:00,1.358,1.38,-0.022000
2,2023-09-19 15:30:00,1.283,1.44,-0.157000
3,2023-08-16 15:30:00,1.452,1.448,0.004000
4,2023-07-19 15:30:00,1.434,1.48,-0.046000
5,2023-06-20 15:30:00,1.631,1.4,0.231000
6,2023-05-17 15:30:00,1.401,1.4,0.001000
7,2023-04-18 15:30:00,1.42,1.4,0.020000
8,2023-03-16 15:30:00,1.45,1.31,0.140000
9,2023-02-16 15:30:00,1.309,1.36,-0.051000
10,2023-01-19 15:30:00,1.382,1.359,0.023000
11,2022-12-20 15:30:00,1.427,1.4,0.027000
12,2022-11-17 15:30:00,1.425,1.41,0.015000
13,2022-10-19 15:30:00,1.439,1.475,-0.036000
14,2022-09-20 15:30:00,1.575,1.445,0.130000
15,2022-08-16 15:30:00,1.446,1.54,-0.094000
16,2022-07-19 15:30:00,1.559,1.58,-0.021000
17,2022-06-16 15:30:00,1.549,1.701,-0.152000
18,2022-05-18 15:30:00,1.724,1.765,-0.041000
19,2022-04-19 15:30:00,1.793,1.745,0.048000
20,2022-03-17 15:30:00,1.769,1.69,0.079000
21,2022-02-17 15:30:00,1.638,1.7,-0.062000
22,2022-01-19 15:30:00,1.702,1.65,0.052000
23,2021-12-16 15:30:00,1.679,1.568,0.111000
24,2021-11-17 15:30:00,1.52,1.576,-0.056000
25,2021-10-19 15:30:00,1.555,1.62,-0.065000
26,2021-09-21 15:30:00,1.615,1.555,0.060000
27,2021-08-18 15:30:00,1.534,1.6,-0.066000
28,2021-07-20 15:30:00,1.643,1.59,0.053000
29,2021-06-16 15:30:00,1.572,1.63,-0.058000
30,2021-05-18 15:30:00,1.569,1.71,-0.141000
31,2021-04-16 15:30:00,1.739,1.613,0.126000
32,2021-03-17 15:30:00,1.421,1.56,-0.139000
33,2021-02-18 15:30:00,1.58,1.658,-0.078000
34,2021-01-21 15:30:00,1.669,1.56,0.109000
35,2020-12-17 15:30:00,1.547,1.53,0.017000
36,2020-11-18 15:30:00,1.53,1.46,0.070000
37,2020-10-20 15:30:00,1.415,1.457,-0.042000
38,2020-09-17 15:30:00,1.416,1.478,-0.062000
39,2020-08-18 15:30:00,1.496,1.24,0.256000
40,2020-07-17 15:30:00,1.186,1.169,0.017000
41,2020-06-17 15:30:00,0.974,1.095,-0.121000
42,2020-05-19 15:30:00,0.891,0.927,-0.036000
43,2020-04-16 15:30:00,1.216,1.3,-0.084000
44,2020-03-18 15:30:00,1.599,1.5,0.099000
45,2020-02-19 15:30:00,1.567,1.425,0.142000
46,2020-01-17 15:30:00,1.608,1.375,0.233000
47,2019-12-17 15:30:00,1.365,1.345,0.020000
48,2019-11-19 15:30:00,1.314,1.32,-0.006000
49,2019-10-17 15:30:00,1.256,1.32,-0.064000
50,2019-09-18 15:30:00,1.364,1.25,0.114000
51,2019-08-16 15:30:00,1.191,1.257,-0.066000
52,2019-07-17 15:30:00,1.253,1.261,-0.008000
53,2019-06-18 15:30:00,1.269,1.239,0.030000
54,2019-05-16 15:30:00,1.235,1.205,0.030000
55,2019-04-19 15:30:00,1.139,1.23,-0.091000
56,2019-03-26 15:30:00,1.162,1.213,-0.051000
57,2019-03-08 15:30:00,1.23,1.197,0.033000
58,2019-02-26 15:30:00,1.078,1.25,-0.172000
59,2018-12-18 15:30:00,1.256,1.225,0.031000
60,2018-11-20 15:30:00,1.228,1.225,0.003000
61,2018-10-17 15:30:00,1.201,1.22,-0.019000
62,2018-09-19 15:30:00,1.282,1.235,0.047000
63,2018-08-16 15:30:00,1.168,1.27,-0.102000
64,2018-07-18 15:30:00,1.173,1.32,-0.147000
65,2018-06-19 15:30:00,1.35,1.31,0.040000
66,2018-05-16 15:30:00,1.287,1.31,-0.023000
67,2018-04-17 15:30:00,1.319,1.27,0.049000
68,2018-03-16 15:30:00,1.236,1.29,-0.054000
69,2018-02-16 15:30:00,1.326,1.234,0.092000
