,Date,Actual,Consensus,Difference
0,2023-08-16 15:30:00,3.9,2.7,1.200000
1,2023-07-19 15:30:00,-8.0,7.2,-15.200000
2,2023-06-20 15:30:00,21.7,-0.8,22.500000
3,2023-04-18 15:30:00,-0.8,0.4,-1.200000
4,2020-02-19 15:30:00,-3.6,-30.7,27.100000
5,2019-10-17 15:30:00,-9.4,-8.6,-0.800000
6,2019-09-18 15:30:00,12.3,4.5,7.800000
7,2019-06-18 15:30:00,-0.9,-0.4,-0.500000
8,2019-05-16 15:30:00,5.7,6.2,-0.500000
9,2019-04-19 15:30:00,-0.3,6.5,-6.800000
10,2019-03-26 15:30:00,-8.7,-0.8,-7.900000
11,2019-03-08 15:30:00,18.6,9.9,8.700000
12,2019-02-26 15:30:00,-11.2,-0.5,-10.700000
13,2018-12-18 15:30:00,3.2,-0.2,3.400000
14,2018-11-20 15:30:00,1.5,1.6,-0.100000
15,2018-10-17 15:30:00,-5.3,-4.5,-0.800000
16,2018-09-19 15:30:00,9.2,5.8,3.400000
17,2018-08-16 15:30:00,0.9,7.4,-6.500000
18,2018-07-18 15:30:00,-12.3,-2.2,-10.100000
19,2018-06-19 15:30:00,5.0,1.4,3.600000
20,2018-05-16 15:30:00,-3.7,-0.7,-3.000000
21,2018-04-17 15:30:00,1.9,1.9,0.000000
22,2018-03-16 15:30:00,-7.0,6.0,-13.000000
23,2018-02-16 15:30:00,9.7,3.4,6.300000
24,2017-12-19 15:30:00,3.3,-3.2,6.500000
25,2017-11-17 15:30:00,13.7,5.6,8.100000
26,2017-10-18 15:30:00,-4.7,-0.5,-4.200000
27,2017-09-19 15:30:00,-0.8,1.7,-2.500000
28,2017-08-16 15:30:00,-4.8,0.5,-5.300000
29,2017-07-19 15:30:00,8.3,5.8,2.500000
30,2017-06-16 15:30:00,-5.5,4.1,-9.600000
31,2017-05-16 15:30:00,-2.6,3.7,-6.300000
32,2017-04-18 15:30:00,-6.8,-3.0,-3.800000
33,2017-03-16 15:30:00,3.0,1.4,1.600000
34,2017-02-16 15:30:00,-2.6,0.1,-2.700000
35,2017-01-19 15:30:00,11.3,8.6,2.700000
36,2016-11-17 15:30:00,25.5,7.0,18.500000
37,2016-10-19 15:30:00,-9.0,2.5,-11.500000
38,2016-09-20 15:30:00,-5.8,-1.7,-4.100000
39,2016-08-16 15:30:00,2.1,-0.8,2.900000
40,2016-07-19 15:30:00,4.8,0.5,4.300000
41,2016-05-17 15:30:00,6.6,2.9,3.700000
42,2016-03-16 15:30:00,5.2,4.6,0.600000
43,2016-02-17 15:30:00,-3.8,2.5,-6.300000
44,2016-01-20 15:30:00,-2.5,1.6,-4.100000
45,2015-12-16 15:30:00,10.5,6.6,3.900000
46,2015-11-18 15:30:00,-11.0,-3.9,-7.100000
47,2015-10-20 15:30:00,6.5,1.2,5.300000
48,2015-09-17 15:30:00,-3.0,-5.1,2.100000
49,2015-08-18 15:30:00,0.2,1.0,-0.800000
50,2015-07-17 15:30:00,9.8,6.2,3.600000
51,2015-06-16 15:30:00,-11.1,-3.1,-8.000000
52,2015-05-19 15:30:00,20.2,9.9,10.300000
53,2015-04-16 15:30:00,2.0,15.9,-13.900000
54,2015-03-17 15:30:00,-17.0,-2.4,-14.600000
55,2015-02-18 15:30:00,-2.0,-1.7,-0.300000
56,2015-01-21 15:30:00,4.4,1.2,3.200000
57,2014-12-16 15:30:00,-1.6,2.1,-3.700000
58,2014-11-19 15:30:00,-2.8,0.8,-3.600000
59,2014-10-17 15:30:00,6.3,4.8,1.500000
60,2014-09-18 15:30:00,-14.4,-4.4,-10.000000
61,2014-08-19 15:30:00,15.7,8.6,7.100000
62,2014-07-17 15:30:00,-9.3,0.9,-10.200000
63,2014-06-17 15:30:00,-6.5,-3.7,-2.800000
64,2014-04-16 15:30:00,2.8,6.4,-3.600000
65,2014-03-18 15:30:00,-0.2,3.4,-3.600000
66,2014-02-19 15:30:00,-16.0,-5.7,-10.300000
67,2014-01-17 15:30:00,-9.8,-8.3,-1.500000
68,2013-09-18 15:30:00,0.9,3.0,-2.100000
69,2013-08-16 15:30:00,5.9,8.3,-2.400000
70,2013-07-17 15:30:00,-9.9,3.9,-13.800000
71,2013-06-18 15:30:00,6.8,11.4,-4.600000
