,Date,Actual,Consensus,Difference
0,2023-11-16 16:15:00,-0.6,-0.3,-0.300000
1,2023-10-17 16:15:00,0.3,0.1,0.200000
2,2023-09-15 16:15:00,0.4,0.1,0.300000
3,2023-08-16 16:15:00,1.0,0.3,0.700000
4,2023-07-18 16:15:00,-0.5,0.0,-0.500000
5,2023-06-15 16:15:00,-0.2,0.1,-0.300000
6,2023-05-16 16:15:00,0.5,-0.1,0.600000
7,2023-04-14 16:15:00,0.4,0.2,0.200000
8,2023-03-17 16:15:00,0.0,0.2,-0.200000
9,2023-02-15 16:15:00,0.0,0.5,-0.500000
10,2023-01-18 16:15:00,-0.7,-0.1,-0.600000
11,2022-12-15 16:15:00,-0.2,0.1,-0.300000
12,2022-11-16 16:15:00,-0.1,0.2,-0.300000
13,2022-10-18 16:15:00,0.4,0.1,0.300000
14,2022-09-15 16:15:00,-0.2,0.1,-0.300000
15,2022-08-16 16:15:00,0.6,0.3,0.300000
16,2022-07-15 16:15:00,-0.2,0.1,-0.300000
17,2022-06-17 16:15:00,0.2,0.4,-0.200000
18,2022-05-17 16:15:00,1.1,0.5,0.600000
19,2022-04-15 16:15:00,0.9,0.4,0.500000
20,2022-03-17 16:15:00,0.5,0.5,0.000000
21,2022-02-16 16:15:00,1.4,0.4,1.000000
22,2022-01-14 16:15:00,-0.1,0.3,-0.400000
23,2021-12-16 16:15:00,0.5,0.7,-0.200000
24,2021-11-16 16:15:00,1.6,0.7,0.900000
25,2021-10-18 16:15:00,-1.3,0.2,-1.500000
26,2021-09-15 16:15:00,0.4,0.4,0.000000
27,2021-08-17 16:15:00,0.9,0.5,0.400000
28,2021-07-15 16:15:00,0.4,0.6,-0.200000
29,2021-06-15 16:15:00,0.8,0.6,0.200000
30,2021-05-14 16:15:00,0.7,1.0,-0.300000
31,2021-04-15 16:15:00,1.4,2.8,-1.400000
32,2021-03-16 16:15:00,-2.2,0.3,-2.500000
33,2021-02-17 16:15:00,0.9,0.5,0.400000
34,2021-01-15 16:15:00,1.6,0.5,1.100000
35,2020-12-15 16:15:00,0.4,0.3,0.100000
36,2020-11-17 16:15:00,1.1,1.0,0.100000
37,2020-10-16 16:15:00,-0.6,0.5,-1.100000
38,2020-09-15 16:15:00,0.4,1.0,-0.600000
39,2020-08-14 16:15:00,3.0,3.0,0.000000
40,2020-07-15 16:15:00,5.4,4.3,1.100000
41,2020-06-16 16:15:00,1.4,2.9,-1.500000
42,2020-05-15 16:15:00,-11.2,-11.5,0.300000
43,2020-04-15 16:15:00,-5.4,-4.0,-1.400000
44,2020-03-17 16:15:00,0.6,0.4,0.200000
45,2020-02-14 16:15:00,-0.3,-0.2,-0.100000
46,2020-01-17 16:15:00,-0.3,-0.2,-0.100000
47,2019-12-17 16:15:00,1.1,0.8,0.300000
48,2019-11-15 16:15:00,-0.8,-0.4,-0.400000
49,2019-10-17 16:15:00,-0.4,-0.1,-0.300000
50,2019-09-17 16:15:00,0.6,0.2,0.400000
51,2019-08-15 16:15:00,-0.2,0.1,-0.300000
52,2019-07-16 16:15:00,0.0,0.1,-0.100000
53,2019-06-14 16:15:00,0.4,0.2,0.200000
54,2019-05-15 16:15:00,-0.5,0.0,-0.500000
55,2019-04-16 16:15:00,-0.1,0.2,-0.300000
56,2019-03-15 16:15:00,0.1,0.4,-0.300000
57,2019-02-15 16:15:00,-0.6,0.1,-0.700000
58,2019-01-18 16:15:00,0.3,0.2,0.100000
59,2018-12-14 16:15:00,0.6,0.3,0.300000
60,2018-11-16 16:15:00,0.1,0.2,-0.100000
61,2018-10-16 16:15:00,0.3,0.2,0.100000
62,2018-09-14 16:15:00,0.4,0.3,0.100000
